cohort,sraID,histology
Angel,SRR19509403,EC
Angel,SRR19509404,EC
Angel,SRR19509405,Benign
Angel,SRR19509406,Benign
Angel,SRR19509407,Benign
Angel,SRR19509408,Benign
Angel,SRR19509409,ACH
Angel,SRR19509410,ACH
Angel,SRR19509411,ACH
Angel,SRR19509413,ACH
Angel,SRR19509414,Benign
Angel,SRR19509415,ACH
Angel,SRR19509416,ACH
Angel,SRR19509417,ACH
Angel,SRR19509419,ACH
Angel,SRR19509420,ACH
Angel,SRR19509421,ACH
Angel,SRR19509422,ACH
Angel,SRR19509423,ACH
Angel,SRR19509424,ACH
Angel,SRR19509425,Benign
Angel,SRR19509426,ACH
Angel,SRR19509427,ACH
Angel,SRR19509428,ACH
Angel,SRR19509429,EC
Angel,SRR19509432,EC
Angel,SRR19509433,EC
Angel,SRR19509434,EC
Angel,SRR19509435,EC
Angel,SRR19509436,Benign
Angel,SRR19509437,Benign
Angel,SRR19509412,ACH
Angel,SRR19509430,EC
Angel,SRR19509431,EC
Angel,SRR19509418,ACH
