#OTU ID	SRR19509437	SRR19509413	SRR19509414	SRR19509409	SRR19509419	SRR19509420	SRR19509430	SRR19509434	SRR19509427	SRR19509407	SRR19509435	SRR19509417	SRR19509422	SRR19509428	SRR19509433	SRR19509411	SRR19509408	SRR19509410	SRR19509415	SRR19509429	SRR19509403	SRR19509423	SRR19509416	SRR19509421	SRR19509412	SRR19509424	SRR19509425	SRR19509404	SRR19509405	SRR19509432	SRR19509436	SRR19509406
Zotu17	8248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Zotu18	7104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu129	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	11907	0	0	0	0	0	0	0	0	0	2	0	0	1	1	340	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Zotu67	991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu27	3020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0
Zotu33	2618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu77	728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Zotu46	45	0	0	0	0	0	0	12	0	0	0	0	0	26	0	186	0	0	0	0	33	0	348	0	245	46	196	88	0	0	0	0
Zotu29	2994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	6	0	0	0	35	0	12	0	0	0	0	0
Zotu55	1260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu759	5	0	0	0	0	0	0	0	0	0	0	3	0	4	0	18	0	0	0	0	0	0	4	0	13	0	4	2	0	0	0	0
Zotu2019	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	5	0	1	0	0	0	0	0
Zotu21	32	60	26	248	54	117	273	201	530	167	407	26	113	81	215	60	50	61	132	423	91	185	97	19	95	800	62	105	16	128	70	41
Zotu2051	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	1	0	1	0	5	4	0	0	0	0
Zotu70	861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1975	2	2	0	0	0	1	0	0	0	0	2	1	0	0	0	4	0	2	0	0	0	0	1	0	0	4	0	0	0	0	0	0
Zotu180	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu784	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	1	0	20	0	7	0	6	4	0	0	0	0
Zotu40	1655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Zotu222	5	0	0	0	0	0	0	0	0	0	0	2	0	14	0	20	0	0	1	0	7	0	22	0	51	0	32	5	0	0	0	0
Zotu373	8	0	0	0	0	0	0	0	0	0	0	11	0	9	0	32	0	0	0	0	23	0	27	0	32	0	11	31	0	0	0	0
Zotu2066	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu406	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2257	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	2	0	1	0	3	5	0	0	0	0
Zotu2951	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
Zotu306	13	0	0	0	0	0	0	0	0	0	0	6	0	1	0	17	0	0	0	0	11	0	18	0	31	0	8	16	0	0	0	0
Zotu1671	2	0	0	0	0	0	0	0	0	0	0	0	1	3	1	4	0	0	0	10	0	0	4	0	1	0	3	0	0	0	0	0
Zotu3588	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	17	0	2	1	0	0	0	0
Zotu801	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	1	0	0	4	4	0	3	0	11	0	9	0	0	0	0	0
Zotu257	5	0	0	1	0	5	0	0	0	0	0	7	1	3	0	23	0	0	0	0	6	0	41	0	36	0	15	26	0	0	0	0
Zotu178	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu866	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu817	9	0	0	0	0	0	0	0	0	0	0	1	0	2	0	10	0	0	0	0	2	0	27	0	15	0	11	0	0	0	0	0
Zotu1485	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	2	0	10	0	4	2	0	0	0	0
Zotu63	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu113	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2751	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0	0
Zotu241	3	3	0	5	0	2	0	0	6	0	0	6	0	3	0	14	0	0	0	14	6	0	10	0	64	0	9	12	0	0	0	0
Zotu1763	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	5	0	2	0	0	1	1	5	0	0	0	0
Zotu353	5	0	1	12	0	3	0	12	0	1	0	3	4	0	5	0	0	9	0	0	2	0	0	0	4	21	4	0	0	1	0	4
Zotu106	25	0	0	0	0	0	0	0	0	0	0	20	0	15	0	46	0	0	1	0	24	0	124	0	106	0	19	65	0	2	0	0
Zotu3669	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	2	1	0	0	0	0
