#OTU ID	SRR15655215	SRR15655218	SRR15655221	SRR15655225	SRR15655228	SRR15655231	SRR15655234	SRR15655235	SRR15655238	SRR15655241	SRR15655244	SRR15655248	SRR15655251	SRR15655254	SRR15655258	SRR15655261	SRR15655264	SRR15655267	SRR15655268	SRR15655271	SRR15655274	SRR15655277	SRR15655281	SRR15655284	SRR15655287	SRR15655291	SRR15655294	SRR15655297	SRR15655300	SRR15655301
Zotu9	420	3	6	0	0	2823	3	2	0	36	1	10	4	3	1803	1	0	479	6	33	0	2	15	0	2807	2	0	20	1	0
Zotu36	430	6	5	1	1	3	0	0	0	152	0	52	9	5	491	1	0	148	0	253	2	2	2	5	2	9	0	1	8	0
Zotu90	359	0	0	0	0	3	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	0	0	1	0	3	0	0	0	0
Zotu14	1176	7	8	2	1	12	18	0	0	699	1	2562	4	2	176	0	0	15	2	491	0	1	243	12	8	9	0	14	0	0
Zotu27	595	1	4	1	0	7	4	1	0	4	3	1	13	10	1220	2	1	633	1	0	6	3	0	9	1	10	0	0	1	0
Zotu47	362	2	4	0	1	8	0	1	0	4	1	0	6	8	1	1	0	24	7	5	1	3	3	4	0	608	0	55	10	0
Zotu103	320	0	1	2	0	1	0	0	0	0	0	0	3	2	1	0	0	6	0	0	0	0	0	1	0	4	0	0	2	0
Zotu72	410	7	4	2	0	4	0	0	0	0	0	1	2	2	1	1	0	13	5	289	3	0	4	1	0	6	0	6	39	0
Zotu144	79	0	0	0	0	0	0	0	0	84	0	0	0	1	9	0	0	5	0	0	0	0	0	1	0	4	0	2	1	0
Zotu129	35	0	3	1	0	11	0	152	0	5	1	2	2	8	0	2	15	1	2	9	0	0	0	0	0	0	0	6	0	0
Zotu25	897	6	0	0	1	7	0	0	0	5	3	2	7	4	1572	2	0	259	0	2	0	0	2	3	3	13	0	1	1	0
Zotu46	98	2	189	0	0	111	1	0	0	4	0	1	47	9	158	0	0	220	2	186	2	1	7	2	0	3	0	1	0	0
Zotu21	250	2	2	0	0	6	5	0	0	2	3	1	9	11	1125	2	0	1172	5	810	4	2	2	2	0	11	0	8	0	0
Zotu16	20	2	556	6	1	1243	1	0	0	10	3	0	15	22	826	0	1	132	22	2224	23	0	12	5	0	19	0	7	82	0
Zotu102	82	0	0	1	0	1	0	0	0	0	0	0	1	0	298	1	0	5	0	0	1	0	0	1	0	2	0	0	0	0
Zotu15	14	5	545	10	93	881	3	16	0	7	5	19	23	494	2100	33	2	360	69	764	42	3	12	6	49	24	0	10	276	0
Zotu5	150	0	1	0	0	10	0	3	0	669	0	48	4	2	26	0	0	11	14	910	1	0	746	0	8	0	0	15104	2	0
Zotu194	43	2	0	0	0	1	0	0	0	3	0	0	2	1	37	0	0	15	0	8	1	0	0	1	0	1	0	0	0	0
Zotu61	6	269	43	2	27	49	0	5	0	0	4	3	34	294	4	10	0	2	0	1	2	1	2	2	0	4	0	1	13	0
Zotu56	56	0	1	0	0	2	1	0	0	18	2	11	2	2	61	2	0	19	0	24	0	0	1	1	0	5	0	1	0	0
Zotu19	7	2	60	0	14	132	0	1	0	1	1	3	11	59	256	9	4	49	8	86	15	3	2	8	9	16	0	8	45	0
Zotu86	2	413	1	2	6	7	1	16	0	1	1	0	1	0	1	2	0	0	0	0	13	0	0	0	1	3	0	0	0	0
Zotu44	3	1	1	0	0	7	0	0	0	0	2	0	961	6	2	0	0	152	0	14	0	1	1	3	0	8	0	0	0	0
Zotu17	43	1	3	1	0	295	0	0	0	6	1	3	2	3	194	0	0	62	4	6	0	0	2	1	262	3	0	0	1	0
Zotu7	18	0	3	0	0	4	1	0	0	53	0	7	2	1	2	1	0	3	4	87	0	0	80	1	2	0	0	1889	0	0
Zotu2	13	0	5	0	0	488	455	14	0	20	17	20	33	5	13	554	0	10	12034	130	24	567	2	17	11	17	0	5809	13	0
Zotu120	28	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0
Zotu82	54	1	1	0	0	2	0	0	0	1	0	1	3	1	1	0	0	12	1	55	0	0	0	0	0	3	0	0	6	0
Zotu122	32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0
Zotu135	14	0	0	0	0	1	0	0	0	1	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu369	2	1	6	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	1	0	0	0	0	1	1	1	0	2	0	0
Zotu24	96	1	2	0	0	7	2	0	0	73	0	220	2	1	18	0	0	5	6	58	0	0	34	2	2	0	0	1	1	0
Zotu71	4	1	1	0	0	131	3	0	0	6	170	4	9	0	0	5	0	0	17	3	8	248	212	1	4	3	0	94	0	0
Zotu49	4	650	4	0	0	5	1	3	0	0	1	1	4	1	0	0	3	3	4	4	0	1	0	240	0	15	0	8	2	0
Zotu35	32	1	3	0	0	4	1	0	0	2	1	0	5	4	135	4	1	124	6	76	2	1	1	3	0	5	0	0	1	0
Zotu40	82	3	1	0	1	3	0	0	0	4	0	0	4	4	144	2	0	38	0	0	0	0	0	1	0	9	1	0	1	0
Zotu34	67	3	0	0	1	5	0	0	0	2	1	2	7	1	168	0	0	74	0	4	2	2	2	3	0	9	0	1	0	0
Zotu52	2	4	3	4	4	1	1	2	0	1	0	1	5	10	2	1	1	11	4	3	0	0	2	6	1	820	2	2	2	0
Zotu81	11	1	18	1	0	11	0	0	0	2	0	0	3	1	18	1	0	20	0	20	1	1	1	0	0	3	0	0	1	0
Zotu162	2	0	0	0	1	3	0	13	0	0	1	0	1	1	0	0	2	1	15	0	0	0	3	1	1	65	0	30	6	0
Zotu340	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	3	0	0	0	1	0	0	1	1	25	0	0	0	0
Zotu22	4	3	7	0	2	13	1	0	0	2	0	0	4	14	5	1	0	3392	0	25	3	0	1	0	1	28	0	0	0	0
Zotu59	53	1	2	0	1	1	0	1	0	0	0	0	1	2	0	0	0	12	4	1	1	1	0	0	1	54	0	10	5	0
Zotu429	3	0	0	0	0	1	0	0	0	0	1	0	2	2	1	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0
Zotu201	11	0	0	0	0	1	0	0	0	9	1	0	0	1	3	0	0	3	1	0	0	0	0	1	0	0	0	0	3	0
Zotu175	4	13	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	2	0	2	1	0	0	1	2	1	0	0	0	0
Zotu69	6	3	3	0	0	162	0	0	0	2	2	0	485	7	1	0	0	4	0	1	0	1	0	3	1	2	0	0	0	0
Zotu117	1	0	1	0	0	15	0	1	0	0	0	0	12	4	0	0	0	3	2	10	0	0	0	2	0	3	0	1	1	0
Zotu161	2	34	2	0	2	2	0	11	0	0	1	0	0	4	0	2	0	0	8	0	0	0	1	1	0	83	0	14	3	0
Zotu58	1	2	53	3	25	5	1	531	0	5	1	1	16	70	0	3	8	1	24	1	14	0	10	1	5	8	0	11	103	0
Zotu78	1	0	2	3	0	38	1	3	0	1	0	0	129	35	0	0	0	7	5	0	0	0	0	2	1	306	1	4	1	0
Zotu8	5	2	4	1	1	55	38	1	0	49	5138	36	70	10	6	14	0	13	33	23	4826	23	10	12	16	19	0	6	1	1
Zotu1	35	1	12	0	0	4037	4958	27	0	71	56	56	91	13	29	6680	1	19	121348	1108	53	4296	16	112	34	33	0	43325	44	0
Zotu91	6	0	1	1	1	109	0	0	0	0	1	0	171	11	0	1	0	12	1	81	1	0	7	0	0	18	0	3	1	0
