#OTU ID	SRR2533834	SRR2533846	SRR2533860	SRR2533873	SRR2533882	SRR2533888	SRR2533894	SRR2533897	SRR2533904	SRR2533911	SRR2533919	SRR2533933	SRR2533949	SRR2533965	SRR2533972
Zotu8	9544	794	14844	0	35	0	0	0	0	0	0	0	0	0	0
Zotu66	1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu14	9176	134	6	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10	6661	1866	10529	0	89	0	0	0	0	0	0	0	0	0	0
Zotu20	6312	306	6	0	0	0	0	0	0	0	0	0	0	0	0
Zotu44	2485	155	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu21	2545	897	4163	0	60	0	0	0	0	0	0	0	0	0	0
Zotu35	2885	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Zotu60	1233	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu189	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu358	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu59	1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu41	2244	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu252	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu410	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu98	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu158	176	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu390	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu137	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu68	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu350	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu296	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu411	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu321	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu419	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu322	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu25	2	0	5547	0	27	0	0	0	0	0	0	0	0	0	0
Zotu376	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu16	11	2	7113	0	40	0	0	0	0	0	0	0	0	0	0
Zotu385	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu416	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu131	3	1006	45	0	0	0	0	0	0	0	0	0	0	0	0
Zotu340	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu366	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu432	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu37	5	0	3080	0	34	0	0	0	0	0	0	0	0	0	0
Zotu359	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu15	13	1	8576	0	14	0	0	0	0	0	0	0	0	0	0
Zotu33	3	0	3968	0	41	0	0	0	0	0	0	0	0	0	0
Zotu216	1	2	0	0	67	0	0	0	0	0	0	0	0	0	0
Zotu464	1	40	2	0	0	0	0	0	0	0	0	0	0	0	0
Zotu404	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu456	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu449	0	11	4	0	0	0	0	0	0	0	0	0	0	0	0
Zotu57	0	0	1512	0	23	0	0	0	0	0	0	0	0	0	0
Zotu18	0	0	0	4675	0	35	0	0	0	0	0	0	0	0	964
Zotu155	0	0	0	132	0	2	0	0	0	0	0	0	0	0	1
Zotu151	0	0	0	15	0	130	0	0	0	0	0	0	0	0	0
Zotu36	0	0	0	2786	0	0	0	0	0	0	0	0	0	0	0
Zotu11	0	0	0	13138	0	93	0	0	0	0	0	0	0	0	1
Zotu2	0	0	0	52458	0	1383	0	0	0	0	0	0	0	1	0
Zotu34	0	0	0	3532	0	96	0	0	0	0	0	0	0	0	0
Zotu1	0	0	0	8403	0	407	0	0	0	0	0	0	0	102469	22290
Zotu31	0	0	0	3482	0	96	0	0	0	0	0	0	0	0	0
Zotu114	0	0	0	197	0	60	0	0	0	0	0	0	0	1	0
Zotu101	0	0	0	165	0	175	0	0	0	0	0	0	0	0	0
Zotu84	0	0	0	558	0	29	0	0	0	0	0	0	0	0	0
Zotu27	0	0	0	3774	0	72	0	0	0	0	0	0	0	0	1484
Zotu70	0	0	0	935	0	10	0	0	0	0	0	0	0	0	0
Zotu22	0	0	0	5231	0	78	0	0	0	0	0	0	0	0	1
Zotu401	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Zotu55	0	0	0	1224	0	44	0	0	0	0	0	0	0	0	0
Zotu5	0	0	0	2742	0	29	0	0	0	0	0	0	0	9	23651
Zotu79	0	0	0	319	0	252	0	0	0	0	0	0	0	0	0
Zotu81	0	0	0	200	0	0	0	0	0	0	0	0	0	0	1497
Zotu271	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
Zotu119	0	0	0	240	0	0	0	0	0	0	0	0	0	0	53
Zotu75	0	0	0	150	0	520	0	0	0	0	0	0	0	0	0
Zotu82	0	0	0	586	0	47	0	0	0	0	0	0	0	0	0
Zotu171	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0
Zotu125	0	0	0	194	0	59	0	0	0	0	0	0	0	0	0
Zotu69	0	0	0	498	0	313	0	0	0	0	0	0	0	0	0
Zotu93	0	0	0	379	0	0	0	0	0	0	0	0	0	0	9
Zotu6	0	0	0	549	0	47	0	0	0	0	0	0	0	0	24987
Zotu198	0	0	0	88	0	0	0	0	0	0	0	0	0	1	0
Zotu64	0	0	0	907	0	5	0	0	0	0	0	0	0	0	176
Zotu89	0	0	0	431	0	20	0	0	0	0	0	0	0	0	0
Zotu45	0	0	0	217	0	0	0	0	0	0	0	0	0	0	1611
Zotu51	0	0	0	852	0	604	0	0	0	0	0	0	0	0	0
Zotu48	0	0	0	1651	0	0	0	0	0	0	0	0	0	0	0
Zotu103	0	0	0	290	0	31	0	0	0	0	0	0	0	0	0
Zotu78	0	0	0	110	0	0	0	0	0	0	0	0	0	6	573
Zotu47	0	0	0	1208	0	403	0	0	0	0	0	0	0	0	0
Zotu174	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0
Zotu468	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
Zotu12	0	0	0	18	0	0	0	0	0	0	0	0	0	0	11133
Zotu4	0	0	0	217	0	0	0	0	0	0	0	0	0	0	37451
Zotu199	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0
Zotu104	0	0	0	196	0	98	0	0	0	0	0	0	0	0	0
Zotu283	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
Zotu247	0	0	0	48	0	9	0	0	0	0	0	0	0	0	0
Zotu280	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
Zotu90	0	0	0	392	0	0	0	0	0	0	0	0	0	0	0
Zotu261	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0
Zotu118	0	0	0	53	0	183	0	0	0	0	0	0	0	0	0
Zotu289	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0
Zotu43	0	0	0	1011	0	737	0	0	0	0	0	0	0	0	33
Zotu122	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0
Zotu162	0	0	0	119	0	2	0	0	0	0	0	0	0	0	0
Zotu145	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0
Zotu161	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0
Zotu167	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0
Zotu177	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0
Zotu190	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0
Zotu94	0	0	0	92	0	252	0	0	0	0	0	0	0	0	0
Zotu166	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0
Zotu95	0	0	0	325	0	17	0	0	0	0	0	0	0	0	0
Zotu194	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0
Zotu172	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0
Zotu361	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
Zotu134	0	0	0	27	0	147	0	0	0	0	0	0	0	0	0
Zotu383	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
Zotu245	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0
Zotu157	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0
Zotu92	0	0	0	239	0	122	0	0	0	0	0	0	0	0	0
Zotu126	0	0	0	134	0	46	0	0	0	0	0	0	0	0	1
Zotu160	0	0	0	123	0	0	0	0	0	0	0	0	0	6	0
Zotu97	0	0	0	159	0	154	0	0	0	0	0	0	0	0	0
Zotu140	0	0	0	35	0	140	0	0	0	0	0	0	0	0	0
Zotu319	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0
Zotu210	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0
Zotu310	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0
Zotu170	0	0	0	65	0	0	0	0	0	0	0	0	0	0	82
Zotu175	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0
Zotu279	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0
Zotu149	0	0	0	24	0	166	0	0	0	0	0	0	0	0	0
Zotu212	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0
Zotu248	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0
Zotu253	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0
Zotu107	0	0	0	105	0	177	0	0	0	0	0	0	0	0	0
Zotu30	0	0	0	62	0	3935	0	0	0	0	0	0	0	88	8
Zotu234	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0
Zotu164	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0
Zotu226	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0
Zotu428	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
Zotu367	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
Zotu197	0	0	0	91	0	1	0	0	0	0	0	0	0	3	0
Zotu180	0	0	0	36	0	66	0	0	0	0	0	0	0	0	0
Zotu267	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0
Zotu239	0	0	0	22	0	32	0	0	0	0	0	0	0	0	0
Zotu323	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
Zotu3	0	0	0	37	0	43631	0	0	0	0	0	0	0	22	0
Zotu173	0	0	0	17	0	102	0	0	0	0	0	0	0	0	0
Zotu223	0	0	0	55	0	0	0	0	0	0	0	0	0	0	1
Zotu342	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0
Zotu203	0	0	0	26	0	60	0	0	0	0	0	0	0	0	0
Zotu266	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0
Zotu353	0	0	0	23	0	0	0	0	0	0	0	0	0	0	6
Zotu192	0	0	0	102	0	2	0	0	0	0	0	0	0	3	0
Zotu127	0	0	0	67	0	114	0	0	0	0	0	0	0	0	0
Zotu427	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
Zotu230	0	0	0	62	0	1	0	0	0	0	0	0	0	0	0
Zotu265	0	0	0	27	0	18	0	0	0	0	0	0	0	0	0
