#OTU ID	SRR19509406	SRR19509420	SRR19509426	SRR19509411	SRR19509403	SRR19509419	SRR19509436	SRR19509416	SRR19509413	SRR19509431	SRR19509404	SRR19509410	SRR19509425	SRR19509415	SRR19509408	SRR19509424	SRR19509428	SRR19509427	SRR19509437	SRR19509412	SRR19509432	SRR19509430	SRR19509422
Zotu6	19772	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu7	17397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu26	41	117	203	60	91	54	70	97	60	77	105	61	62	132	50	800	81	530	32	95	128	273	113
Zotu57	9	34	21	56	26	15	6	114	2	16	70	41	16	3	12	85	10	42	24	141	14	54	7
Zotu1	282	4697	1805	7061	7260	29275	18542	2	10814	11354	8210	1578	12891	1292	6	1984	2	1766	1	5961	1103	2595	20576
Zotu535	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu206	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9	130	504	964	331	245	100	129	527	201	207	345	337	229	328	104	2123	141	2259	145	481	338	1184	532
Zotu17	65	476	438	277	134	78	88	400	97	125	248	210	206	178	85	1665	110	1589	106	505	194	840	419
Zotu145	2	24	34	0	14	3	2	32	0	0	22	0	0	0	4	33	8	0	7	35	3	24	2
Zotu476	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu71	6	40	36	48	21	9	5	34	19	7	30	15	14	8	2	64	19	133	11	37	18	36	37
Zotu20	56	318	791	0	0	74	127	6	91	94	16	116	2	27	58	2363	0	931	1	0	208	650	225
Zotu91	2	31	66	1	4	2	2	25	12	6	3	13	5	0	4	0	3	139	3	23	16	4	9
Zotu439	1	9	4	1	4	0	0	4	7	1	0	0	6	0	0	1	0	20	1	1	0	1	3
Zotu4	31	416	1045	2832	17107	2654	7280	7	4156	2792	25216	526	6466	4905	16	1541	0	1028	0	2437	255	340	2537
Zotu104	3	4	4	69	8	1	1	29	1	6	5	1	30	0	0	46	2	19	11	58	3	3	8
Zotu375	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu79	2	0	0	43	30	0	0	150	0	0	23	0	48	0	0	17	16	0	33	126	2	0	4
Zotu2275	1	0	0	1	0	0	0	1	2	0	1	1	1	0	0	2	0	1	0	1	0	0	0
Zotu146	1	15	22	2	9	7	5	7	3	1	5	6	3	4	2	13	2	75	3	8	8	4	14
Zotu212	2	0	0	24	10	0	0	35	1	0	0	1	17	0	0	0	6	0	3	27	0	0	0
Zotu316	2	0	3	18	8	0	0	3	3	1	1	0	4	0	0	1	3	22	1	4	3	2	11
Zotu2248	2	0	0	4	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Zotu2581	1	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	4	0	0
Zotu549	1	2	0	3	0	0	0	5	4	0	0	0	2	0	0	20	1	4	4	5	0	0	2
Zotu492	2	3	0	1	1	3	2	0	0	0	0	3	1	0	0	0	0	39	0	0	0	1	1
Zotu2524	1	0	0	3	4	0	0	2	0	0	1	0	1	0	0	0	0	0	1	2	0	0	0
Zotu3	36	1584	942	473	3196	16562	10927	0	5618	21109	5226	689	5194	777	0	2062	1	2462	4	1059	1025	417	8088
Zotu566	2	0	10	0	0	0	0	7	0	4	0	0	3	0	0	0	0	7	2	0	0	6	4
Zotu58	18	34	47	44	36	21	10	35	16	20	62	8	49	31	21	274	10	198	19	70	23	73	82
Zotu575	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	19	0	0	0	0	15
Zotu665	2	9	0	0	0	0	0	0	0	1	6	0	0	0	0	23	0	0	0	0	0	0	7
Zotu1860	1	1	4	1	1	0	1	0	0	0	0	0	1	0	0	0	0	8	0	2	2	0	0
Zotu8	11	14063	0	62	33	0	0	50	0	0	140	0	62	33	0	0	1	0	13	6	0	0	0
Zotu218	1	5	34	15	6	0	1	8	2	2	1	5	6	0	3	24	2	33	0	19	2	7	13
Zotu294	1	4	0	10	3	0	2	10	0	0	9	0	12	0	0	27	0	8	1	7	0	0	1
Zotu360	3	2	12	22	9	0	0	11	10	2	8	2	0	0	0	9	1	21	1	8	4	3	1
Zotu64	10	95	46	32	12	3	8	15	24	5	9	17	66	1	13	55	5	305	13	33	32	19	32
Zotu38	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1986	0	0	0	0	0	0
Zotu650	2	8	0	0	5	0	0	8	0	1	0	0	0	0	2	0	0	0	2	0	9	0	0
Zotu14	2	41	36	1159	298	3	5	1865	5	23	1624	5	629	0	6	44	1029	43	88	911	12	170	33
Zotu422	2	0	0	43	0	0	0	0	3	0	2	0	10	0	0	0	5	0	3	21	0	0	0
Zotu1848	1	5	0	1	1	0	0	3	1	0	1	1	0	0	0	2	0	3	0	0	0	0	0
Zotu1595	1	0	0	3	1	0	0	13	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0
Zotu1007	1	0	0	5	0	4	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Zotu1478	1	1	0	0	0	0	0	2	0	0	1	0	2	0	0	2	0	0	1	3	0	5	0
Zotu290	3	0	3	1	0	1	2	2	1	5	0	5	3	2	0	11	0	37	0	1	0	5	3
Zotu170	2	3	10	16	10	4	0	3	5	0	7	6	4	2	2	39	3	35	3	11	0	42	3
Zotu1010	2	1	3	15	0	0	0	2	0	0	0	0	1	0	0	2	1	1	0	3	0	0	1
Zotu865	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	5	0	0	3	0	0
Zotu149	1	7	23	1	0	4	4	3	94	4	1	12	8	0	2	5	0	11	0	1	19	1	5
Zotu173	1	2	27	5	3	0	1	19	10	3	7	3	0	0	0	19	0	56	7	12	0	5	1
Zotu2322	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	3	0	2	0	0	0	0	0
Zotu932	2	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	1	0	0
Zotu417	1	0	0	23	0	0	0	0	0	0	0	0	2	0	0	36	0	0	0	0	0	0	0
Zotu635	3	0	2	1	1	0	0	3	3	3	1	3	2	1	3	5	0	12	0	0	0	0	4
Zotu1140	1	0	1	2	3	1	0	1	2	1	0	0	2	0	0	3	1	14	0	1	0	2	0
Zotu2227	4	0	15	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	3
Zotu182	1	11	16	0	1	0	0	10	0	3	4	1	8	0	2	36	0	55	0	12	13	17	0
Zotu122	2	0	6	0	5	4	10	0	18	11	0	2	0	0	2	105	10	97	0	0	15	33	10
Zotu1809	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	14	0	0	0
