#OTU ID	SRR7635994	SRR7636007	SRR7636010	SRR7636016	SRR7636020	SRR7636031	SRR7636047	SRR7636084	SRR7636103	SRR7636117	SRR7636124	SRR7636128	SRR7636151	SRR7636156	SRR7636174	SRR7636179	SRR7636195	SRR7636204	SRR7636214	SRR7636238	SRR7636246	SRR7636247	SRR7636265	SRR7636266	SRR7636267	SRR7636277	SRR7636291	SRR7636294	SRR7636307	SRR7636333	SRR7636336	SRR7636348	SRR7636349	SRR7636352	SRR7636363	SRR7636367	SRR7636374	SRR7636382	SRR7636388	SRR7636416	SRR7636423	SRR7636435	SRR7636439	SRR7636445	SRR7636460	SRR7636473	SRR7636476	SRR7636477	SRR7636479	SRR7636484	SRR7636503	SRR7636510	SRR7636515	SRR7636519	SRR7636520	SRR7636521	SRR7636527	SRR7636560	SRR7636577	SRR7636580	SRR7636587	SRR7636588	SRR7636592	SRR7636596	SRR7636597	SRR7636627	SRR7636634	SRR7636635	SRR7636655	SRR7636664	SRR7636675	SRR7636686	SRR7636689	SRR7636690	SRR7636693	SRR7636725	SRR7636729	SRR7636737	SRR7636756	SRR7636763	SRR7636777	SRR7636786	SRR7636790	SRR7636797	SRR7636801	SRR7636806	SRR7636827	SRR7636830	SRR7636849	SRR7636851	SRR7636861	SRR7636869	SRR7636890	SRR7636892	SRR7636895	SRR7636899	SRR7636900	SRR7636904	SRR7636908	SRR7636915	SRR7636923	SRR7636927	SRR7636955	SRR7636960	SRR7636969	SRR7636974	SRR7637012	SRR7637020	SRR7637026	SRR7637029	SRR7637032	SRR7637034	SRR7635466	SRR7635470	SRR7635478	SRR7635481	SRR7635489	SRR7635493	SRR7635503	SRR7635538	SRR7635553	SRR7635563	SRR7635580	SRR7635581	SRR7635596	SRR7635605	SRR7635627	SRR7635629	SRR7635654	SRR7635667	SRR7635683	SRR7635688	SRR7635695	SRR7635708	SRR7635731	SRR7635743	SRR7635769	SRR7635793	SRR7635815	SRR7635825	SRR7635839	SRR7635851	SRR7635862	SRR7635879	SRR7635891	SRR7635903	SRR7635918	SRR7635942	SRR7635964	SRR7635971
Zotu5	226	0	0	0	48	0	117	0	0	3886	0	0	1788	0	0	0	43	32	0	0	50	60	1439	0	0	2	0	0	0	0	0	0	0	2	0	0	17	0	0	0	0	25	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	990	229	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	153	351	0	0	0	0	0	0	0	0	0	0	0	0	1	986	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	53	0	256	0	0	0	2	370	545	0	0	3	12	0	2	0	0	3	0	0	0	2469	0	60	0	0	0	0	277	0
Zotu1	77	0	0	0	88	0	19	0	0	0	442	0	0	5412	6040	0	1	0	0	0	0	434	69	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	27	0	0	615	0	0	365	248	0	0	1	0	0	3235	0	82	0	0	0	0	1	0	0	6004	0	45	0	0	0	0	0	0	259	0	0	0	0	0	0	41	1	0	0	0	1749	0	0	19	0	0	0	680	0	0	0	2	0	0	495	0	1225	0	0	0	0	62	0	3610	0	4816	0	3258	426	0	0	1133	529	0	0	0	0	0	6	0	278	4069	7911	0	23	1173	0	0	2241	3102	1051
Zotu6	1	0	0	0	39	0	239	0	0	0	0	0	0	1	0	0	5	0	0	0	0	193	93	0	0	0	0	0	0	0	0	0	0	2758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1365	0	22	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	1	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	1	0	96	0	0	0	0	0	0
Zotu21	1	0	0	0	0	0	0	0	0	5	0	0	2262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Zotu173	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	2	0	0	0	0	9	0	0	0	0	0	0	3	1	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu16	0	4	1	2	2	0	1	27	0	14	0	0	11	2	177	10	1	2	1	0	0	0	0	13	0	3	0	11	0	47	3	0	2	0	0	3	0	16	3	134	275	2	0	1	0	0	0	1	1	0	0	308	0	0	0	0	1	1	0	17	0	1	1	6	0	141	0	1	0	1	0	15	0	0	4	0	0	0	118	116	34	0	5	0	15	2	5	1	0	0	0	32	12	0	45	2	1	4	0	0	240	28	9	6	0	0	2	5	9	2	28	0	0	0	0	0	3	2	64	3	0	40	36	0	0	3	68	25	0	4	0	0	13	1	0	245	0	0	0	4	0	298	6	0	0	3	19	92	1	0
Zotu349	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Zotu34	0	2	0	1	0	0	0	11	0	2	0	0	1	0	39	1	0	0	0	0	0	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0	1	0	30	101	1	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	3	0	0	0	2	0	81	0	0	0	0	0	5	0	0	0	0	0	0	103	126	0	0	0	0	3	0	4	0	0	0	0	19	0	0	6	0	0	1	0	0	80	3	1	0	0	0	0	5	0	0	4	0	0	0	0	0	2	0	15	7	0	41	18	0	0	0	34	35	1	1	0	0	4	0	0	35	0	0	1	1	0	68	1	0	0	0	5	22	0	0
Zotu80	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	7	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	3	16	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu192	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Zotu110	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	9	3	0	0	0	0	15	0	0	0	0	0	0	0	8	0	0	0	0	0	16	0	0	0	0	0	0	0	0
