"testing_cohort","training_cohort","pipeline","level","AUC"
"Antonio","Angel (N=23)","Angel","phylum",0.653205128205128
"Gressel","Angel (N=23)","Angel","phylum",0.907027168234065
"Tsementzi","Angel (N=23)","Angel","phylum",0.285790679908327
"Walsh","Angel (N=23)","Angel","phylum",0.52196138343098
"Angel","Angel (N=23)","Angel","phylum",0.652777777777778
"Antonio","Angel (N=23)","Angel","class",0.646153846153846
"Gressel","Angel (N=23)","Angel","class",0.281088929219601
"Tsementzi","Angel (N=23)","Angel","class",0.0224180581323438
"Walsh","Angel (N=23)","Angel","class",0
"Angel","Angel (N=23)","Angel","class",0
"Antonio","Angel (N=23)","Angel","order",0.523076923076923
"Gressel","Angel (N=23)","Angel","order",0.212019704433498
"Tsementzi","Angel (N=23)","Angel","order",0.110256511668472
"Walsh","Angel (N=23)","Angel","order",0.152696594126109
"Angel","Angel (N=23)","Angel","order",0.699074074074074
"Antonio","Angel (N=23)","Angel","family",0
"Gressel","Angel (N=23)","Angel","family",0.281088929219601
"Tsementzi","Angel (N=23)","Angel","family",0.0224180581323438
"Walsh","Angel (N=23)","Angel","family",0
"Angel","Angel (N=23)","Angel","family",0.629022366522367
"Antonio","Angel (N=23)","Angel","genus",0
"Gressel","Angel (N=23)","Angel","genus",0
"Tsementzi","Angel (N=23)","Angel","genus",0
"Walsh","Angel (N=23)","Angel","genus",0
"Angel","Angel (N=23)","Angel","genus",0.668560606060606
"Antonio","Angel (N=23)","Antonio","phylum",0.807874083977025
"Gressel","Angel (N=23)","Antonio","phylum",0.610869865428689
"Tsementzi","Angel (N=23)","Antonio","phylum",0.344709215659532
"Walsh","Angel (N=23)","Antonio","phylum",0.431087080962869
"Antonio","Angel (N=23)","Antonio","class",0.45787037037037
"Gressel","Angel (N=23)","Antonio","class",0.104524137931034
"Tsementzi","Angel (N=23)","Antonio","class",0.308053282987952
"Walsh","Angel (N=23)","Antonio","class",0.432337302113799
"Antonio","Angel (N=23)","Antonio","order",0.622242368198251
"Gressel","Angel (N=23)","Antonio","order",0.362246360153257
"Tsementzi","Angel (N=23)","Antonio","order",0.239638587219232
"Walsh","Angel (N=23)","Antonio","order",0.504408800946989
"Antonio","Angel (N=23)","Antonio","family",0.538254746342982
"Gressel","Angel (N=23)","Antonio","family",0.575246031746032
"Tsementzi","Angel (N=23)","Antonio","family",0.312019038273021
"Walsh","Angel (N=23)","Antonio","family",0.551573726445574
"Antonio","Angel (N=23)","Antonio","genus",0.511359732315615
"Gressel","Angel (N=23)","Antonio","genus",0.869547028844983
"Tsementzi","Angel (N=23)","Antonio","genus",0.291164562383506
"Walsh","Angel (N=23)","Antonio","genus",0.303478546958024
"Antonio","Angel (N=23)","Gressel","phylum",0.55722439110597
"Gressel","Angel (N=23)","Gressel","phylum",0.69375201041204
"Tsementzi","Angel (N=23)","Gressel","phylum",0.304318847569416
"Walsh","Angel (N=23)","Gressel","phylum",0.39324901380058
"Antonio","Angel (N=23)","Gressel","class",0.517205698399137
"Gressel","Angel (N=23)","Gressel","class",0.77069891490074
"Tsementzi","Angel (N=23)","Gressel","class",0.288307892888379
"Walsh","Angel (N=23)","Gressel","class",0.44376086813265
"Antonio","Angel (N=23)","Gressel","order",0.524976657329599
"Gressel","Angel (N=23)","Gressel","order",0.723795755572221
"Tsementzi","Angel (N=23)","Gressel","order",0.216232517290175
"Walsh","Angel (N=23)","Gressel","order",0.445805020128546
"Antonio","Angel (N=23)","Gressel","family",0.576098901098901
"Gressel","Angel (N=23)","Gressel","family",0.709895288781069
"Tsementzi","Angel (N=23)","Gressel","family",0.358380761399809
"Walsh","Angel (N=23)","Gressel","family",0.419840935741534
"Antonio","Angel (N=23)","Gressel","genus",0.421639898562975
"Gressel","Angel (N=23)","Gressel","genus",0.423831770389315
"Tsementzi","Angel (N=23)","Gressel","genus",0.272219243788793
"Walsh","Angel (N=23)","Gressel","genus",0.409469340646306
"Antonio","Angel (N=23)","Tsementzi","phylum",0.777777777777778
"Gressel","Angel (N=23)","Tsementzi","phylum",0.81636711580146
"Tsementzi","Angel (N=23)","Tsementzi","phylum",0.302317076986088
"Walsh","Angel (N=23)","Tsementzi","phylum",0.537929866075355
"Antonio","Angel (N=23)","Tsementzi","class",0.393518518518518
"Gressel","Angel (N=23)","Tsementzi","class",0.858297979246357
"Tsementzi","Angel (N=23)","Tsementzi","class",0.251037754524385
"Walsh","Angel (N=23)","Tsementzi","class",0.509787938440225
"Antonio","Angel (N=23)","Tsementzi","order",0.690035273368607
"Gressel","Angel (N=23)","Tsementzi","order",0.838528832939245
"Tsementzi","Angel (N=23)","Tsementzi","order",0.286556727264284
"Walsh","Angel (N=23)","Tsementzi","order",0.517197362929921
"Antonio","Angel (N=23)","Tsementzi","family",0.0820707070707071
"Gressel","Angel (N=23)","Tsementzi","family",0.87925057966165
"Tsementzi","Angel (N=23)","Tsementzi","family",0.260101131244166
"Walsh","Angel (N=23)","Tsementzi","family",0.126836332638299
"Antonio","Angel (N=23)","Tsementzi","genus",0.628535353535354
"Gressel","Angel (N=23)","Tsementzi","genus",0.808998603567569
"Tsementzi","Angel (N=23)","Tsementzi","genus",0.222727304293624
"Walsh","Angel (N=23)","Tsementzi","genus",0.542637573919171
"Angel","Antonio (N=15)","Angel","phylum",0.46875
"Gressel","Antonio (N=15)","Angel","phylum",0.777567049808429
"Tsementzi","Antonio (N=15)","Angel","phylum",0.223526473526474
"Walsh","Antonio (N=15)","Angel","phylum",0.378740719125896
"Angel","Antonio (N=15)","Angel","class",0.46875
"Gressel","Antonio (N=15)","Angel","class",0.631527093596059
"Tsementzi","Antonio (N=15)","Angel","class",0.242810760667904
"Walsh","Antonio (N=15)","Angel","class",0.335366735279195
"Angel","Antonio (N=15)","Angel","order",0.562767094017094
"Gressel","Antonio (N=15)","Angel","order",0.888669950738916
"Tsementzi","Antonio (N=15)","Angel","order",0.217068645640074
"Walsh","Antonio (N=15)","Angel","order",0.335366735279195
"Angel","Antonio (N=15)","Angel","family",0.46875
"Gressel","Antonio (N=15)","Angel","family",0.640884460367219
"Tsementzi","Antonio (N=15)","Angel","family",0.217068645640074
"Walsh","Antonio (N=15)","Angel","family",0.385454866889066
"Angel","Antonio (N=15)","Angel","genus",0.46875
"Gressel","Antonio (N=15)","Angel","genus",0.641871921182266
"Tsementzi","Antonio (N=15)","Angel","genus",0.223526473526474
"Walsh","Antonio (N=15)","Angel","genus",0.334457305277264
"Angel","Antonio (N=15)","Antonio","phylum",0.705779238357012
