cohort,covariate,pipeline,R2,pvalue,sig
Antonio,histology,Antonio,0.0731,0.09901,NS
Antonio,age,Antonio,0.10016,0.069307,NS
Antonio,BMI,Antonio,0.17331,0.009901,Sig
Antonio,pH,Antonio,0.04694,0.534653,NS
Chao,histology,Antonio,0.0271,0.5842,NS
Chao,age,Antonio,0.02703,0.5941,NS
Gressel,histology,Antonio,0.03153,0.6238,NS
Tsementzi,histology,Antonio,0.03117,0.405941,NS
Tsementzi,age,Antonio,0.03415,0.316832,NS
Tsementzi,BMI,Antonio,0.04192,0.188119,NS
Tsementzi,pH,Antonio,0.10081,0.009901,Sig
Tsementzi,ethnicity,Antonio,0.12041,0.207921,NS
Walsh,histology,Antonio,0.07672,0.009901,Sig
Walsh,age,Antonio,0.04229,0.009901,Sig
Walsh,BMI,Antonio,0.86506,0.326733,NS
Walsh,pH,Antonio,0.00514,0.475248,NS
Antonio,histology,Tsementzi,0.1333,0.3069,NS
Antonio,age,Tsementzi,0.15834,0.1683,NS
Antonio,BMI,Tsementzi,0.14715,0.2772,NS
Antonio,pH,Tsementzi,0.09433,0.7624,NS
Chao,histology,Tsementzi,0.05872,0.0297,Sig
Chao,age,Tsementzi,0.02302,0.7624,NS
Gressel,histology,Tsementzi,0.02955,0.8416,NS
Tsementzi,histology,Tsementzi,0.02965,0.683168,NS
Tsementzi,age,Tsementzi,0.03444,0.485149,NS
Tsementzi,BMI,Tsementzi,0.06312,0.009901,Sig
Tsementzi,pH,Tsementzi,0.06451,0.009901,Sig
Tsementzi,ethnicity,Tsementzi,0.11782,0.128713,NS
Walsh,histology,Tsementzi,0.03489,0.0297,Sig
Walsh,age,Tsementzi,0.01907,0.0495,Sig
Walsh,BMI,Tsementzi,0.92508,0.2178,NS
Walsh,pH,Tsementzi,0.01235,0.198,NS
Antonio,histology,Walsh,0.0129,0.87129,NS
Antonio,age,Walsh,0.18336,0.06931,NS
Antonio,BMI,Walsh,0.0527,0.32673,NS
Antonio,pH,Walsh,0.09794,0.15842,NS
Chao,histology,Walsh,0.10381,0.0297,Sig
Chao,age,Walsh,0.03829,0.297,NS
Gressel,histology,Walsh,0.01923,0.802,NS
Tsementzi,histology,Walsh,0.00978,0.9307,NS
Tsementzi,age,Walsh,0.02843,0.5644,NS
Tsementzi,BMI,Walsh,0.07359,0.1287,NS
Tsementzi,pH,Walsh,0.11064,0.0198,Sig
Tsementzi,ethnicity,Walsh,0.10586,0.3465,NS
Walsh,histology,Walsh,0.13937,0.009901,Sig
Walsh,age,Walsh,0.047,0.009901,Sig
Walsh,BMI,Walsh,0.80871,0.059406,NS
Walsh,pH,Walsh,0.00193,0.386139,NS
Antonio,histology,SOTA,0.07035,0.19802,NS
Antonio,age,SOTA,0.07616,0.217822,NS
Antonio,BMI,SOTA,0.13307,0.009901,Sig
Antonio,pH,SOTA,0.04183,0.792079,NS
Chao,histology,SOTA,0.06281,0.05941,NS
Chao,age,SOTA,0.02645,0.63366,NS
Gressel,histology,SOTA,0.04626,0.1584,NS
Tsementzi,histology,SOTA,0.04411,0.1782,NS
Tsementzi,age,SOTA,0.03999,0.2772,NS
Tsementzi,BMI,SOTA,0.03855,0.3762,NS
Tsementzi,pH,SOTA,0.04584,0.1089,NS
Tsementzi,ethnicity,SOTA,0.08261,0.8911,NS
Walsh,histology,SOTA,0.08415,0.009901,Sig
Walsh,age,SOTA,0.03202,0.019802,Sig
Walsh,BMI,SOTA,0.8655,0.237624,NS
Walsh,pH,SOTA,0.00676,0.29703,NS
Antonio,histology,Chao,0.22813,0.0198,Sig
Antonio,age,Chao,0.04915,0.66337,NS
Antonio,BMI,Chao,0.02862,0.91089,NS
Antonio,pH,Chao,0.13244,0.08911,NS
Chao,histology,Chao,0.04511,0.1287,NS
Chao,age,Chao,0.02693,0.6535,NS
Gressel,histology,Chao,0.02849,0.5941,NS
Tsementzi,histology,Chao,0.02265,0.92079,NS
Tsementzi,age,Chao,0.03248,0.40594,NS
Tsementzi,BMI,Chao,0.0424,0.14851,NS
Tsementzi,pH,Chao,0.0447,0.13861,NS
Tsementzi,ethnicity,Chao,0.14104,0.09901,NS
Walsh,histology,Chao,0.04687,0.009901,Sig
Walsh,age,Chao,0.01341,0.009901,Sig
Walsh,BMI,Chao,0.92453,0.049505,Sig
Walsh,pH,Chao,0.00554,0.287129,NS
