"","Estimate","Std..Error","z.value","Pr...z..","q"
"(Intercept)",0.676773113924213,1.14549588711808,0.590812347329229,0.554646160965169,0.997224633812684
"crenarchaeota",-0.0592088782579454,0.4213520880757,-0.140521145933678,0.888248246210868,0.997224633812684
"acidobacteria",0.162762073279198,2.69049176999722,0.0604952875508577,0.951761168967485,0.997224633812684
"actinobacteria",2.77947240515061e-06,3.91328824380902e-05,0.071026518671295,0.943376649937426,0.997224633812684
"aquificae",-7.07283872511132,19.226734944222,-0.367864785447456,0.712974058985971,0.997224633812684
"armatimonadetes",0.144453208215924,1.73717923299881,0.0831538884830909,0.933729177358565,0.997224633812684
"bacteroidetes",6.55381302051673e-05,0.000143559238153008,0.456523251644143,0.64801375455573,0.997224633812684
"chloroflexi",0.000407081297773171,0.117030764799333,0.00347841269320229,0.997224633812684,0.997224633812684
"cyanobacteria_chloroplast",0.0243739773962294,0.0654887390847045,0.37218577937046,0.709754533218052,0.997224633812684
"deinococcus.thermus",-0.0201898926551246,0.243646989225561,-0.0828653484260106,0.933958607196999,0.997224633812684
"firmicutes",-3.06302415322171e-06,2.47607651888327e-05,-0.123704745384975,0.901549054250474,0.997224633812684
"fusobacteria",-0.000605740388577006,0.00115522647843863,-0.52434773603502,0.600036700626668,0.997224633812684
"lentisphaerae",0.0686404020533058,0.39471976529062,0.173896541519191,0.861946770687079,0.997224633812684
"od1",0.0364569476375902,0.249503637854857,0.146117900127765,0.883828315818308,0.997224633812684
"proteobacteria",4.72771765599587e-06,2.75567779419086e-05,0.171562788144615,0.863781264368493,0.997224633812684
"tenericutes",-0.000107199828395522,0.00338285293280231,-0.0316891778995308,0.97471992533889,0.997224633812684
"tm7",-0.0024470357127629,0.0234969983125311,-0.104142481529561,0.917056278739401,0.997224633812684
"verrucomicrobia",0.000100968989996106,0.000670938390253708,0.150489212516109,0.880378660984055,0.997224633812684
"arthropoda",0.00221172275658398,0.137818458044035,0.0160480881006324,0.987196027868039,0.997224633812684
"dep",-0.0617331092700177,0.240906028294602,-0.256253899941951,0.797754791496778,0.997224633812684
"age",-0.00394820795211419,0.0201343989801355,-0.196092664896999,0.844537637373125,0.997224633812684
