"","Estimate","Std..Error","z.value","Pr...z..","q"
"(Intercept)",-35.1984844408578,90.9604742860574,-0.386964609816827,0.698782408111307,0.701935063333144
"geothrix",1052.16184480784,2682.36106168542,0.392252131838931,0.69487192850763,0.701935063333144
"actinobaculum",51.0207329843963,129.532783262327,0.393882781635828,0.693667583177641,0.701935063333144
"actinomyces",17.3029317478013,45.2116429208901,0.382709643577373,0.701935063333144,0.701935063333144
"arcanobacterium",-66.413239871708,169.402255072078,-0.392044603204664,0.695025257793104,0.701935063333144
"mobiluncus",-10.3486523829669,26.3844448102412,-0.392225512319672,0.694891595225406,0.701935063333144
"varibaculum",-9.18348171267179,23.4090599507512,-0.392304591982433,0.694833171127194,0.701935063333144
"corynebacterium",-8.78546808832332,22.4137845668173,-0.391967187073344,0.6950824586861,0.701935063333144
"dietzia",257.438367699288,655.626953795903,0.392659829204382,0.694570744035575,0.701935063333144
"glaciibacter",-2328.4335371736,5932.97284826439,-0.392456462674484,0.694720974059734,0.701935063333144
"microcella",-67.4519031775803,171.267706159371,-0.393839006139393,0.693699904258132,0.701935063333144
"propionibacterium",127.473184298265,323.752214925229,0.393736871661883,0.693775316115976,0.701935063333144
"alloscardovia",23.7865796158152,59.7348317661478,0.398202839323894,0.690480673182704,0.701935063333144
"bifidobacterium",-0.437928309490615,1.10678853220731,-0.395674780454436,0.692344962610444,0.701935063333144
"gardnerella",-0.0520228364434091,0.132730558146228,-0.39194317548259,0.695100200618096,0.701935063333144
"atopobium",-3.59125316278325,9.16381353712196,-0.391895049832183,0.695135760698058,0.701935063333144
"paraeggerthella",80.7684386792192,206.140922849034,0.391811764316052,0.69519730201435,0.701935063333144
"bacteroides",4.02364727500997,10.218779938622,0.393750261692449,0.693765429300577,0.701935063333144
"barnesiella",9.04172137451819,23.1024371036475,0.391375218724895,0.695519907034226,0.701935063333144
"parabacteroides",-12.7513215582568,32.3481584213365,-0.394190030609167,0.693440745495208,0.701935063333144
"porphyromonas",-0.280558085508007,0.71048058343102,-0.394884944150267,0.692927801764501,0.701935063333144
"tannerella",-4.26908193602105,10.8860496234527,-0.392160800629076,0.694939405606119,0.701935063333144
"prevotella",-0.0243656861897753,0.0630004506145775,-0.386754157344668,0.698938218279643,0.701935063333144
"alistipes",-72.8517472684577,185.213115379779,-0.393340110494202,0.694068296857054,0.701935063333144
"flavobacterium",19.0572075340858,48.5886727657155,0.392215025629033,0.694899342934296,0.701935063333144
"anoxybacillus",-746.086324401027,1895.8831726483,-0.393529693793759,0.693928296966841,0.701935063333144
