"","Estimate","Std..Error","z.value","Pr...z..","q"
"(Intercept)",-0.0398137910400603,1.79419911207348,-0.0221902857782875,0.98229616651014,0.995421862364673
"actinobaculum",-0.103028459585552,1.08327071902267,-0.0951086905390601,0.924228495318201,0.995421862364673
"actinomyces",0.00855748295367159,0.0698675175466976,0.122481565885778,0.902517644359188,0.995421862364673
"arcanobacterium",-0.0386402391852813,1.60086800097922,-0.024137055123624,0.980743286210427,0.995421862364673
"mobiluncus",-0.0896697223162179,0.795225882725556,-0.112760065113681,0.910220779775336,0.995421862364673
"varibaculum",0.302465890927465,2.87962110105726,0.105036697646233,0.916346689255961,0.995421862364673
"brevibacterium",0.0817568605203464,0.738007813302293,0.110780480974201,0.911790423993785,0.995421862364673
"corynebacterium",0.000875504053260455,0.0603300537823926,0.0145119057314013,0.988421580864165,0.995421862364673
"tomitella",0.187468266191886,1.21915402979174,0.153769139592566,0.877791767430353,0.995421862364673
"dermatophilus",-0.830330244560654,5.39472137141879,-0.153915315990134,0.877676507594034,0.995421862364673
"curtobacterium",-0.127792605494719,2.36731428636026,-0.0539821037836085,0.956949422561085,0.995421862364673
"micrococcus",0.0736424168020626,5.89850232024859,0.0124849347857778,0.990038722075839,0.995421862364673
"rothia",0.0109051849781443,1.69143048447598,0.00644731490784431,0.994855822615171,0.995421862364673
"propionibacterium",0.000552987175977277,0.0963748895572566,0.00573787610567113,0.995421862364673,0.995421862364673
"propionimicrobium",-0.172659042346097,1.02958337358744,-0.167697970631063,0.866820892783048,0.995421862364673
"alloscardovia",0.0363934839169968,0.627974176468406,0.0579537905868455,0.953785436392115,0.995421862364673
"bifidobacterium",2.58607570918842e-05,0.00188966827075246,0.0136853422858111,0.989081017515391,0.995421862364673
"gardnerella",-2.28307525015025e-05,0.000754010018913935,-0.0302791102622053,0.975844456529077,0.995421862364673
"scardovia",-0.0464030915139369,0.657220912616417,-0.0706050136615476,0.943712120049097,0.995421862364673
"adlercreutzia",1.26887590331163,13.2591920174229,0.0956978299766901,0.923760564418952,0.995421862364673
"atopobium",0.000153601644855023,0.00190540247316039,0.0806137532719017,0.935749128275594,0.995421862364673
"collinsella",-0.0240679234025809,3.57587568902802,-0.00673063761037034,0.99462976871293,0.995421862364673
"eggerthella",-23.6405624419337,499.574482074211,-0.0473213970893372,0.962257074772945,0.995421862364673
"slackia",-0.462407277365204,4.94125097948854,-0.0935810140558915,0.925441992007619,0.995421862364673
"marinifilum",-0.117689936244317,8.78391942022294,-0.0133983396948478,0.989309991455096,0.995421862364673
"bacteroides",0.00519772995670729,0.135754912307927,0.0382876012981211,0.969458376269717,0.995421862364673
"barnesiella",0.0723954330593561,1.4358838210966,0.0504187260805452,0.959788714109038,0.995421862364673
"parabacteroides",-0.0534322531986914,0.986002247997656,-0.0541908026144971,0.956783148368954,0.995421862364673
"porphyromonas",0.000650211686014595,0.0073431531535301,0.0885466600546138,0.929442200589295,0.995421862364673
