"","Estimate","Std..Error","z.value","Pr...z..","q"
"(Intercept)",0.400147753475798,2.81730289816303,0.142032208796827,0.8870545646375,0.993658359289651
"actinobacteria",-1.23436885225216e-07,1.55302629860794e-05,-0.00794815164017889,0.993658359289651,0.993658359289651
"bacteroidetes",-3.32330330723853e-05,7.66184452661723e-05,-0.433747160451166,0.664472055946578,0.993658359289651
"chloroflexi",-0.00484984153233399,0.0143356240778651,-0.338306969127515,0.735131872426388,0.993658359289651
"cyanobacteria_chloroplast",0.143665001078826,0.262637337228507,0.547009052843962,0.584372512677908,0.993658359289651
"firmicutes",-9.84363898225765e-06,1.30953845831644e-05,-0.75168765909424,0.452238913585668,0.993658359289651
"fusobacteria",-0.000170755299837086,0.000342311206482373,-0.49883058633045,0.617898738052182,0.993658359289651
"planctomycetes",-0.0591513905809596,0.238759448034482,-0.247744711540868,0.804331935210148,0.993658359289651
"proteobacteria",0.000492293468971037,0.000973567810006989,0.505659147632976,0.613095951654982,0.993658359289651
"spirochaetes",-0.0417985689479428,0.123591795130974,-0.338198574619355,0.735213549929404,0.993658359289651
"synergistetes",0.00640249086324013,0.0150835565076282,0.424468251900816,0.67122435424457,0.993658359289651
"tenericutes",1.82714860016411e-05,0.00051609134358369,0.035403589362235,0.971757922610599,0.993658359289651
"tm7",0.0346582034030351,0.0350143538035287,0.989828445714234,0.322257978566545,0.993658359289651
"verrucomicrobia",0.0117220183088178,0.11160489230982,0.105031401995147,0.916350891331191,0.993658359289651
"streptophyta",0.00149341778068564,0.00301451131081532,0.495409579432535,0.620311034107889,0.993658359289651
"dep",-0.0335242343299291,0.35895823811249,-0.0933931326000751,0.925591246065329,0.993658359289651
"age",0.0126525475132663,0.0439750392451171,0.287721119309091,0.773560222446005,0.993658359289651
"BMI",-0.00633130541068733,0.0440105319036349,-0.143858870521045,0.885611914343269,0.993658359289651
"ethnicity",-0.0486653506094123,0.216670140247138,-0.224605709646487,0.82228602272008,0.993658359289651
"pHRecoded>4.5",-0.166310624273299,0.774363336676492,-0.214770788331859,0.82994602896891,0.993658359289651
