"","Estimate","Std..Error","z.value","Pr...z..","q"
"(Intercept)",-0.649317013420473,1.29776117627181,-0.500336290908181,0.616838304626179,0.948897280682469
"actinobacteria",-1.22780907456713e-05,3.37007473571454e-05,-0.364326957368441,0.715613872046021,0.948897280682469
"bacteroidetes",6.55539476673439e-06,1.91618754416189e-05,0.342106115171603,0.732271035578631,0.948897280682469
"cyanobacteria_chloroplast",0.0348394763029872,0.231861170895118,0.150260072303123,0.880559432967774,0.948897280682469
"firmicutes",-1.64907147672178e-06,5.17902981316839e-06,-0.318413204057794,0.750171523699911,0.948897280682469
"fusobacteria",1.53770356779428e-06,2.38216511548558e-05,0.064550671059627,0.948531761534368,0.948897280682469
"planctomycetes",0.0107067756240043,0.0638043580278811,0.167806337293225,0.866735636761184,0.948897280682469
"proteobacteria",-1.41150582526818e-05,0.00014000292351506,-0.100819739318968,0.919693556970353,0.948897280682469
"spirochaetes",0.00133532285499198,0.00669520049774341,0.199444789658211,0.841914827104377,0.948897280682469
"synergistetes",-0.000827966309458258,0.00262923242612675,-0.314907994147164,0.75283151174071,0.948897280682469
"tenericutes",0.0104872418146301,0.0475630216173917,0.220491496503145,0.825488394241595,0.948897280682469
"tm7",0.0211499000060526,0.112332002200332,0.188280272689648,0.850656948910728,0.948897280682469
"verrucomicrobia",-0.0153263417000688,0.239131786446428,-0.0640916121098871,0.948897280682469,0.948897280682469
"chordata",-4.93702992779233e-05,0.000228471869176266,-0.216089181814476,0.828918232175395,0.948897280682469
"dep",-0.0177770766137245,0.0969629993386543,-0.183338765662931,0.854532219256997,0.948897280682469
"age",0.00319026967896524,0.0125015912248075,0.255189089260464,0.798577057674881,0.948897280682469
"BMI",0.00478084297291676,0.00902591557540617,0.529679558043243,0.596334123419313,0.948897280682469
"menopausal.status",-0.0858366597093057,0.310965329350424,-0.276032893726802,0.782522801788103,0.948897280682469
"pHRecoded",0.332952088173139,0.320513303032422,1.03880895121367,0.298893597521016,0.948897280682469
"ethnicityRecoded",0.133817325025364,0.214022322454801,0.62524938282372,0.531807395436066,0.948897280682469
