"","Estimate","Std..Error","z.value","Pr...z..","q"
"(Intercept)",0.948379788384288,1.63082816126632,0.581532629193676,0.560881533785909,0.999657974197555
"actinobaculum",0.0278648392661518,0.217737000728844,0.127974754740252,0.898168951540837,0.999657974197555
"actinomyces",-0.0151902287035084,0.127433380884454,-0.119201331692531,0.905115851635059,0.999657974197555
"arcanobacterium",-0.151466875614127,0.390297297067802,-0.388080770100272,0.697956262170738,0.999657974197555
"mobiluncus",0.00919195280592245,0.0915860792001729,0.100364082469698,0.920055283786433,0.999657974197555
"trueperella",2.96355317934534,18.30022702286,0.161940787709539,0.871352482772207,0.999657974197555
"varibaculum",-0.0661965304240194,0.207210490211453,-0.319465150420075,0.749373813868034,0.999657974197555
"brevibacterium",1.89857397819122,2.61311455840855,0.726555968272396,0.467498010008543,0.999657974197555
"corynebacterium",-0.029271957096455,0.111221584095301,-0.263185939442952,0.792407267592998,0.999657974197555
"brachybacterium",4.52371571421144,83.7677059593472,0.0540030989556622,0.956932695236987,0.999657974197555
"dietzia",0.062386278088359,5.73436948985564,0.0108793614012357,0.991319696741076,0.999657974197555
"arthrobacter",2.32924596957513,5.35475082258853,0.434986808302902,0.663572002735877,0.999657974197555
"propionibacterium",0.0683956810186161,0.755830707892399,0.0904907412525411,0.927897251178636,0.999657974197555
"propionimicrobium",-0.00287085404783871,0.219234324752327,-0.0130949113515047,0.989552071004476,0.999657974197555
"alloscardovia",0.00295040217848506,0.599016308024875,0.00492541211142208,0.996070105610378,0.999657974197555
"bifidobacterium",-0.00463539283082155,0.161837707804984,-0.0286422298838243,0.977149931311173,0.999657974197555
"gardnerella",0.0012354162694626,0.00540393929216295,0.228614017047574,0.819168929039902,0.999657974197555
"scardovia",-70.191031124491,284.672665519531,-0.246567512888501,0.805242949326711,0.999657974197555
"adlercreutzia",3.72281292010703,53.3566991896548,0.0697721743782239,0.944374994817183,0.999657974197555
"atopobium",-1.57919686630259e-05,0.00498301577742315,-0.0031691588725397,0.997471381297595,0.999657974197555
