histology	Benign	EC	EC	EC	EC	EC	Benign	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	EC
sraID	SRR15655215	SRR15655218	SRR15655221	SRR15655225	SRR15655228	SRR15655231	SRR15655234	SRR15655235	SRR15655238	SRR15655241	SRR15655244	SRR15655248	SRR15655251	SRR15655254	SRR15655258	SRR15655261	SRR15655264	SRR15655267	SRR15655268	SRR15655271	SRR15655274	SRR15655277	SRR15655281	SRR15655284	SRR15655287	SRR15655291	SRR15655294	SRR15655297	SRR15655300
actinomycetales	 48	506	107	 29	193	 28	  6	289	  1	 19	  9	 10	 24	 18	  9	  7	 33	 38	 41	 13	 47	  3	  8	  7	  4	 58	  9	 33	658
bifidobacteriales	 1910	   13	 2044	    6	    2	 3158	   24	    8	    1	 1546	    4	 2855	   42	   14	 2229	    2	    1	  830	   49	 1853	    3	    3	 1661	  106	 3099	   23	    0	17083	   43
coriobacteriales	633	  8	  7	  2	  1	 10	  1	  0	  0	174	  3	 63	 15	  8	977	  6	  0	187	  3	286	  4	  3	  3	  8	  2	 17	  0	  3	 10
bacteroidales	1730	 770	2924	  53	 178	3235	  21	 124	   0	  86	  35	  62	3516	6761	4345	  67	  37	4884	 588	6034	 186	  16	 121	1234	  73	4172	   6	 748	 955
flavobacteriales	 2	 5	 3	 4	 8	 6	 2	89	 0	 1	 6	 9	11	 0	 3	 4	17	 3	 7	 4	14	 3	 0	 1	10	 4	 6	18	97
bacillales	  8	149	  3	  0	  3	  7	  2	 29	  1	  3	  4	  3	  2	  0	  5	  1	 30	  2	  2	  3	  2	  0	  3	  1	  2	  4	  0	  8	 31
lactobacillales	    95	    82	   543	    21	    18	  4863	  5504	   501	     0	  3621	  6077	  4857	  3060	    95	    84	  7316	     6	    80	134195	  1306	  5583	  5289	   333	   316	  1512	   135	     0	 96215	  7956
clostridiales	 752	 577	 338	  81	 245	 755	  20	7188	   1	  66	  50	  28	1230	1626	1438	  49	 166	 793	 665	 151	 171	  23	  63	2880	  22	1303	   1	1173	1469
erysipelotrichales	 0	 0	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 9	 0	 0	 0	 0	 0	 0	 0	 0	28	 2
selenomonadales	 422	  21	 267	  12	  28	 171	   8	  19	   0	  95	  14	   5	 188	 817	1470	  11	  12	1606	  95	1117	  24	   7	  19	  37	 165	 241	   0	 138	 173
fusobacteriales	1069	   9	   1	   0	   2	  11	   0	   7	   0	 102	   4	   2	  11	  10	1728	   4	   0	 305	  43	   2	   0	   0	   2	   6	   3	  26	   1	  88	  13
rhizobiales	  0	 12	  2	 14	  8	  0	  3	126	  5	  1	  1	  1	  2	  0	  0	  1	 16	  0	  1	  0	  3	  2	  4	  4	  3	  0	 18	  6	105
rhodospirillales	 0	 1	 1	 0	 0	 2	 0	 0	 0	 1	 1	 1	 1	 0	 0	 0	 3	 1	 0	 0	 0	 1	 1	 1	 1	97	 0	 0	 0
sphingomonadales	  0	  0	  0	  0	  0	  0	  0	330	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	  0	  0	  0	  0	  0	  1	  0	 14	285
burkholderiales	 2	 0	 0	 1	13	 3	 0	27	 0	 0	 1	 0	 4	 1	 0	 0	 4	 1	25	 1	 4	 0	 3	 1	 1	92	 0	35	20
desulfovibrionales	 0	 0	 0	 0	 0	 0	 0	 8	 0	 0	 2	 0	 1	 0	 0	 0	 0	 2	11	 0	 0	 0	 1	 1	 0	38	 0	17	 1
campylobacterales	   9	  12	  29	   8	   0	 225	   1	1108	   0	  20	   2	   1	 626	  65	   4	   4	   6	  10	  34	  10	  22	   0	  18	   7	   1	 198	   0	  49	 112
enterobacteriales	 0	 5	 1	 2	 2	 0	 0	 5	 0	 0	 0	 0	 1	 2	 0	 1	 5	 0	38	 1	 0	 0	 1	71	 1	 1	 2	30	16
pasteurellales	  2	  3	  0	  0	  0	  0	  0	  0	  0	  1	  0	  8	  1	  1	  1	  0	  0	  0	  5	  0	  1	  0	  0	124	  0	  0	  0	  6	  2
mycoplasmatales	  5	  0	331	  1	  0	155	308	  0	  0	  7	  2	  0	709	  5	  8	  3	  0	  5	  2	  7	  2	  3	  1	  9	  0	  8	  0	  0	  0
verrucomicrobiales	  0	  0	  2	  1	  0	  0	  0	125	  0	  1	  0	  0	  0	  0	  0	  0	  3	  0	 41	  1	  0	  0	  0	 89	  0	 23	  0	 32	120
