"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.602819144995529","1.22792694101298","0.490924276405429"
" bacilli","class: bacilli","FALSE","2.8652705568759","1.63043225628743","1.75736866455296"
" bacteroidia","class: bacteroidia","FALSE","-0.461010303664232","1.12242111038124","-0.41072846848688"
"phylum: proteobacteria","phylum: proteobacteria","FALSE","-1.85045575642415","1.5869383000396","-1.16605400246372"
" coriobacteriia","class: coriobacteriia","FALSE","2.27687625602861","1.18892411141319","1.91507282438931"
"phylum: bacteroidetes","phylum: bacteroidetes","FALSE","0.960228863585435","1.15643031388623","0.830338717391925"
"phylum: firmicutes","phylum: firmicutes","FALSE","2.17990520922804","0.815103096770608","2.67439200987543"
" clostridia","class: clostridia","FALSE","0.468080577973858","1.09612637977773","0.427031578301013"
" flavobacteriia","class: flavobacteriia","FALSE","-1.02345226273297","1.11441061113983","-0.918379861518169"
" gammaproteobacteria","class: gammaproteobacteria","FALSE","-2.29397917260666","1.35492290841898","-1.693069884901"
" actinobacteria","class: actinobacteria","FALSE","-0.101799418749693","1.0560081948164","-0.0964002166360011"
"kingdom:unassigned","kingdom:unassigned","FALSE","1.15879418725568","0.795026651107528","1.45755388909466"
" betaproteobacteria","class: betaproteobacteria","FALSE","0.0918958158231131","0.745185963255149","0.12331930599134"
" fusobacteriia","class: fusobacteriia","FALSE","0.12751560143891","0.820944094015672","0.155327996593731"
" alphaproteobacteria","class: alphaproteobacteria","FALSE","-0.947001150758578","0.792057986858062","-1.19562098542197"
" erysipelotrichi","class: erysipelotrichi","TRUE","0.227035801295702","0","0.231264959681215"
" sphingobacteriia","class: sphingobacteriia","FALSE","-0.0689097922781776","0.714062864931449","-0.0965038173281746"
"phylum: actinobacteria","phylum: actinobacteria","FALSE","0.580648653356801","0.801863460101804","0.724124096243371"
" cytophagia","class: cytophagia","TRUE","-0.206943499999737","0","-0.248493596855626"
