"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.680672534040201","1.25267595296713","0.543374790924931"
" lactobacillaceae","family: lactobacillaceae","FALSE","3.35592274791937","1.73128025056159","1.93840526213522"
"order: bacteroidales","order: bacteroidales","FALSE","-1.1173061952105","1.22888942326018","-0.909199944325623"
" bacteroidaceae","family: bacteroidaceae","FALSE","-0.781905843878121","0.923463642860708","-0.846709938093428"
" porphyromonadaceae","family: porphyromonadaceae","FALSE","-1.34046278765632","1.15233204503447","-1.16326087904309"
"phylum: proteobacteria","phylum: proteobacteria","FALSE","-1.77260236737947","1.45768084231646","-1.21604285102805"
" coriobacteriaceae","family: coriobacteriaceae","FALSE","2.35472964507328","1.07918556106506","2.18195065800303"
"phylum: bacteroidetes","phylum: bacteroidetes","FALSE","1.03808225263011","1.22135335592893","0.849944242254581"
" prevotellaceae","family: prevotellaceae","TRUE","2.91357568024984","0","3.20804386038162"
" streptococcaceae","family: streptococcaceae","FALSE","4.26094125633401","1.28440474931409","3.31744433256687"
"phylum: firmicutes","phylum: firmicutes","FALSE","2.25775859827271","0.884677166320477","2.55207061312898"
" ruminococcaceae","family: ruminococcaceae","TRUE","-2.34705476539","0.537586405966187","-4.36591167362522"
" clostridiaceae","family: clostridiaceae","TRUE","0.0996780998183108","0","0.129669192168708"
" rikenellaceae","family: rikenellaceae","FALSE","-1.07821671031933","0.549302547810578","-1.96288314084271"
" lachnospiraceae","family: lachnospiraceae","FALSE","0.786058354359134","0.766172077948926","1.02595536561897"
"order: clostridiales","order: clostridiales","FALSE","0.292809108122526","0.62241474810236","0.470440504527331"
"class: clostridia","class: clostridia","FALSE","0.0451985204221999","0.67139825702199","0.0673199847474723"
" barnesiellaceae","family: barnesiellaceae","FALSE","-0.730717017475254","0.905872649632108","-0.806644308967725"
" tissierellaceae","family: tissierellaceae","FALSE","0.100790722712967","0.778587431055288","0.129453313388782"
"order: lactobacillales","order: lactobacillales","FALSE","2.58837285597932","1.1046786949304","2.34310018637808"
" flavobacteriaceae","family: flavobacteriaceae","FALSE","-0.937090410524767","1.03402718633169","-0.906253165208531"
" peptostreptococcaceae","family: peptostreptococcaceae","FALSE","2.41490780074384","0.90612917077982","2.66508118115826"
"order: bacillales","order: bacillales","FALSE","2.08132627470001","1.05493081929833","1.97295048796126"
" enterobacteriaceae","family: enterobacteriaceae","FALSE","-2.33212364865631","1.1346763524633","-2.05532057100992"
" propionibacteriaceae","family: propionibacteriaceae","FALSE","-1.8428739305657","0.983468115340015","-1.87385223966164"
"kingdom:unassigned","kingdom:unassigned","FALSE","1.23664757630035","0.77499867229856","1.59567702565553"
"class: bacilli","class: bacilli","FALSE","2.17242077870358","1.00006044715593","2.17228946998325"
" planococcaceae","family: planococcaceae","FALSE","-1.23939176977138","1.34817124238773","-0.919313311843316"
" bacillaceae","family: bacillaceae","FALSE","1.31115350685438","0.907791606288506","1.4443331462548"
" veillonellaceae","family: veillonellaceae","TRUE","2.21158769338888","0","2.74738235999126"
"order: burkholderiales","order: burkholderiales","FALSE","-0.0779571024574218","0.68726095657081","-0.11343158913959"
" xanthomonadaceae","family: xanthomonadaceae","FALSE","-2.3967508322126","1.24663555073912","-1.92257539165443"
" s24-7","family: s24-7","TRUE","-1.80219480121454","0","-2.05774848049978"
" marinilabiaceae","family: marinilabiaceae","FALSE","-0.39603593241673","0.530438419762494","-0.746619998970015"
" fusobacteriaceae","family: fusobacteriaceae","TRUE","-0.105810264282435","0","-0.145351794469287"
" pseudomonadaceae","family: pseudomonadaceae","FALSE","-1.38849587762885","0.987329848842809","-1.4063140897201"
" erysipelotrichaceae","family: erysipelotrichaceae","TRUE","0.304889190340375","0","0.399325559810855"
" corynebacteriaceae","family: corynebacteriaceae","TRUE","0.798858076563058","0","1.02796587934434"
"order: actinomycetales","order: actinomycetales","FALSE","0.0849571298011315","1.0027782542774","0.0847217512333781"
"class: gammaproteobacteria","class: gammaproteobacteria","FALSE","-1.54766910396806","0.853812366138215","-1.81265716607988"
" sphingobacteriaceae","family: sphingobacteriaceae","FALSE","0.0089435967664962","0.533585642454486","0.0167613145011845"
" actinomycetaceae","family: actinomycetaceae","TRUE","-0.466491626093717","0","-0.569231955331421"
" aerococcaceae","family: aerococcaceae","FALSE","0.873445403108446","0.533227211033503","1.6380360661181"
" caulobacteraceae","family: caulobacteraceae","TRUE","0.502028896080038","0","0.775857524376512"
"phylum: actinobacteria","phylum: actinobacteria","FALSE","0.658502042401475","0.615246952884739","1.07030524785848"
" moraxellaceae","family: moraxellaceae","TRUE","-1.83161036409082","0","-2.16831548739547"
"class: actinobacteria","class: actinobacteria","TRUE","-0.0659571336321732","0","-0.120573626915261"
" mitochondria","family: mitochondria","TRUE","0.294913470228703","0","0.558309565396553"
" bifidobacteriaceae","family: bifidobacteriaceae","TRUE","-0.353441744956729","0","-0.598440202540652"
" enterococcaceae","family: enterococcaceae","TRUE","-0.0156419390707321","0","-0.0244311131830201"
"class: betaproteobacteria","class: betaproteobacteria","FALSE","0.185906698312486","0.611287129841307","0.304123364024935"
" weeksellaceae","family: weeksellaceae","FALSE","-0.173320578181782","0.417073571223776","-0.415563560340745"
"order: cytophagales","order: cytophagales","TRUE","-0.18136916327325","0","-0.319880602480165"
" comamonadaceae","family: comamonadaceae","TRUE","0.087499384734629","0","0.132006566735899"
" cyclobacteriaceae","family: cyclobacteriaceae","TRUE","-0.0100247246535434","0","-0.0168441585174184"
"class: alphaproteobacteria","class: alphaproteobacteria","TRUE","-0.354512470174988","0","-0.866643767189238"
" leptotrichiaceae","family: leptotrichiaceae","TRUE","0.400851890312043","0","0.734139962417988"
" oxalobacteraceae","family: oxalobacteraceae","FALSE","0.0473366868856593","0.570971728601236","0.0829054829065258"
" brevibacteriaceae","family: brevibacteriaceae","TRUE","0.115339259289716","0","0.200378855503815"
