"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" alphaproteobacteria","class: alphaproteobacteria","FALSE","1.20256501628872","1.05620060614037","1.1385763360648"
" bacilli","class: bacilli","FALSE","-1.34199431357374","1.27720855582467","-1.05072449401753"
" gammaproteobacteria","class: gammaproteobacteria","FALSE","0.51808995796914","0.921588461036817","0.56217062156602"
" actinobacteria","class: actinobacteria","FALSE","-0.0544484252730791","0.92843320098827","-0.0586454956749948"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.726778453953223","0.412628386102409","1.76133896365735"
" bacteroidia","class: bacteroidia","FALSE","-0.708488119472832","0.891764163889974","-0.794479244806529"
" coriobacteriia","class: coriobacteriia","FALSE","-1.39375106039904","1.29185096604287","-1.07887914088751"
" clostridia","class: clostridia","FALSE","-0.781449620499548","0.59372227716493","-1.31618713084345"
"phylum: firmicutes","phylum: firmicutes","FALSE","-1.90278680991879","0.707550914196511","-2.68925779295979"
" fusobacteriia","class: fusobacteriia","FALSE","-1.81163724947522","1.06575252111985","-1.69986672663146"
"kingdom:unassigned","kingdom:unassigned","FALSE","1.07223028675225","0.484632165984488","2.21246207332132"
" chloroplast","class: chloroplast","TRUE","0.622212326728093","0","1.24298302308746"
" epsilonproteobacteria","class: epsilonproteobacteria","TRUE","-0.113839245982608","0","-0.25049763971124"
" mollicutes","class: mollicutes","FALSE","-0.316355223807925","1.02618729673761","-0.308282147726504"
" betaproteobacteria","class: betaproteobacteria","FALSE","0.805989294284814","0.679785951997704","1.18565158917485"
" deinococci","class: deinococci","TRUE","-0.343199332031675","0","-0.407732444433901"
" deltaproteobacteria","class: deltaproteobacteria","FALSE","-0.729117791853494","0.542856895757251","-1.34311233319864"
" tm7-3","class: tm7-3","TRUE","0.146937949405613","0","0.353745141120595"
" erysipelotrichi","class: erysipelotrichi","FALSE","-0.24846243757","0.566232652257014","-0.438799204849145"
" verrucomicrobiae","class: verrucomicrobiae","TRUE","0.460579066464852","0","1.12803284496235"
"phylum: proteobacteria","phylum: proteobacteria","FALSE","0.835088609713734","0.406765497978626","2.05299764572859"
" flavobacteriia","class: flavobacteriia","FALSE","-0.695645975015041","0.630109093243792","-1.10400878589748"
"phylum: cyanobacteria","phylum: cyanobacteria","TRUE","0.298823284501779","0","0.656610006089612"
"phylum: bacteroidetes","phylum: bacteroidetes","TRUE","-1.35379429988733","0.43043328732438","-3.14518960255761"
"phylum: od1","phylum: od1","TRUE","-0.026344080719685","0","-0.0717938508656847"
"phylum: actinobacteria","phylum: actinobacteria","FALSE","-1.00470478025481","0.653553421897301","-1.53729557002103"
