"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" proteobacteria","phylum: proteobacteria","FALSE","0.243433533289635","0.887125694246781","0.274407037095599"
" firmicutes","phylum: firmicutes","FALSE","-1.81162696098148","1.1012526789589","-1.64506020788449"
" actinobacteria","phylum: actinobacteria","FALSE","-1.15737745012329","0.994066976236855","-1.16428518177383"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.447902367375803","0.479381740508307","0.934333391382146"
" bacteroidetes","phylum: bacteroidetes","FALSE","-1.15477472122934","0.885196062996136","-1.30454118528358"
" fusobacteria","phylum: fusobacteria","FALSE","-2.09051333605264","1.13631956256314","-1.83972308928412"
"kingdom:unassigned","kingdom:unassigned","FALSE","0.793354200174824","0.563129183373665","1.40883162087587"
" cyanobacteria","phylum: cyanobacteria","TRUE","0.339727993678199","0","0.627087340029245"
" tenericutes","phylum: tenericutes","FALSE","-0.595231310385346","1.00104900069601","-0.594607566634095"
" thermi","phylum: thermi","TRUE","-0.622075418609096","0","-0.710165270309777"
" tm7","phylum: tm7","TRUE","-0.0742655849841045","0","-0.178850048828358"
" verrucomicrobia","phylum: verrucomicrobia","TRUE","0.181702979887431","0","0.449365193353582"
" od1","phylum: od1","TRUE","-0.315977049904187","0","-0.783525643176068"
