"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" lactobacillaceae","family: lactobacillaceae","FALSE","-1.25242482305629","1.41073667749015","-0.887780719846663"
"kingdom:unassigned","kingdom:unassigned","FALSE","-0.187782359633219","0.648150500308701","-0.289720303453877"
" streptococcaceae","family: streptococcaceae","TRUE","2.42415579297674","0","3.93864713434615"
" bifidobacteriaceae","family: bifidobacteriaceae","FALSE","-0.00558353214803403","1.59594056703041","-0.00349858400956834"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.112672138214994","0.460111387427608","0.24488013401477"
" prevotellaceae","family: prevotellaceae","FALSE","0.0503928254492041","1.50346757271845","0.0335177335139245"
" tissierellaceae","family: tissierellaceae","FALSE","2.23054219814297","0.70562805063641","3.16107359412828"
" veillonellaceae","family: veillonellaceae","FALSE","0.0520685793049935","1.31631898452069","0.039556201739317"
" leptotrichiaceae","family: leptotrichiaceae","TRUE","-0.770281095476734","0","-0.560512689176503"
" clostridiaceae","family: clostridiaceae","TRUE","-0.506870108540987","0","-0.401907728698977"
" porphyromonadaceae","family: porphyromonadaceae","FALSE","-0.109619437556776","0.771786225215213","-0.142033420622671"
" aerococcaceae","family: aerococcaceae","TRUE","0.570852221515133","0","0.750658534821217"
" mycoplasmataceae","family: mycoplasmataceae","FALSE","-0.894284935097756","1.27252230459105","-0.702765626874536"
" coriobacteriaceae","family: coriobacteriaceae","FALSE","-1.29322571926222","1.33359487811637","-0.969729068762495"
" campylobacteraceae","family: campylobacteraceae","TRUE","1.75982911416703","0","3.21845011227974"
" bacteroidaceae","family: bacteroidaceae","TRUE","1.79475858013322","0","3.08199421533787"
" lachnospiraceae","family: lachnospiraceae","FALSE","0.832663786500237","0.864261913837782","0.963439176444519"
" corynebacteriaceae","family: corynebacteriaceae","TRUE","1.02384181439736","0","1.90265324667324"
" sphingomonadaceae","family: sphingomonadaceae","TRUE","0.570003701844203","0","1.67642304588688"
" ruminococcaceae","family: ruminococcaceae","TRUE","1.20468968554403","0","2.81197187980611"
" actinomycetaceae","family: actinomycetaceae","FALSE","0.209259686762199","0.709006535887821","0.295144933325845"
" peptostreptococcaceae","family: peptostreptococcaceae","TRUE","-0.0395754653081197","0","-0.0838733309230345"
" bradyrhizobiaceae","family: bradyrhizobiaceae","TRUE","0.333882146476976","0","0.783351485709617"
" flavobacteriaceae","family: flavobacteriaceae","FALSE","0.436632923110484","0.521066364658662","0.837960292057062"
" verrucomicrobiaceae","family: verrucomicrobiaceae","TRUE","0.949283133636905","0","2.62951462937695"
" enterobacteriaceae","family: enterobacteriaceae","TRUE","0.647011226611229","0","2.5622388363744"
" pasteurellaceae","family: pasteurellaceae","TRUE","0.333321841557231","0","1.15976133361414"
" gemellaceae","family: gemellaceae","FALSE","-0.458093463251117","0.406026367434141","-1.12823575017064"
" staphylococcaceae","family: staphylococcaceae","TRUE","0.37183506575245","0","1.67034505063421"
"order: actinomycetales","order: actinomycetales","TRUE","0.302365485725727","0","0.840681444076444"
"order: bacteroidales","order: bacteroidales","TRUE","0.418103267156442","0","1.55324699465144"
" s24-7","family: s24-7","FALSE","-0.152230137567726","0.71845162495587","-0.211886412779811"
" barnesiellaceae","family: barnesiellaceae","FALSE","0.098578328912149","0.273856203874863","0.359963833272127"
" alcaligenaceae","family: alcaligenaceae","TRUE","-0.0276280392349151","0","-0.0808593694147697"
" propionibacteriaceae","family: propionibacteriaceae","TRUE","0.103071145368242","0","0.490097037972423"
" rikenellaceae","family: rikenellaceae","TRUE","0.359455011094638","0","1.25559398560983"
" micrococcaceae","family: micrococcaceae","TRUE","0.169158937367358","0","0.787802177394572"
" fusobacteriaceae","family: fusobacteriaceae","TRUE","0.102283727519835","0","0.319253344837855"
" oxalobacteraceae","family: oxalobacteraceae","TRUE","0.189432192772766","0","0.949231173963235"
" comamonadaceae","family: comamonadaceae","FALSE","-0.284244650688604","0.290642540178561","-0.977987085145807"
"order: clostridiales","order: clostridiales","FALSE","0.36388976931331","0.34848427422995","1.04420714569517"
" microbacteriaceae","family: microbacteriaceae","TRUE","-0.0996049830168503","0","-0.270827075101462"
"class: bd1-5","class: bd1-5","FALSE","-0.104873008799742","0.177013444793778","-0.592457871897355"
" neisseriaceae","family: neisseriaceae","FALSE","0.0108773718498886","0.191447926423531","0.0568163471555453"
" weeksellaceae","family: weeksellaceae","TRUE","-0.119257112422331","0","-0.63775918935325"
"class: zb2","class: zb2","TRUE","0.231886291881801","0","1.0521923154716"
"phylum: sr1","phylum: sr1","TRUE","-0.00939588355551957","0","-0.0544056452033015"
" cryomorphaceae","family: cryomorphaceae","TRUE","-0.0440532425835169","0","-0.154311965734125"
" ack-m1","family: ack-m1","TRUE","-0.0296691389609278","0","-0.1647666363876"
"class: koll11","class: koll11","FALSE","-0.119257112422331","0.177264044093942","-0.672765382465998"
" coxiellaceae","family: coxiellaceae","FALSE","-0.0702156497717442","0.171349942847047","-0.409779242438505"
" chitinophagaceae","family: chitinophagaceae","TRUE","0.191871700981238","0","0.964554492430616"
"phylum: od1","phylum: od1","TRUE","-0.00412785777262828","0","-0.0228756860727825"
" pseudomonadaceae","family: pseudomonadaceae","TRUE","-0.0152850353383388","0","-0.0748267580435473"
" cytophagaceae","family: cytophagaceae","TRUE","-0.208845085883733","0","-0.750850426110873"
"phylum: bacteroidetes","phylum: bacteroidetes","TRUE","-0.013243935612326","0","-0.0719943324285571"
" mogibacteriaceae","family: mogibacteriaceae","TRUE","0.030529501255369","0","0.159136331065894"
"order: saprospirales","order: saprospirales","TRUE","-0.00412785777262828","0","-0.0225598455872099"
"order: sphingobacteriales","order: sphingobacteriales","TRUE","0.0599188345004749","0","0.333537392400119"
" sphingobacteriaceae","family: sphingobacteriaceae","FALSE","-0.208845085883733","0.175013460865279","-1.19330870237746"
" moraxellaceae","family: moraxellaceae","TRUE","-0.208845085883733","0","-0.748809680988416"
" rhodobacteraceae","family: rhodobacteraceae","TRUE","-0.011282899954662","0","-0.0584765276617373"
" planctomycetaceae","family: planctomycetaceae","FALSE","-0.0845997533943333","0.185803775479191","-0.455317730633562"
"phylum: proteobacteria","phylum: proteobacteria","TRUE","-0.269664852099958","0","-0.738283489825142"
" chthoniobacteraceae","family: chthoniobacteraceae","FALSE","-0.22118808978031","0.279764228996043","-0.790623199306292"
"order: stramenopiles","order: stramenopiles","FALSE","-0.250179014542957","0.291158570486382","-0.859253478697299"
"order: streptophyta","order: streptophyta","FALSE","-0.0340197078104092","0.184536138824041","-0.184352550276603"
"order: legionellales","order: legionellales","FALSE","-0.202955934100914","0.185223801713712","-1.09573355164478"
" mitochondria","family: mitochondria","FALSE","-0.139530367827739","0.173108962641173","-0.806026249010359"
" paraprevotellaceae","family: paraprevotellaceae","FALSE","-0.0845997533943333","0.185498954626302","-0.456065930747504"
" desulfovibrionaceae","family: desulfovibrionaceae","FALSE","-0.0903913441705894","0.308288502258517","-0.293203747491015"
