"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" firmicutes","phylum: firmicutes","FALSE","0.188354824586186","0.602825462436391","0.312453332387334"
"kingdom:unassigned","kingdom:unassigned","FALSE","-0.178485916263316","0.625770295515567","-0.285225932810159"
" actinobacteria","phylum: actinobacteria","FALSE","0.451769687070328","1.29740847964258","0.34820929118236"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.121968581584901","0.523072323313843","0.233177279983364"
" bacteroidetes","phylum: bacteroidetes","FALSE","0.636876629641128","1.345008600625","0.473511194906252"
" fusobacteria","phylum: fusobacteria","FALSE","-0.564762375835494","1.35864195815469","-0.415681535849633"
" tenericutes","phylum: tenericutes","FALSE","-0.795400518266449","1.24802066935421","-0.637329603425584"
" proteobacteria","phylum: proteobacteria","FALSE","1.70472873119877","0.565071802632825","3.01683560081386"
" verrucomicrobia","phylum: verrucomicrobia","TRUE","0.794826180856328","0","1.81360379535593"
" tm6","phylum: tm6","FALSE","0.0142846634369735","0.220927920935711","0.0646575741828948"
" spirochaetes","phylum: spirochaetes","FALSE","-0.109960669052427","0.212927505911527","-0.516423036007927"
" gn02","phylum: gn02","TRUE","0.025441841002684","0","0.11611095549675"
" od1","phylum: od1","TRUE","0.33331903089271","0","1.20486138755277"
" sr1","phylum: sr1","TRUE","-9.94401856155569e-05","0","-0.000462020213701428"
" op3","phylum: op3","FALSE","-0.109960669052427","0.220996503012308","-0.497567461718173"
" tm7","phylum: tm7","TRUE","-0.109960669052426","0","-0.515073718999276"
" planctomycetes","phylum: planctomycetes","TRUE","0.155945330639784","0","0.666785777092632"
" cyanobacteria","phylum: cyanobacteria","TRUE","-0.106929437961605","0","-0.35579171761897"
" acidobacteria","phylum: acidobacteria","TRUE","0.0017189420229281","0","0.00825959317930646"
" euryarchaeota","phylum: euryarchaeota","TRUE","-0.0550300546190211","0","-0.27317818962329"
" synergistetes","phylum: synergistetes","FALSE","-0.0753033100244293","0.228601212394677","-0.329409057964308"
