"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" bifidobacteriales","order: bifidobacteriales","FALSE","-0.684051479857358","3.19404773765948","-0.214164450891587"
" lactobacillales","order: lactobacillales","FALSE","-0.515868015427323","4.11957389984641","-0.125223634280855"
" bacteroidales","order: bacteroidales","FALSE","0.462869364761149","3.52818209430119","0.13119202818607"
" coriobacteriales","order: coriobacteriales","FALSE","0.120641543898513","0.93449053476979","0.129098732849374"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.118702726979153","3.98423633404244","0.0297930938395707"
" clostridiales","order: clostridiales","FALSE","-0.106988564744933","3.53452456359546","-0.030269577370287"
" i025","order: i025","FALSE","1.51226635869511","2.28664317149921","0.661347768442426"
" enterobacteriales","order: enterobacteriales","FALSE","0.28578860150851","1.76578291428107","0.161848095367299"
"class: clostridia","class: clostridia","FALSE","0.104505852919851","1.79345643686074","0.0582706391813888"
" campylobacterales","order: campylobacterales","FALSE","0.646584288302721","2.71550842117102","0.238108003371204"
"phylum: firmicutes","phylum: firmicutes","FALSE","-0.239090849711306","2.43762333460853","-0.0980835908143713"
" bacillales","order: bacillales","FALSE","0.0320430146114096","2.65186384245549","0.0120832050644574"
" actinomycetales","order: actinomycetales","FALSE","-0.544068578908836","3.24608478411895","-0.167607630450881"
" burkholderiales","order: burkholderiales","FALSE","-0.767523311692909","1.95541940621127","-0.392510838981611"
" fusobacteriales","order: fusobacteriales","FALSE","-0.180486181294352","1.11129952148096","-0.162410023405598"
" mycoplasmatales","order: mycoplasmatales","FALSE","2.13548636146693","2.3436053572552","0.911197081392569"
"phylum: bacteroidetes","phylum: bacteroidetes","FALSE","0.14915312353529","2.12219696116043","0.0702824131148187"
" erysipelotrichales","order: erysipelotrichales","FALSE","0.330509987277448","1.64916110503683","0.200410976385516"
" rhizobiales","order: rhizobiales","FALSE","-0.14243659211104","1.77428224357165","-0.0802784295605155"
"kingdom:unassigned","kingdom:unassigned","FALSE","0.817475236029108","2.28180515819083","0.358258124316477"
"class: betaproteobacteria","class: betaproteobacteria","FALSE","-0.779043087169229","1.54487339210226","-0.504276331738169"
" rhodospirillales","order: rhodospirillales","TRUE","-0.332345622737022","0","-0.176422046262817"
"phylum: proteobacteria","phylum: proteobacteria","FALSE","0.191489652000509","1.54299905866304","0.124102248102749"
" desulfovibrionales","order: desulfovibrionales","FALSE","0.0121623667072223","2.19024925411624","0.00555296009546171"
" verrucomicrobiales","order: verrucomicrobiales","FALSE","-0.240627007523426","1.73801321127944","-0.138449469751895"
" pseudomonadales","order: pseudomonadales","TRUE","-0.285236310540143","0","-0.168651308745647"
" neisseriales","order: neisseriales","TRUE","-0.0247558582093638","0","-0.013612302584696"
"class: gammaproteobacteria","class: gammaproteobacteria","FALSE","-0.332098799432317","1.32966558652621","-0.249761145055978"
"class: bacilli","class: bacilli","FALSE","-0.397263905831658","1.85377147426585","-0.214300366224476"
" sphingomonadales","order: sphingomonadales","FALSE","-0.32862694301942","1.12534229835707","-0.292023985501296"
" streptophyta","order: streptophyta","TRUE","0.154745440657981","0","0.0827162403468452"
" synergistales","order: synergistales","FALSE","1.1128884850122","1.69468109872852","0.656694929711069"
" xanthomonadales","order: xanthomonadales","FALSE","1.00647109597211","1.87475117390797","0.536855829178704"
" pasteurellales","order: pasteurellales","TRUE","0.089335675746006","0","0.041702716563289"
" flavobacteriales","order: flavobacteriales","TRUE","-0.156160938466751","0","-0.0943061183816813"
" rickettsiales","order: rickettsiales","FALSE","0.659964886266556","1.63856446410277","0.402770169086959"
" cytophagales","order: cytophagales","FALSE","0.339542333378444","1.92617112265951","0.176278384295176"
" rhodobacterales","order: rhodobacterales","TRUE","-0.0383478862564648","0","-0.0178622335589965"
" saprospirales","order: saprospirales","TRUE","-0.458040784942887","0","-0.212411084134063"
"class: alphaproteobacteria","class: alphaproteobacteria","FALSE","-0.0360736198836898","0.705981445387548","-0.0510971217719287"
"phylum: cyanobacteria","phylum: cyanobacteria","FALSE","0.0708734495181542","1.80158961851112","0.0393393971578975"
" sphingobacteriales","order: sphingobacteriales","TRUE","-0.16153941023926","0","-0.0874369189411186"
" vibrionales","order: vibrionales","FALSE","-0.221682825508842","2.17549900968852","-0.101899759329508"
"class: actinobacteria","class: actinobacteria","FALSE","-0.762342622613811","1.79115484100711","-0.42561514234312"
"phylum: actinobacteria","phylum: actinobacteria","FALSE","-0.319557072970225","1.09062948790294","-0.293002414215546"
" haloplasmatales","order: haloplasmatales","TRUE","-0.132610459731044","0","-0.0619319407414666"
"class: epsilonproteobacteria","class: epsilonproteobacteria","TRUE","0.0597572641268777","0","0.0338418483652083"
" oceanospirillales","order: oceanospirillales","TRUE","0.320236151689105","0","0.14700012840157"
"class: mollicutes","class: mollicutes","FALSE","0.398255152093277","2.06513036974806","0.192847462769076"
"kingdom:archaea","kingdom:archaea","FALSE","0.194565734826808","1.88516750418671","0.103208725163522"
