"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.707064180708101","1.21152555967586","0.583614745112989"
"family: lactobacillaceae","family: lactobacillaceae","FALSE","2.91961570975005","1.64817920947697","1.77141884387473"
" lactobacillus","genus: lactobacillus","FALSE","3.14427905388742","1.73007995128068","1.81741835200153"
"order: bacteroidales","order: bacteroidales","FALSE","-1.0909145485426","1.28419110391033","-0.849495488031955"
" bacteroides","genus: bacteroides","FALSE","-0.755514197210221","0.933710280041885","-0.809152703316419"
" macellibacteroides","genus: macellibacteroides","TRUE","0.367006733769479","0","0.631733329214432"
"phylum: proteobacteria","phylum: proteobacteria","FALSE","-1.74621072071157","1.34368465785523","-1.29956884638309"
" atopobium","genus: atopobium","TRUE","1.98415404978806","0","1.93237865155276"
"phylum: bacteroidetes","phylum: bacteroidetes","FALSE","1.06447389929801","1.30145298534817","0.817911911749344"
" prevotella","genus: prevotella","TRUE","2.93996732691773","0","3.43650231881764"
" streptococcus","genus: streptococcus","FALSE","4.28733290300191","1.35060894816516","3.17437027855203"
"family: porphyromonadaceae","family: porphyromonadaceae","FALSE","-1.49081041829912","0.989661563105176","-1.50638407499786"
" pediococcus","genus: pediococcus","FALSE","1.27132747409553","1.50405320918916","0.845267618411527"
"phylum: firmicutes","phylum: firmicutes","FALSE","2.28415024494061","0.976919435671481","2.33811526471536"
"family: ruminococcaceae","family: ruminococcaceae","FALSE","-1.71852634905942","0.630773796155654","-2.72447327319751"
" clostridium","genus: clostridium","TRUE","0.126086012272659","0","0.195651733168685"
" petrimonas","genus: petrimonas","FALSE","-1.09484810633865","0.644085502706155","-1.69984901342848"
" alistipes","genus: alistipes","FALSE","-1.0500378673737","0.56824658497056","-1.84785601030599"
" subdoligranulum","genus: subdoligranulum","FALSE","-0.278051605576055","0.636172682121107","-0.437069389161736"
"family: lachnospiraceae","family: lachnospiraceae","FALSE","0.933156360582039","0.809859601628544","1.15224460968983"
"order: clostridiales","order: clostridiales","FALSE","0.319200754790426","0.673103460879816","0.474222423954258"
"class: clostridia","class: clostridia","FALSE","0.0715901670901002","0.695352895112066","0.102955157867808"
" barnesiella","genus: barnesiella","FALSE","-0.704325370807354","0.963030717076847","-0.7313633493906"
" finegoldia","genus: finegoldia","FALSE","0.146563060387257","0.879173827209859","0.166705440779997"
" sporobacter","genus: sporobacter","TRUE","0.614024970801581","0","1.08583967203958"
" clostridium_1","genus: clostridium_1","FALSE","-1.33831549948489","0.640962683022085","-2.08797724880776"
"order: lactobacillales","order: lactobacillales","FALSE","2.61476450264722","1.1584417152328","2.2571394557574"
" persicivirga","genus: persicivirga","TRUE","-0.0191565847653209","0","-0.0203140280116053"
" clostridium_2","genus: clostridium_2","TRUE","1.49978441043033","0","2.97459878562764"
" ruminococcus_1","genus: ruminococcus_1","FALSE","-0.523208806477419","0.517589086658299","-1.0108574928722"
" faecalibacterium","genus: faecalibacterium","FALSE","-0.0969874031748408","0.602271774668372","-0.161035942998067"
