"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" rhodobacteraceae","family: rhodobacteraceae","FALSE","1.48432822326272","1.07333977577921","1.38290619313455"
" lactobacillaceae","family: lactobacillaceae","FALSE","-1.7471405191068","1.81641092402599","-0.961864133273511"
" caulobacteraceae","family: caulobacteraceae","FALSE","1.92642698029208","1.11620796369537","1.72586743953552"
" enterobacteriaceae","family: enterobacteriaceae","FALSE","0.672799650734009","0.979443276087169","0.686920485504595"
" bifidobacteriaceae","family: bifidobacteriaceae","FALSE","-0.832780649078607","1.38282617809299","-0.602230896602686"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.868575102725952","0.411804704364759","2.10919179290532"
" streptococcaceae","family: streptococcaceae","FALSE","1.43461010105247","0.847213845218045","1.69332702616923"
" bacteroidaceae","family: bacteroidaceae","FALSE","-0.691734547023316","1.03279921735864","-0.669766722705706"
" prevotellaceae","family: prevotellaceae","FALSE","-0.963089166770889","1.20843492881628","-0.796972301780683"
" sphingomonadaceae","family: sphingomonadaceae","FALSE","0.804953375651455","0.870636210355028","0.924557658040907"
" coriobacteriaceae","family: coriobacteriaceae","FALSE","-1.25195441162631","1.2901316868689","-0.970408233801892"
"order: bacteroidales","order: bacteroidales","FALSE","-0.763458106414787","0.609999804404751","-1.25157106756745"
" peptostreptococcaceae","family: peptostreptococcaceae","FALSE","0.138701707139395","0.437745750071044","0.316854491715533"
"phylum: firmicutes","phylum: firmicutes","FALSE","-1.76099016114606","0.726829213065587","-2.42283899641105"
" fusobacteriaceae","family: fusobacteriaceae","TRUE","-0.84842980534046","0","-0.880495130377401"
" porphyromonadaceae","family: porphyromonadaceae","FALSE","-0.766853250506936","0.883000352106055","-0.868463131048481"
" moraxellaceae","family: moraxellaceae","FALSE","1.35528763716526","0.616039119538588","2.20000255532533"
" tissierellaceae","family: tissierellaceae","FALSE","0.515471835371364","0.562296070482454","0.916726725351444"
"kingdom:unassigned","kingdom:unassigned","FALSE","1.21402693552497","0.498937041762061","2.4332267077976"
"class: gammaproteobacteria","class: gammaproteobacteria","FALSE","0.989188358620875","0.578890120494528","1.70876704162068"
"class: clostridia","class: clostridia","FALSE","-0.360160121903457","0.840958578359768","-0.428273319484921"
"order: streptophyta","order: streptophyta","TRUE","0.620391259930481","0","1.51881702192596"
" leptotrichiaceae","family: leptotrichiaceae","TRUE","-1.03824407611216","0","-1.2764750692814"
" nocardiaceae","family: nocardiaceae","FALSE","1.28116105694379","0.792046660435328","1.61753230073546"
"order: bacillales","order: bacillales","FALSE","-1.34941805022143","0.573589135557569","-2.3525864884273"
" campylobacteraceae","family: campylobacteraceae","TRUE","0.0236637884973797","0","0.0504630923104566"
"order: clostridiales","order: clostridiales","FALSE","-0.873766916692631","0.555967484390691","-1.57161514157654"
" micrococcaceae","family: micrococcaceae","FALSE","0.741609948346508","0.466264683244039","1.59053425017471"
" ruminococcaceae","family: ruminococcaceae","FALSE","-1.09077342109078","0.546240877873466","-1.99687256167498"
" planococcaceae","family: planococcaceae","FALSE","0.0863180864878046","0.670691746624464","0.128700087517457"
" mycoplasmataceae","family: mycoplasmataceae","FALSE","-0.17398606855152","0.947922796590901","-0.183544555714074"
" bacillaceae","family: bacillaceae","FALSE","0.106736229327744","0.401790110341845","0.265651708641938"
" xanthomonadaceae","family: xanthomonadaceae","FALSE","0.914684654413115","0.526825477576058","1.73621947560625"
