"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" bacilli","class: bacilli","FALSE","-0.282055489085353","1.1747756348015","-0.24009307031041"
"kingdom:unassigned","kingdom:unassigned","FALSE","-0.199834275215295","0.653208723388418","-0.305927137927194"
" actinobacteria","class: actinobacteria","FALSE","0.460704218935474","1.25133377181415","0.368170530766988"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.100620222632918","0.477698734243659","0.210635313472685"
" bacteroidia","class: bacteroidia","FALSE","0.697296640895578","1.42946228905595","0.487803453252404"
" clostridia","class: clostridia","FALSE","1.24732545341947","1.19558432255502","1.04327685625208"
" fusobacteriia","class: fusobacteriia","FALSE","-0.586110734787476","1.36156504972528","-0.430468404653698"
" mollicutes","class: mollicutes","FALSE","-0.81674887721843","1.28187781180211","-0.637150334999723"
" coriobacteriia","class: coriobacteriia","FALSE","-1.30527763484429","1.33954788670855","-0.974416553372747"
" epsilonproteobacteria","class: epsilonproteobacteria","TRUE","1.87509969694103","0","3.52761184161452"
" alphaproteobacteria","class: alphaproteobacteria","TRUE","0.926041776079328","0","1.89094262506724"
" flavobacteriia","class: flavobacteriia","FALSE","0.483188962279045","0.57761085136595","0.836530271438609"
" verrucomicrobiae","class: verrucomicrobiae","TRUE","0.93723121805483","0","2.50388845198096"
" gammaproteobacteria","class: gammaproteobacteria","FALSE","0.790521826158129","0.37082530627626","2.13179039504171"
" betaproteobacteria","class: betaproteobacteria","FALSE","0.0675095474212648","0.413410768418177","0.163298957304801"
" deltaproteobacteria","class: deltaproteobacteria","TRUE","0.0676166093304424","0","0.203505250553807"
" bd1-5","class: bd1-5","FALSE","-0.116924924381817","0.210404606290947","-0.555714660638816"
" zb2","class: zb2","TRUE","0.219834376299726","0","0.91096737064614"
"phylum: sr1","phylum: sr1","TRUE","-0.0214477991375955","0","-0.104622083947902"
" koll11","class: koll11","FALSE","-0.131309028004406","0.219354963185118","-0.598614346800042"
" saprospirae","class: saprospirae","TRUE","0.279657276690898","0","1.17443791748552"
"phylum: od1","phylum: od1","TRUE","-0.0161797733547042","0","-0.0779220261064884"
" cytophagia","class: cytophagia","TRUE","-0.220897001465809","0","-0.725939765832959"
"phylum: bacteroidetes","phylum: bacteroidetes","TRUE","-0.0252958511944019","0","-0.123072435123185"
" sphingobacteriia","class: sphingobacteriia","TRUE","0.0478669189183991","0","0.239707808073706"
" planctomycetia","class: planctomycetia","TRUE","0.134596971687804","0","0.60844852068592"
"phylum: proteobacteria","phylum: proteobacteria","TRUE","-0.281716767682034","0","-0.703410716273384"
" spartobacteria","class: spartobacteria","FALSE","-0.233240005362386","0.30182128599505","-0.77277520236333"
" chloroplast","class: chloroplast","TRUE","-0.162935155941582","0","-0.516405210909041"
" acidobacteria-6","class: acidobacteria-6","TRUE","-0.0196294169290517","0","-0.0972534760852024"
" erysipelotrichi","class: erysipelotrichi","TRUE","0.0936814555121067","0","0.388062349631969"
" methanobacteria","class: methanobacteria","FALSE","-0.131309028004406","0.212623631805442","-0.617565540055108"
" synergistia","class: synergistia","FALSE","-0.0966516689764092","0.223702677588963","-0.432054144447924"
