"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" lactobacillus","genus: lactobacillus","FALSE","-1.2502480988302","1.39181698086237","-0.898284843496846"
"kingdom:unassigned","kingdom:unassigned","FALSE","-0.185602518789655","0.641985949589765","-0.289106823768117"
" streptococcus","genus: streptococcus","TRUE","2.42538322407177","0","3.89485976859912"
" gardnerella","genus: gardnerella","FALSE","-0.86544796487132","1.62327943294902","-0.533147865552056"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.114851979058556","0.458945867808869","0.250251690045473"
" prevotella","genus: prevotella","FALSE","0.0525726662927667","1.50881996769936","0.0348435647845576"
" peptoniphilus","genus: peptoniphilus","FALSE","1.3158368563532","0.552572373386609","2.38129323818469"
" megasphaera","genus: megasphaera","FALSE","-1.97800507693944","1.36622630071065","-1.44778729256681"
" sneathia","genus: sneathia","TRUE","-0.802758613661169","0","-0.582165920103966"
" clostridium","genus: clostridium","TRUE","-0.539347626725422","0","-0.42519506336791"
" bifidobacterium","genus: bifidobacterium","TRUE","0.204448172742917","0","0.181895822266583"
" porphyromonas","genus: porphyromonas","FALSE","-0.374734913181805","0.758076820250095","-0.494323138726464"
" aerococcus","genus: aerococcus","TRUE","0.266838096466415","0","0.346198338932274"
" ureaplasma","genus: ureaplasma","FALSE","-0.929441665588896","1.25914229429968","-0.738154591261539"
" atopobium","genus: atopobium","FALSE","-1.67008177248251","1.3301329233917","-1.25557509562576"
" campylobacter","genus: campylobacter","TRUE","1.76200895501059","0","3.23933278067212"
" bacteroides","genus: bacteroides","TRUE","1.79693842097678","0","3.15107074578531"
" dialister","genus: dialister","FALSE","0.161554071553386","1.0724102697822","0.150645770658459"
" finegoldia","genus: finegoldia","FALSE","0.721147182242465","0.563888995927605","1.27888145973866"
" anaerococcus","genus: anaerococcus","FALSE","2.14870344534499","0.61703969638281","3.48227749031553"
" coprococcus","genus: coprococcus","TRUE","0.61213250567724","0","1.72065929028631"
" corynebacterium","genus: corynebacterium","TRUE","1.02602165524093","0","1.91601249423533"
" sphingomonas","genus: sphingomonas","TRUE","0.459308505943375","0","1.31474435067551"
" 1-68","genus: 1-68","TRUE","0.971448769880175","0","2.31952226855579"
" faecalibacterium","genus: faecalibacterium","TRUE","0.487489897414644","0","1.3400167155703"
" wal_1855d","genus: wal_1855d","TRUE","0.733510131358525","0","2.08999054012402"
" mobiluncus","genus: mobiluncus","FALSE","-0.76445811143865","0.713499715951475","-1.07142034446254"
" moryella","genus: moryella","FALSE","-1.15299785611746","0.852259683382633","-1.35287152331457"
" peptostreptococcus","genus: peptostreptococcus","TRUE","-0.0373956244645573","0","-0.0801792716073021"
"family: bradyrhizobiaceae","family: bradyrhizobiaceae","TRUE","0.406297412859874","0","1.1319884304744"
" flavobacterium","genus: flavobacterium","FALSE","0.424428660331458","0.513204435598451","0.827016742044578"
" varibaculum","genus: varibaculum","TRUE","0.211885289021737","0","0.819137272086536"
"family: verrucomicrobiaceae","family: verrucomicrobiaceae","TRUE","0.383206881663772","0","1.31798492031001"
" akkermansia","genus: akkermansia","TRUE","0.584466726861453","0","2.05475368237141"
" shigella","genus: shigella","TRUE","0.233257489763084","0","1.08717378215411"
"family: pasteurellaceae","family: pasteurellaceae","TRUE","0.130004849551697","0","0.513917437929545"
" dorea","genus: dorea","TRUE","0.352053308067063","0","1.26703312388524"
"family: ruminococcaceae","family: ruminococcaceae","TRUE","0.801065275071787","0","2.42047996715708"
"family: gemellaceae","family: gemellaceae","TRUE","-0.0765307607679518","0","-0.235016873845112"
" staphylococcus","genus: staphylococcus","TRUE","0.374014906596013","0","1.65363027337155"
"order: actinomycetales","order: actinomycetales","TRUE","0.304545326569289","0","0.857890757681813"
" facklamia","genus: facklamia","TRUE","0.164662208579694","0","0.6543594661146"
"order: bacteroidales","order: bacteroidales","TRUE","0.420283108000004","0","1.60854073849478"
" blautia","genus: blautia","TRUE","0.564980586962207","0","1.70555615633331"
"family: s24-7","family: s24-7","FALSE","-0.150050296724164","0.719001792207515","-0.20869252114584"
" clostridium_1","genus: clostridium_1","TRUE","0.812282225507736","0","3.03483239747349"
" parabacteroides","genus: parabacteroides","TRUE","0.357743786574281","0","1.17124916885967"
"family: lachnospiraceae","family: lachnospiraceae","TRUE","1.0487220279889","0","2.89792460411017"
" gemmiger","genus: gemmiger","TRUE","0.111658277346401","0","0.428850352291258"
" barnesiella","genus: barnesiella","FALSE","0.100758169755711","0.246118478319842","0.409388886375169"
" sutterella","genus: sutterella","TRUE","-0.0608929752677571","0","-0.184914915255259"
" paraeggerthella","genus: paraeggerthella","TRUE","-1.17046017293654","0","-1.69772448204099"
"family: bifidobacteriaceae","family: bifidobacteriaceae","TRUE","-0.818794691968639","0","-0.972414396374676"
" actinobaculum","genus: actinobaculum","TRUE","0.332680977936789","0","1.31583687773589"
"family: tissierellaceae","family: tissierellaceae","TRUE","0.313438686891518","0","1.00534306160807"
" propionibacterium","genus: propionibacterium","TRUE","0.0359362681558099","0","0.199183572724957"
"family: micrococcaceae","family: micrococcaceae","TRUE","0.0438665196646419","0","0.21936524759379"
" fusobacterium","genus: fusobacterium","TRUE","0.000491491279405648","0","0.00169077141775887"
" gallicola","genus: gallicola","TRUE","0.301473262483139","0","1.29263081359444"
" veillonella","genus: veillonella","TRUE","0.294318220301106","0","1.31100366413432"
"family: comamonadaceae","family: comamonadaceae","FALSE","-0.315751264580184","0.280926160495747","-1.12396532961893"
" ph2","genus: ph2","TRUE","0.0183252384763423","0","0.0950557734428151"
"order: clostridiales","order: clostridiales","FALSE","0.366069610156872","0.352215081820141","1.03933542046279"
" acidovorax","genus: acidovorax","FALSE","-0.09680401617336","0.154729733427409","-0.625632928003299"
" candidatus rhodoluna","genus: candidatus rhodoluna","TRUE","-0.241943730068096","0","-0.699894504827071"
" ruminococcus","genus: ruminococcus","TRUE","0.399556187784313","0","1.51435496014848"
"family: enterobacteriaceae","family: enterobacteriaceae","TRUE","0.432947656413095","0","2.0342413370903"
" roseburia","genus: roseburia","TRUE","0.498162487343623","0","1.82262638677114"
" lachnospira","genus: lachnospira","TRUE","0.200728111456026","0","1.00268380700816"
" oscillospira","genus: oscillospira","TRUE","0.48283659697937","0","1.82787340763448"
" ruminococcus_1","genus: ruminococcus_1","TRUE","0.263712282023023","0","1.11099609615398"
" phascolarctobacterium","genus: phascolarctobacterium","TRUE","0.045827555322306","0","0.239286481061367"
" butyricicoccus","genus: butyricicoccus","TRUE","0.0292596985245838","0","0.158886628167313"
" candidatus aquiluna","genus: candidatus aquiluna","FALSE","-0.0400550195314107","0.158215966504342","-0.253166734157084"
" actinomyces","genus: actinomyces","TRUE","0.272083929238033","0","1.3527391447642"
" gemella","genus: gemella","FALSE","-0.505052646064704","0.347551077146289","-1.45317531515554"
"family: coriobacteriaceae","family: coriobacteriaceae","FALSE","-0.635187130336923","0.304100632834546","-2.08873991617937"
"family: veillonellaceae","family: veillonellaceae","TRUE","-0.611396375810428","0","-2.49523725100993"
"class: bd1-5","class: bd1-5","FALSE","-0.102693167956179","0.157493678952083","-0.652046282996686"
"class: zb2","class: zb2","TRUE","0.234066132725364","0","1.06394016304951"
"phylum: sr1","phylum: sr1","TRUE","-0.00721604271195725","0","-0.0445841283347962"
" ralstonia","genus: ralstonia","TRUE","-0.0915359903904687","0","-0.540295076682039"
" fluviicola","genus: fluviicola","TRUE","-0.09680401617336","0","-0.352828754536112"
" planktophila","genus: planktophila","FALSE","-0.137350526984176","0.15319475985217","-0.896574576811352"
"class: koll11","class: koll11","FALSE","-0.117077271578768","0.155577886022208","-0.752531574841274"
" sediminibacterium","genus: sediminibacterium","TRUE","-0.0477625535227737","0","-0.28317190530404"
"family: ack-m1","family: ack-m1","TRUE","-0.0824199125507709","0","-0.52604501276506"
"phylum: od1","phylum: od1","TRUE","-0.0019480169290659","0","-0.011665544080588"
" pseudomonas","genus: pseudomonas","TRUE","-0.0333784499001846","0","-0.191424617213431"
" massilia","genus: massilia","FALSE","-0.172007886012174","0.153022163765793","-1.12407171470558"
" cytophaga","genus: cytophaga","FALSE","-0.102693167956179","0.156977157769606","-0.654191790801188"
"phylum: bacteroidetes","phylum: bacteroidetes","TRUE","-0.0110640947687636","0","-0.0631569715711817"
"family: mogibacteriaceae","family: mogibacteriaceae","TRUE","-0.0197817641260025","0","-0.127441515425826"
" arthrobacter","genus: arthrobacter","FALSE","-0.137350526984176","0.154731793816684","-0.887668420278899"
"order: saprospirales","order: saprospirales","TRUE","-0.00194801692906593","0","-0.0110833088369608"
"order: sphingobacteriales","order: sphingobacteriales","TRUE","0.0620986753440373","0","0.35245334647178"
" acinetobacter","genus: acinetobacter","TRUE","-0.206665245040171","0","-0.793647186453612"
"family: cytophagaceae","family: cytophagaceae","FALSE","-0.379952040180157","0.261598323211566","-1.45242536540601"
" planctomyces","genus: planctomyces","FALSE","-0.0824199125507709","0.167316213467918","-0.492599676041403"
" olsenella","genus: olsenella","FALSE","-0.137350526984176","0.164276155198393","-0.836095334823855"
"family: chitinophagaceae","family: chitinophagaceae","TRUE","0.0732558529097478","0","0.396481059349026"
"phylum: proteobacteria","phylum: proteobacteria","TRUE","-0.267485011256395","0","-0.776198058482665"
"order: stramenopiles","order: stramenopiles","FALSE","-0.247999173699394","0.275367992368017","-0.900610022126154"
" afipia","genus: afipia","TRUE","-0.241322604068168","0","-0.911970124496582"
"order: streptophyta","order: streptophyta","FALSE","-0.031839866966847","0.173663660686399","-0.183342138712273"
"family: sphingomonadaceae","family: sphingomonadaceae","TRUE","0.00716806091063185","0","0.0454587384148797"
"order: legionellales","order: legionellales","FALSE","-0.200776093257352","0.171578235250155","-1.17017227135264"
" polynucleobacter","genus: polynucleobacter","TRUE","0.0124360866935231","0","0.0740267091085808"
" bilophila","genus: bilophila","FALSE","-0.125572223418538","0.280717805357306","-0.44732546714914"
"family: saprospiraceae","family: saprospiraceae","FALSE","-0.0824199125507709","0.150709546981365","-0.546879173891763"
"family: erysipelotrichaceae","family: erysipelotrichaceae","FALSE","-0.117077271578768","0.157610245583062","-0.742827797429369"
" clostridium_2","genus: clostridium_2","TRUE","-0.00194801692906588","0","-0.0117048978944394"
