"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" lactobacillales","order: lactobacillales","FALSE","-0.270058086539475","1.18156182455119","-0.228560267374968"
"kingdom:unassigned","kingdom:unassigned","FALSE","-0.166871362925375","0.647327948238995","-0.257784888446939"
" bifidobacteriales","order: bifidobacteriales","FALSE","0.0153274645598093","1.59904243897471","0.00958540197947285"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.133583134922841","0.478055511675363","0.279430174237912"
" bacteroidales","order: bacteroidales","FALSE","0.730259553185495","1.43680712191239","0.508251624068734"
" clostridiales","order: clostridiales","FALSE","1.28028836570939","1.20120135595532","1.06583992713791"
" fusobacteriales","order: fusobacteriales","FALSE","-0.553147822497555","1.34401929222382","-0.411562412606678"
" mycoplasmatales","order: mycoplasmatales","FALSE","-0.873373938389913","1.2711471728852","-0.687075389081472"
" coriobacteriales","order: coriobacteriales","FALSE","-1.27231472255437","1.34185551590666","-0.948175647431537"
" campylobacterales","order: campylobacterales","TRUE","1.90806260923095","0","3.53133269166677"
" actinomycetales","order: actinomycetales","FALSE","0.565966734218495","0.535706779616816","1.05648604003728"
" sphingomonadales","order: sphingomonadales","TRUE","0.590914698552046","0","1.77449131873599"
" rhizobiales","order: rhizobiales","TRUE","0.35990708564084","0","0.855365609408703"
" flavobacteriales","order: flavobacteriales","FALSE","0.516151874568963","0.555393720494714","0.929344095048831"
" verrucomicrobiales","order: verrucomicrobiales","TRUE","0.970194130344749","0","2.63613144383048"
" enterobacteriales","order: enterobacteriales","TRUE","0.667922223319072","0","2.55257251564048"
" pasteurellales","order: pasteurellales","TRUE","0.354232838265075","0","1.1964904424984"
" gemellales","order: gemellales","FALSE","-0.437182466543274","0.41491818697096","-1.0536594448531"
" bacillales","order: bacillales","TRUE","0.56961254025963","0","2.2697159256265"
" burkholderiales","order: burkholderiales","FALSE","0.0721532971886522","0.377875725585123","0.190944515096666"
"class: bd1-5","class: bd1-5","FALSE","-0.0839620120918983","0.179319427467218","-0.468225965684883"
" neisseriales","order: neisseriales","FALSE","0.0317883685577318","0.197914074414868","0.16061701853046"
"class: zb2","class: zb2","TRUE","0.252797288589645","0","1.17501902747392"
"phylum: sr1","phylum: sr1","TRUE","0.0115151131523236","0","0.0665754402961238"
"class: koll11","class: koll11","FALSE","-0.0983461157144873","0.185815593345617","-0.529267290994052"
" legionellales","order: legionellales","TRUE","-0.17943913733612","0","-0.729983565242019"
" saprospirales","order: saprospirales","TRUE","0.312620188980817","0","1.44567158869008"
"phylum: od1","phylum: od1","TRUE","0.0167831389352149","0","0.0932651823689846"
" pseudomonadales","order: pseudomonadales","TRUE","-0.00875814225308477","0","-0.0285254575478851"
" cytophagales","order: cytophagales","TRUE","-0.18793408917589","0","-0.676707838414386"
"phylum: bacteroidetes","phylum: bacteroidetes","TRUE","0.00766706109551718","0","0.0424787547741169"
" xanthomonadales","order: xanthomonadales","FALSE","-0.153276730147893","0.177155434827846","-0.865210431149585"
" sphingobacteriales","order: sphingobacteriales","TRUE","0.0808298312083181","0","0.458377845916061"
" rhodobacterales","order: rhodobacterales","TRUE","0.00962809675318124","0","0.0487513795153613"
" planctomycetales","order: planctomycetales","FALSE","-0.0636887566864901","0.186214737932294","-0.34201780908258"
"phylum: proteobacteria","phylum: proteobacteria","TRUE","-0.248753855392115","0","-0.661018590091995"
" chthoniobacterales","order: chthoniobacterales","FALSE","-0.200277093072466","0.276697266772399","-0.723813051746574"
" stramenopiles","order: stramenopiles","FALSE","-0.229268017835114","0.288514390532487","-0.79465019894492"
" streptophyta","order: streptophyta","FALSE","-0.0131087111025661","0.181487442220105","-0.0722293010591227"
" rickettsiales","order: rickettsiales","TRUE","-0.00349011647019334","0","-0.020649628754089"
" desulfovibrionales","order: desulfovibrionales","FALSE","-0.0694803474627463","0.3295318402321","-0.210845626977378"
" erysipelotrichales","order: erysipelotrichales","TRUE","0.126644367802026","0","0.575584315754972"
" methanobacteriales","order: methanobacteriales","FALSE","-0.0983461157144874","0.184046508479281","-0.534354693968882"
" synergistales","order: synergistales","FALSE","-0.0636887566864901","0.195884374138283","-0.325134442023077"
