"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" actinobacteria","class: actinobacteria","FALSE","-0.948767220125127","3.63036848349444","-0.261341851230452"
" bacilli","class: bacilli","FALSE","-0.112548696462291","3.8232100311252","-0.0294382719092123"
" bacteroidia","class: bacteroidia","FALSE","0.409133665303001","3.19028221591743","0.128243721907012"
" coriobacteriia","class: coriobacteriia","FALSE","0.066905844440366","1.1468890580231","0.0583368059642074"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.0649670275210059","3.66834636842999","0.0177101671968918"
" clostridia","class: clostridia","FALSE","-0.204008959559204","3.24134845589576","-0.0629395334488421"
" tm7-3","class: tm7-3","FALSE","1.41428257374805","2.75110818012579","0.514077412137018"
" gammaproteobacteria","class: gammaproteobacteria","FALSE","0.12261219065318","1.73118540886651","0.0708255684372136"
" epsilonproteobacteria","class: epsilonproteobacteria","FALSE","0.583393526396516","2.48725172983364","0.234553470965134"
"phylum: firmicutes","phylum: firmicutes","FALSE","-0.292826549169454","2.10178499351552","-0.139322789948967"
" betaproteobacteria","class: betaproteobacteria","FALSE","-1.01020940049206","1.847056747081","-0.546929271170765"
" fusobacteriia","class: fusobacteriia","FALSE","-0.2342218807525","1.00952707783398","-0.232011489236168"
" mollicutes","class: mollicutes","FALSE","2.02402788049989","2.5090421423827","0.806693457359701"
"phylum: bacteroidetes","phylum: bacteroidetes","FALSE","0.0954174240771436","1.82137038239056","0.0523877103743761"
" erysipelotrichi","class: erysipelotrichi","FALSE","0.276774287819301","1.89542146866287","0.146022556141327"
" alphaproteobacteria","class: alphaproteobacteria","FALSE","-0.324189443686915","1.6372027334681","-0.198014233093896"
"kingdom:unassigned","kingdom:unassigned","FALSE","0.76373953657096","2.08825642771943","0.365730724652927"
"phylum: proteobacteria","phylum: proteobacteria","FALSE","0.137753952542362","1.30756000186447","0.105351916811417"
" deltaproteobacteria","class: deltaproteobacteria","FALSE","-0.161237753455084","2.68437417995603","-0.0600653048516972"
" verrucomicrobiae","class: verrucomicrobiae","FALSE","-0.294362706981573","2.18005985803199","-0.135025057177698"
" chloroplast","class: chloroplast","TRUE","0.0950731945563509","0","0.0410780580266531"
" synergistia","class: synergistia","FALSE","1.05915278555406","2.13865064343029","0.49524347925065"
" flavobacteriia","class: flavobacteriia","TRUE","-0.209896637924898","0","-0.102581264634595"
" cytophagia","class: cytophagia","FALSE","0.285806633920297","2.42946282248956","0.117641904734899"
" saprospirae","class: saprospirae","TRUE","-0.511776484401035","0","-0.192394940136888"
"phylum: cyanobacteria","phylum: cyanobacteria","FALSE","0.0171377500600067","2.29161336629075","0.0074784648719981"
" sphingobacteriia","class: sphingobacteriia","TRUE","-0.215275109697408","0","-0.0924920891911353"
"phylum: actinobacteria","phylum: actinobacteria","FALSE","-0.373292772428372","1.33971031670242","-0.278636932010196"
"kingdom:archaea","kingdom:archaea","FALSE","0.140830035368661","2.40586675717125","0.0585360909738181"
