"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" bifidobacteriaceae","family: bifidobacteriaceae","FALSE","-0.654109658738","3.329372157247","-0.196466368986179"
" lactobacillaceae","family: lactobacillaceae","FALSE","0.644351487487176","4.16495167009995","0.154708034696526"
" prevotellaceae","family: prevotellaceae","FALSE","1.01409546885579","3.33027492728375","0.304508033420204"
" coriobacteriaceae","family: coriobacteriaceae","FALSE","0.150583365017871","0.904604494844236","0.166463206712012"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.148644548098511","4.19539277608853","0.0354304247615871"
" tissierellaceae","family: tissierellaceae","FALSE","0.914533306412868","3.13274674293776","0.291926983397086"
" streptococcaceae","family: streptococcaceae","FALSE","-3.8016140772906","2.24524948298973","-1.69318113915272"
"order: lactobacillales","order: lactobacillales","FALSE","-0.776677021107776","2.49487869607291","-0.311308530683401"
" rs-045","family: rs-045","FALSE","1.57732986113122","1.96749569736459","0.80169418578349"
"order: bacteroidales","order: bacteroidales","FALSE","0.622685187368067","2.80474962194121","0.222010971138699"
" enterobacteriaceae","family: enterobacteriaceae","FALSE","0.315730422627867","1.77856719055818","0.177519536120971"
"class: clostridia","class: clostridia","FALSE","0.134447674039209","1.90185154889176","0.0706930433753118"
" lachnospiraceae","family: lachnospiraceae","FALSE","-0.367901932149967","2.45372183338608","-0.149936283381508"
" campylobacteraceae","family: campylobacteraceae","FALSE","0.630002840722288","2.84482251724262","0.221455938605592"
"phylum: firmicutes","phylum: firmicutes","FALSE","-0.209149028591949","2.63801086726318","-0.0792828532995892"
"order: bacillales","order: bacillales","FALSE","0.147961514554713","2.55073580544984","0.0580073852566704"
" corynebacteriaceae","family: corynebacteriaceae","FALSE","-0.112102915592781","1.61680770807316","-0.0693359606297155"
" bacteroidaceae","family: bacteroidaceae","FALSE","0.432615609536064","1.53192425321894","0.282400130833514"
"order: clostridiales","order: clostridiales","FALSE","0.164219564936384","2.62730727954891","0.0625048947318331"
" ruminococcaceae","family: ruminococcaceae","FALSE","-0.266234970011774","2.30417362000194","-0.115544665428272"
" comamonadaceae","family: comamonadaceae","FALSE","-0.89846256624853","2.03172116833105","-0.442217455944789"
" propionibacteriaceae","family: propionibacteriaceae","FALSE","-0.708036444239456","2.56607806460478","-0.275921630758535"
" fusobacteriaceae","family: fusobacteriaceae","FALSE","-0.447692915780601","1.50678485928714","-0.297118007936717"
" clostridiaceae","family: clostridiaceae","FALSE","0.293592274607137","1.75527389359621","0.167262941514856"
" mycoplasmataceae","family: mycoplasmataceae","FALSE","2.16542818258629","2.27930087090504","0.950040519102889"
" peptostreptococcaceae","family: peptostreptococcaceae","FALSE","-1.46255089706528","1.56079518719439","-0.937054976248539"
"phylum: bacteroidetes","phylum: bacteroidetes","FALSE","0.179094944654648","2.29508585557241","0.0780340936788095"
" erysipelotrichaceae","family: erysipelotrichaceae","FALSE","0.360451808396805","1.55645952495831","0.23158444059537"
" oxalobacteraceae","family: oxalobacteraceae","FALSE","-0.202471643421385","1.16004654121511","-0.174537517442449"
" actinomycetaceae","family: actinomycetaceae","FALSE","0.518559423163443","2.6271933555366","0.197381522022587"
" rhizobiaceae","family: rhizobiaceae","FALSE","0.60136181901089","1.54089872398374","0.390266932959856"
" bacillaceae","family: bacillaceae","FALSE","-0.37379222486729","1.44188946424651","-0.259237780798005"
" s24-7","family: s24-7","TRUE","0.0513306006275114","0","0.0300169842524711"
" methylobacteriaceae","family: methylobacteriaceae","FALSE","0.0246217058539654","1.120095115233","0.0219817991518011"
"kingdom:unassigned","kingdom:unassigned","FALSE","0.847417057148465","2.45336542977426","0.345410042411186"
"order: actinomycetales","order: actinomycetales","FALSE","-0.351123529802722","2.83288085779576","-0.123945745489603"
