"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
" actinobacteria","phylum: actinobacteria","FALSE","-1.20563280749593","3.38325244180069","-0.356353192153245"
" firmicutes","phylum: firmicutes","FALSE","-0.342823052271188","3.88959755849706","-0.088138437747183"
" bacteroidetes","phylum: bacteroidetes","FALSE","0.161963508853001","2.96902934849279","0.0545509962490671"
"kingdom:bacteria","kingdom:bacteria","FALSE","-0.133406932524452","3.37977604082183","-0.0394721220912653"
" tm7","phylum: tm7","FALSE","1.21590861370259","3.47640414831256","0.349760431131917"
" proteobacteria","phylum: proteobacteria","FALSE","-0.310153333159842","2.74561080332219","-0.112963327790143"
" fusobacteria","phylum: fusobacteria","FALSE","-0.432595840797958","1.42450817430424","-0.303680841290536"
" tenericutes","phylum: tenericutes","FALSE","1.82565392045443","2.84304888082248","0.642146511362929"
"kingdom:unassigned","kingdom:unassigned","FALSE","0.565365576525502","1.98736905840557","0.284479409666912"
" verrucomicrobia","phylum: verrucomicrobia","FALSE","-0.492736667027032","2.94572567988246","-0.167271742373069"
" cyanobacteria","phylum: cyanobacteria","FALSE","-0.139319831139845","2.91908214423406","-0.0477272732509558"
" synergistetes","phylum: synergistetes","FALSE","0.860778825508598","2.95109597660364","0.291681067756817"
"kingdom:archaea","kingdom:archaea","FALSE","-0.0575439246767977","3.20541593164014","-0.0179520929277199"
