"","taxon","diff_abun","lefc","structural_zero (histology = EC)","W"
"genus: gardnerella","genus: gardnerella","FALSE","-0.113989186155437","1.28021850298729","-0.0890388522658061"
"genus: lactobacillus","genus: lactobacillus","FALSE","0.584215698876092","4.08804202896976","0.142908437519984"
"genus: prevotella","genus: prevotella","FALSE","0.900969254163965","3.74363179358453","0.240667165961128"
"genus: alloscardovia","genus: alloscardovia","FALSE","0.169023566499016","1.35007641186258","0.125195555609945"
"genus: bifidobacterium","genus: bifidobacterium","FALSE","-0.898406271926691","3.68285452749576","-0.243942915806013"
"genus: atopobium","genus: atopobium","FALSE","0.25522791386386","1.05291673268039","0.242400852738024"
"kingdom:bacteria","kingdom:bacteria","FALSE","0.0355183334066873","4.67700011798754","0.00759425540103909"
"genus: finegoldia","genus: finegoldia","FALSE","1.11533745378222","2.48682360854831","0.448498819919639"
"genus: streptococcus","genus: streptococcus","FALSE","-3.91474029198243","2.67240279991311","-1.46487658675919"
"order: lactobacillales","order: lactobacillales","FALSE","-0.889803235799599","2.89994516451875","-0.306834503868029"
"family: rs-045","family: rs-045","FALSE","1.4642036464394","1.4911070075134","0.981957457822654"
"order: bacteroidales","order: bacteroidales","FALSE","0.509558972676244","3.22368327638215","0.158067318960722"
"family: enterobacteriaceae","family: enterobacteriaceae","FALSE","0.226375060682886","1.75137190035991","0.12925584830747"
" clostridia","class: clostridia","FALSE","0.021321459347386","2.17028575321325","0.00982426360944322"
"genus: 1-68","genus: 1-68","FALSE","-0.473130641751307","2.88698434548832","-0.163884034387197"
"genus: roseburia","genus: roseburia","FALSE","-0.237457414499753","2.56166675044171","-0.0926964502540418"
"genus: campylobacter","genus: campylobacter","FALSE","0.516876626030466","3.09953490057691","0.166759414754214"
"phylum: firmicutes","phylum: firmicutes","FALSE","-0.322275243283771","3.06177534581206","-0.105257638750206"
"order: bacillales","order: bacillales","FALSE","0.0348352998628901","2.89220364447912","0.0120445529239916"
"genus: corynebacterium","genus: corynebacterium","FALSE","-0.225229130284603","2.01698012711363","-0.111666509380494"
"genus: bacteroides","genus: bacteroides","FALSE","0.319489394844241","1.91705037767392","0.16665675485894"
"order: clostridiales","order: clostridiales","FALSE","0.0510933502445611","3.09685409677422","0.0164984686549429"
"family: ruminococcaceae","family: ruminococcaceae","FALSE","-0.720196181631797","2.35198805595212","-0.306207414535636"
"family: comamonadaceae","family: comamonadaceae","FALSE","-1.00709976917181","2.48729103945133","-0.404898241982154"
"family: propionibacteriaceae","family: propionibacteriaceae","FALSE","-0.450920144945781","2.49511507247644","-0.18072118192859"
"family: fusobacteriaceae","family: fusobacteriaceae","FALSE","-0.560805232393845","1.36577747212742","-0.410612448834948"
"genus: clostridium","genus: clostridium","FALSE","-0.462289306255444","2.00128175777484","-0.230996612275849"
"genus: dorea","genus: dorea","FALSE","0.0404811769540948","2.29896926535754","0.0176084028456113"
"genus: ureaplasma","genus: ureaplasma","FALSE","1.78343136636974","2.26407448866559","0.787708785774477"
"genus: peptostreptococcus","genus: peptostreptococcus","FALSE","-0.846827595668948","1.92355521238835","-0.440240857249687"
"genus: pediococcus","genus: pediococcus","FALSE","0.583242893897234","2.87993941936847","0.202519153692869"
"phylum: bacteroidetes","phylum: bacteroidetes","FALSE","0.0659687299628255","2.69130878198543","0.024511765578292"
"genus: clostridium_1","genus: clostridium_1","FALSE","-0.326099228752974","1.82813849954676","-0.178377748093934"
"family: oxalobacteraceae","family: oxalobacteraceae","FALSE","-0.288321582120662","0.856682314465517","-0.336556010614676"
"genus: actinobaculum","genus: actinobaculum","FALSE","-0.2699420163334","2.84625373334271","-0.0948411637273019"
"genus: rhizobium","genus: rhizobium","FALSE","0.488235604319067","1.93091666926495","0.252851721718744"
"genus: ruminococcus","genus: ruminococcus","FALSE","-0.768992903801979","1.7774991867003","-0.43262630416699"
"family: lactobacillaceae","family: lactobacillaceae","FALSE","0.824694370795412","2.97521133624004","0.2771885011159"
"genus: wal_1855d","genus: wal_1855d","FALSE","2.33057960423931","2.48983730221954","0.936036905769602"
"family: lachnospiraceae","family: lachnospiraceae","FALSE","-0.521152400367582","2.07389504456923","-0.251291598257245"
"genus: faecalibacterium","genus: faecalibacterium","FALSE","-0.324300729175155","0.888100522579308","-0.365162187083608"
"family: bacillaceae","family: bacillaceae","FALSE","-0.359915216261982","1.74728729374934","-0.205985139106503"
"family: s24-7","family: s24-7","TRUE","-0.0617956140643115","0","-0.0330385324290582"
"genus: eggerthella","genus: eggerthella","FALSE","0.457276307908927","1.0826078166405","0.422384081179025"
"genus: methylobacterium","genus: methylobacterium","TRUE","0.0105020751162546","0","0.00884069870223908"
"kingdom:unassigned","kingdom:unassigned","FALSE","0.734290842456642","2.91514630000697","0.251888161652431"
"order: actinomycetales","order: actinomycetales","FALSE","-0.464249744494546","3.2991919652941","-0.140716196383305"
"genus: varibaculum","genus: varibaculum","FALSE","-0.397143512367582","2.20401725954151","-0.180190745171477"
"genus: alistipes","genus: alistipes","FALSE","-0.641144298095144","1.91110198131777","-0.335484084241833"
"genus: clostridium_2","genus: clostridium_2","FALSE","-0.341373976860167","1.77089320066592","-0.192769375777036"
"family: coriobacteriaceae","family: coriobacteriaceae","FALSE","0.165736382222991","1.01194349180621","0.163780273864078"
"genus: ochrobactrum","genus: ochrobactrum","FALSE","-0.508921541486331","1.69445623520577","-0.300345049292187"
"genus: millisia","genus: millisia","TRUE","-0.382285339692209","0","-0.337612109160359"
"family: methylobacteriaceae","family: methylobacteriaceae","FALSE","0.0065549581583384","1.06613121301355","0.00614835967498783"
"genus: clostridium_3","genus: clostridium_3","FALSE","0.451047243353865","2.28447164043133","0.197440508943548"
"genus: anaerorhabdus","genus: anaerorhabdus","FALSE","0.426632458672745","1.10679500954787","0.385466554323393"
" betaproteobacteria","class: betaproteobacteria","FALSE","-0.862227480741695","1.8082015247077","-0.476842580298718"
"family: acetobacteraceae","family: acetobacteraceae","FALSE","0.081074560964855","1.70079713291248","0.0476685663421959"
"phylum: proteobacteria","phylum: proteobacteria","FALSE","0.108305258428044","2.20512987197797","0.049115138207663"
"genus: staphylococcus","genus: staphylococcus","FALSE","0.966352050380065","1.73486515638988","0.557018536467105"
"genus: gallicola","genus: gallicola","FALSE","0.282792583433536","2.03288155551712","0.139109227818046"
"genus: desulfovibrio","genus: desulfovibrio","FALSE","-0.0179821747311955","1.28452160080523","-0.0139991221011177"
"genus: akkermansia","genus: akkermansia","FALSE","-0.233273300526383","1.06275421933447","-0.219498823229764"
"genus: actinomyces","genus: actinomyces","FALSE","0.117048514371649","1.4129690876991","0.0828386943427422"
"genus: mobiluncus","genus: mobiluncus","FALSE","1.09720175823172","1.91502329516894","0.572944340154843"
"genus: barnesiella","genus: barnesiella","FALSE","0.636784213414643","1.1211570686591","0.567970564709757"
"genus: clostridium_4","genus: clostridium_4","FALSE","-0.00994289854350339","0.867363619134227","-0.0114633566870467"
"genus: propionimicrobium","genus: propionimicrobium","FALSE","-0.762123248066839","1.88551676187546","-0.404198606703862"
"family: neisseriaceae","family: neisseriaceae","TRUE","-0.0639313941933","0","-0.039756581687368"
" gammaproteobacteria","class: gammaproteobacteria","FALSE","-0.415283193004782","1.65512566238956","-0.250907349478965"
"genus: sneathia","genus: sneathia","FALSE","0.687343592621409","1.01498068924956","0.677198689493889"
"genus: paraeggerthella","genus: paraeggerthella","TRUE","0.466349281949164","0","0.366262900127183"
" bacilli","class: bacilli","FALSE","-0.480448299404123","2.41531183632338","-0.198917709994527"
"genus: bacillus","genus: bacillus","FALSE","-0.567499351372305","1.45327634324168","-0.390496517755489"
"genus: gemmiger","genus: gemmiger","FALSE","-0.732970889904283","1.06925858582035","-0.685494509582956"
"genus: moryella","genus: moryella","FALSE","0.344999702869933","1.19901207247181","0.287736638179716"
"family: aerococcaceae","family: aerococcaceae","FALSE","-1.12779420469242","1.35350853259857","-0.833237602519722"
"genus: ph2","genus: ph2","FALSE","0.613534553512066","0.937714973991874","0.654286825452127"
"genus: pseudomonas","genus: pseudomonas","TRUE","-0.187605584458986","0","-0.186206583125373"
"genus: sphingomonas","genus: sphingomonas","TRUE","0.00897013093323973","0","0.0126858771337831"
"genus: anaerosinus","genus: anaerosinus","FALSE","-0.101220915462382","1.67321027994364","-0.0604950356065176"
"family: phyllobacteriaceae","family: phyllobacteriaceae","TRUE","0.14751975350806","0","0.110686304520569"
"order: streptophyta","order: streptophyta","TRUE","0.071561047085516","0","0.0655178957169751"
"genus: lactonifactor","genus: lactonifactor","FALSE","0.552895562375393","1.1182784452462","0.494416721278813"
"family: porphyromonadaceae","family: porphyromonadaceae","FALSE","0.0786859064195531","1.606113383594","0.0489915016108499"
"genus: jonquetella","genus: jonquetella","TRUE","0.159187181850237","0","0.142892752540732"
"family: sphingomonadaceae","family: sphingomonadaceae","FALSE","-0.070860168137459","1.1846830163475","-0.059813610189102"
"genus: subdoligranulum","genus: subdoligranulum","FALSE","0.161352314991391","1.21287238733704","0.133033216582376"
"family: peptostreptococcaceae","family: peptostreptococcaceae","FALSE","-1.32752124325774","0.906905170981599","-1.46379278201808"
"family: xanthomonadaceae","family: xanthomonadaceae","FALSE","0.951956275628697","1.18369577258183","0.80422376904526"
"family: bradyrhizobiaceae","family: bradyrhizobiaceae","TRUE","-0.724832863652632","0","-0.701173673810828"
"family: pasteurellaceae","family: pasteurellaceae","TRUE","-0.389354740574154","0","-0.319076819425151"
"family: veillonellaceae","family: veillonellaceae","FALSE","-1.25034221694356","1.19918436163809","-1.04266054240032"
"genus: coprococcus","genus: coprococcus","TRUE","-0.171851692769967","0","-0.142699965293887"
"genus: slackia","genus: slackia","TRUE","0.128889927739665","0","0.104603532567157"
"genus: bergeyella","genus: bergeyella","TRUE","-0.0589586808728196","0","-0.0512364040295603"
"family: mitochondria","family: mitochondria","FALSE","0.594697001081302","1.03493214418631","0.57462414750763"
"genus: selenomonas","genus: selenomonas","TRUE","0.366309979741923","0","0.27258311991195"
"genus: macellibacteroides","genus: macellibacteroides","FALSE","-0.00825599636553054","1.01573636371677","-0.00812808978829933"
"genus: granulicatella","genus: granulicatella","FALSE","0.000662276764786807","0.859290171436843","0.000770725404294332"
"order: sphingomonadales","order: sphingomonadales","FALSE","0.0736486956429728","0.962000861193387","0.0765578271433247"
"genus: collinsella","genus: collinsella","FALSE","-0.396417689819986","0.855340510864781","-0.463461843306349"
"order: cytophagales","order: cytophagales","TRUE","0.112176104868039","0","0.101095675564822"
"genus: peptoniphilus","genus: peptoniphilus","FALSE","-0.0115421892740699","0.857770975035671","-0.01345602685331"
"family: rhodobacteraceae","family: rhodobacteraceae","TRUE","-0.0102925861299516","0","-0.00858634253667229"
"genus: mycoplasma","genus: mycoplasma","FALSE","1.8011065909652","1.92944108416644","0.933486181954769"
"family: bifidobacteriaceae","family: bifidobacteriaceae","FALSE","-0.800985069338347","1.81192975707297","-0.44206187696386"
