"V1","V2","testing_cohort","training_cohort","pipeline","level"
0.677541009124411,0.6875,"Chao","Antonio","Antonio","phylum"
0.281088929219601,0.862068965517241,"Gressel","Antonio","Antonio","phylum"
0.196940287811031,0.527777777777778,"Tsementzi","Antonio","Antonio","phylum"
0.404319061348936,0.536912751677852,"Walsh","Antonio","Antonio","phylum"
0.646101667191435,0.65625,"Chao","Antonio","Antonio","order"
0.808620689655172,0.793103448275862,"Gressel","Antonio","Antonio","order"
0.377642589263013,0.5,"Tsementzi","Antonio","Antonio","order"
0.382854729425782,0.604026845637584,"Walsh","Antonio","Antonio","order"
0.575947971781305,0.34375,"Chao","Antonio","Antonio","class"
0,0.137931034482759,"Gressel","Antonio","Antonio","class"
0.172876309697856,0.722222222222222,"Tsementzi","Antonio","Antonio","class"
0.373935529315289,0.523489932885906,"Walsh","Antonio","Antonio","class"
0.659591623734624,0.59375,"Chao","Antonio","Antonio","family"
0.868302692724599,0.310344827586207,"Gressel","Antonio","Antonio","family"
0.261154050343427,0.777777777777778,"Tsementzi","Antonio","Antonio","family"
0.462027066235192,0.476510067114094,"Walsh","Antonio","Antonio","family"
0.681258728379815,0.28125,"Chao","Antonio","Antonio","genus"
0.885080849781394,0.172413793103448,"Gressel","Antonio","Antonio","genus"
0.381973654620397,0.722222222222222,"Tsementzi","Antonio","Antonio","genus"
0.400672314950364,0.530201342281879,"Walsh","Antonio","Antonio","genus"
0.358072916666667,0.75,"Chao","Antonio","Chao","phylum"
0.630541871921182,0.862068965517241,"Gressel","Antonio","Chao","phylum"
0.166666666666667,0.777777777777778,"Tsementzi","Antonio","Chao","phylum"
0.321669732113967,0.466216216216216,"Walsh","Antonio","Chao","phylum"
0.550965073529412,0.4375,"Chao","Antonio","Chao","order"
0.630541871921182,0.758620689655172,"Gressel","Antonio","Chao","order"
0.126893939393939,0.25,"Tsementzi","Antonio","Chao","order"
0.321669732113967,0.47972972972973,"Walsh","Antonio","Chao","order"
0.358072916666667,0.4375,"Chao","Antonio","Chao","class"
0.630541871921182,0.758620689655172,"Gressel","Antonio","Chao","class"
0.166666666666667,0.25,"Tsementzi","Antonio","Chao","class"
0.329035606422185,0.47972972972973,"Walsh","Antonio","Chao","class"
0.358072916666667,0.4375,"Chao","Antonio","Chao","family"
0.630541871921182,0.758620689655172,"Gressel","Antonio","Chao","family"
0.166666666666667,0.25,"Tsementzi","Antonio","Chao","family"
0.321669732113967,0.47972972972973,"Walsh","Antonio","Chao","family"
0.347120098039216,0.4375,"Chao","Antonio","Chao","genus"
0.684937785075716,0.758620689655172,"Gressel","Antonio","Chao","genus"
0.146464646464646,0.25,"Tsementzi","Antonio","Chao","genus"
0.319231148751331,0.47972972972973,"Walsh","Antonio","Chao","genus"
0.662533413904501,0.28125,"Chao","Antonio","Gressel","phylum"
0.897261189697861,0.655172413793103,"Gressel","Antonio","Gressel","phylum"
0.268500294854784,0.416666666666667,"Tsementzi","Antonio","Gressel","phylum"
0.516192898244414,0.422818791946309,"Walsh","Antonio","Gressel","phylum"
0.718461978034469,0.625,"Chao","Antonio","Gressel","order"
0.817366945938469,0.551724137931034,"Gressel","Antonio","Gressel","order"
0.219925774593424,0.416666666666667,"Tsementzi","Antonio","Gressel","order"
0.435294089625183,0.469798657718121,"Walsh","Antonio","Gressel","order"
0.612138932682001,0.5625,"Chao","Antonio","Gressel","class"
0.885153062247057,0.413793103448276,"Gressel","Antonio","Gressel","class"
0.27264347095957,0.25,"Tsementzi","Antonio","Gressel","class"
0.488328425220212,0.476510067114094,"Walsh","Antonio","Gressel","class"
0.710384517113759,0.25,"Chao","Antonio","Gressel","family"
0.82316762311485,0.310344827586207,"Gressel","Antonio","Gressel","family"
0.2102156908315,0.527777777777778,"Tsementzi","Antonio","Gressel","family"
0.555721596290035,0.456375838926175,"Walsh","Antonio","Gressel","family"
0.717273256343622,0.4375,"Chao","Antonio","Gressel","genus"
0.607203731772697,0.206896551724138,"Gressel","Antonio","Gressel","genus"
0.201658704458017,0.527777777777778,"Tsementzi","Antonio","Gressel","genus"
0.490532912413568,0.422818791946309,"Walsh","Antonio","Gressel","genus"
0.337384259259259,0.25,"Chao","Antonio","Tsementzi","phylum"
0.0356349206349207,0.137931034482759,"Gressel","Antonio","Tsementzi","phylum"
0.0544117647058824,0.771428571428571,"Tsementzi","Antonio","Tsementzi","phylum"
0.375522588265129,0.488372093023256,"Walsh","Antonio","Tsementzi","phylum"
0,0.25,"Chao","Antonio","Tsementzi","order"
0,0.137931034482759,"Gressel","Antonio","Tsementzi","order"
0,0.771428571428571,"Tsementzi","Antonio","Tsementzi","order"
0.209615277623234,0.496124031007752,"Walsh","Antonio","Tsementzi","order"
0.663377192982456,0.25,"Chao","Antonio","Tsementzi","class"
0.254303386671808,0.137931034482759,"Gressel","Antonio","Tsementzi","class"
0.122350230414747,0.771428571428571,"Tsementzi","Antonio","Tsementzi","class"
0.489448720191594,0.488372093023256,"Walsh","Antonio","Tsementzi","class"
0.487148268398268,0.25,"Chao","Antonio","Tsementzi","family"
0.521774712643678,0.137931034482759,"Gressel","Antonio","Tsementzi","family"
0.157746848739496,0.771428571428571,"Tsementzi","Antonio","Tsementzi","family"
0.451834694390426,0.488372093023256,"Walsh","Antonio","Tsementzi","family"
0.492424242424242,0.25,"Chao","Antonio","Tsementzi","genus"
0.492142857142857,0.137931034482759,"Gressel","Antonio","Tsementzi","genus"
0.129831932773109,0.771428571428571,"Tsementzi","Antonio","Tsementzi","genus"
0.416643649260444,0.488372093023256,"Walsh","Antonio","Tsementzi","genus"
0.792016181301455,0.258064516129032,"Chao","Antonio","SOTA","phylum"
0.844038105462342,0.518518518518518,"Gressel","Antonio","SOTA","phylum"
0.161447266596354,0.472222222222222,"Tsementzi","Antonio","SOTA","phylum"
0.541661940990775,0.416107382550336,"Walsh","Antonio","SOTA","phylum"
0.743688185374944,0.419354838709677,"Chao","Antonio","SOTA","order"
0.732412576256297,0.37037037037037,"Gressel","Antonio","SOTA","order"
0.200079632533442,0.638888888888889,"Tsementzi","Antonio","SOTA","order"
0.462399074737307,0.469798657718121,"Walsh","Antonio","SOTA","order"
0.764690346556748,0.354838709677419,"Chao","Antonio","SOTA","class"
0.793526875684007,0.37037037037037,"Gressel","Antonio","SOTA","class"
