#OTU ID	SRR2533834	SRR2533846	SRR2533860	SRR2533882	SRR2533894	SRR2533897	SRR2533904	SRR2533911	SRR2533919	SRR2533933	SRR2533949	SRR2533979	SRR2533985	SRR2534007	SRR2534013	SRR2534024	SRR2534037	SRR2534046	SRR2534057
OTU_1	0	1083	9	0	0	514291	49	59	5	122	241974	0	0	0	0	0	0	0	10048
OTU_10	0	0	0	0	0	16880	0	0	0	0	0	60	0	0	32977	31	0	0	0
OTU_100	0	0	0	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101	0	0	0	0	942	0	56	0	0	0	0	0	0	0	0	0	0	0	0
OTU_102	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_103	0	0	0	0	0	0	0	0	397	557	0	0	0	0	0	0	0	0	0
OTU_104	0	0	10	0	0	162	0	0	5	0	0	0	0	1321	0	0	0	0	0
OTU_105	0	0	0	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_106	0	0	0	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_107	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_108	0	0	0	0	0	0	0	0	34	114	8	0	0	0	0	102	0	0	472
OTU_109	0	0	0	0	0	0	0	0	469	0	17	0	0	0	0	0	7	0	0
OTU_11	0	0	0	0	0	0	0	0	27882	0	0	0	0	0	0	0	0	0	0
OTU_110	461	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0
OTU_111	0	0	0	559	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
OTU_112	0	0	0	0	212	0	38	0	460	0	0	0	0	0	0	0	0	0	0
OTU_113	0	0	8	0	454	0	335	0	281	20	0	8	0	0	0	0	0	0	0
OTU_114	0	0	0	453	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0
OTU_115	0	8	0	447	0	0	10	0	203	0	317	0	82	189	0	534	79	181	241
OTU_116	0	0	0	0	39	0	0	0	0	0	0	0	28	0	0	445	5	0	447
OTU_117	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0
OTU_118	0	0	0	0	698	0	183	0	0	0	0	0	0	0	0	0	0	0	0
OTU_119	0	0	0	0	0	0	0	0	0	134	0	0	0	430	0	0	0	0	0
OTU_12	0	0	0	0	0	0	0	0	22640	0	0	0	0	0	0	0	0	0	0
OTU_120	0	15	0	417	258	0	0	0	0	83	0	0	0	223	0	0	0	0	0
OTU_121	0	0	0	0	0	0	0	0	0	0	0	0	0	413	0	0	0	0	0
OTU_122	0	0	0	398	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_123	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_124	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_125	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	364
