#OTU ID	SRR15655215	SRR15655218	SRR15655221	SRR15655225	SRR15655228	SRR15655231	SRR15655234	SRR15655235	SRR15655238	SRR15655241	SRR15655244	SRR15655248	SRR15655251	SRR15655254	SRR15655258	SRR15655261	SRR15655264	SRR15655267	SRR15655268	SRR15655271	SRR15655274	SRR15655277	SRR15655281	SRR15655284	SRR15655287	SRR15655291	SRR15655294	SRR15655297	SRR15655300
OTU_1	17	0	0	0	0	2800	3412	8	0	0	0	0	0	0	9	4569	0	0	77143	732	0	2970	0	69	0	0	0	26493	30
OTU_10	0	0	18	0	0	0	0	0	0	1974	0	2690	1616	0	0	0	0	0	21	0	0	0	24	0	795	0	0	20	0
OTU_100	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0
OTU_101	0	0	0	3	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0
OTU_102	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
OTU_103	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
OTU_104	0	0	0	0	0	16	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
OTU_105	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	72	6
OTU_106	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	72	7
OTU_107	0	11	0	10	4	0	0	70	3	0	0	0	0	0	0	0	5	0	0	0	2	0	0	4	0	0	13	4	56
OTU_108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0
OTU_109	10	0	0	0	0	2	0	66	0	0	0	0	0	5	0	0	6	2	0	3	0	0	0	0	0	0	0	6	0
OTU_11	8	3	9	0	0	73	47	0	0	63	2508	47	90	15	12	16	0	16	16	26	2308	43	14	13	23	21	0	0	0
OTU_110	3	0	0	0	0	0	0	0	0	0	0	0	66	8	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0
OTU_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	64	0	0	0
OTU_113	0	0	4	0	0	34	0	17	0	0	0	0	10	5	0	0	4	0	26	0	2	0	0	0	0	41	0	64	0
OTU_114	0	0	0	0	6	0	0	52	0	0	5	6	4	0	0	0	8	0	0	0	10	0	0	0	3	0	0	0	64
OTU_115	0	0	4	0	0	6	0	0	0	0	0	0	0	63	0	0	0	8	0	6	0	0	0	10	0	12	0	0	0
OTU_116	0	0	0	0	0	23	0	0	0	0	0	0	13	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0
OTU_118	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_119	0	61	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU_12	0	0	23	6	0	6	0	118	0	0	0	0	0	12	0	0	4	0	57	0	0	0	0	0	0	0	0	416	2416
OTU_120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	61	0	14	0	15	4
OTU_121	0	0	0	0	10	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_122	0	0	0	0	3	25	0	0	0	0	2	0	11	60	0	0	0	2	0	0	2	0	0	0	0	9	0	0	6
OTU_123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0
OTU_124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	58	0	0	0	8	0
OTU_125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	39	0	0	0
OTU_126	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	6	29
OTU_127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	57	0	0	0
OTU_128	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57
OTU_129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	36	0	0	0
OTU_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2218	0	0	0	0	0	0	0	387	0	0	0
OTU_130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	4	53
OTU_131	0	0	15	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11
OTU_132	6	0	0	0	0	6	0	0	0	0	0	0	48	38	0	0	2	6	0	36	0	0	0	9	0	4	0	0	0
OTU_133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	21	0	0	8
OTU_134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	48	0	6	0	0	6
OTU_135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	85	0	52	0	48	0
OTU_136	0	0	0	0	0	10	0	0	0	23	0	0	16	0	0	0	0	23	0	7	0	0	0	0	47	0	0	12	20
OTU_137	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	6	0	0	0	0	0	0	0	47	0	0	0
OTU_138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
OTU_139	0	0	0	0	46	0	0	9	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	16	0	6	0
OTU_14	0	17	29	5	29	14	0	1973	0	0	0	0	11	15	0	0	0	0	48	0	0	0	0	0	0	11	0	69	63
OTU_140	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_141	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	8	0	2	0
OTU_142	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	21	0	0	0	0	42	0	0	2	7	0
OTU_143	0	8	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	33
OTU_144	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
OTU_145	0	0	0	3	3	0	0	41	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	4	0	5	0	36
OTU_146	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	37
OTU_147	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	40	0	24	0	51	0
OTU_148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	14	0	0	0
OTU_149	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0
OTU_15	0	0	0	0	0	0	0	0	0	0	0	0	4	1970	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
OTU_150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	19	0	0	0
OTU_151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0
OTU_152	36	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	13	0	8	0	0	0	0	0	0	0	0	0
OTU_153	0	0	0	0	0	9	0	0	0	0	0	0	35	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
OTU_154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0
OTU_155	0	2	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	20
OTU_156	0	0	0	0	3	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0
OTU_158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	50	0	0	0
OTU_159	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	5	0	0	0	34	0
OTU_16	19	0	707	13	53	1336	0	11	0	4	4	9	15	318	2358	27	0	289	54	2540	45	0	11	0	29	0	0	9	222
OTU_160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	34	8
OTU_161	0	0	0	0	0	12	0	0	0	0	0	0	0	33	0	0	0	3	0	0	0	0	0	0	0	6	0	0	0
OTU_162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
OTU_163	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	32	0	32	0	8	0
OTU_164	0	0	6	0	0	0	0	0	0	0	0	0	5	4	0	0	6	0	13	0	0	0	0	0	0	32	0	25	0
OTU_165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	31	0	0	0	16	0
OTU_166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
OTU_167	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	31	0
OTU_168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
OTU_169	0	0	0	0	0	29	0	0	0	0	0	0	4	5	0	0	0	3	0	23	0	0	0	3	0	9	0	0	0
OTU_17	0	5	13	0	0	13	0	0	0	0	0	0	4	20	13	0	0	1420	0	33	8	0	0	0	0	48	0	0	0
OTU_170	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	29	0	10	0	14	6
OTU_171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0
OTU_172	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0
OTU_173	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	28	0	0	0	29	6
OTU_174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	29	4
OTU_175	0	0	0	0	9	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
OTU_176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	18	0
OTU_177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	28	0	6	0
OTU_178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
OTU_179	0	0	0	0	0	3	0	14	0	0	0	0	0	0	0	0	0	0	14	0	0	0	3	0	0	25	0	28	6
OTU_18	0	0	12	0	0	8	0	0	0	0	2	0	16	1389	6	0	0	23	0	28	0	0	0	8	0	32	0	0	0
OTU_180	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	4	0	28	0
OTU_181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	28	0
OTU_182	0	0	0	0	0	5	0	22	0	0	0	3	0	0	0	0	4	0	4	4	0	3	0	0	7	0	6	10	27
OTU_183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	26	0	0	0	6	0
OTU_184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	5	0
OTU_185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
OTU_186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	2	0	0	8	0	0	0	25	0
OTU_187	0	0	0	14	0	23	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	25
OTU_188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0
OTU_189	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19	7	0	0	2	0	108	0	0	0	0	0	0	212	1371	0	0	0	14	0	54	0	0	5	0	0	250	0	0	0
OTU_190	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0
OTU_192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0
OTU_193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
OTU_194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
OTU_195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	7	0	23	9
