#OTU ID	SRR2533894	SRR2533897	SRR2533904	SRR2533911	SRR2533919	SRR2533933	SRR2533949	SRR2533979	SRR2533985	SRR2534007	SRR2534013	SRR2534024	SRR2534037	SRR2534046	SRR2534057
ASV_1	     0	428899	    74	    81	    10	   160	254211	     0	     0	     0	     0	     0	     0	     0	    81
ASV_2	    11	     0	336248	   379	    76	   823	   261	    11	     0	  2338	    52	     0	     0	 16958	   183
ASV_3	    10	   112	   107	 73133	    22	    54	156819	   217	     0	     0	  6341	     0	    11	     0	 22004
ASV_4	     0	    74	   192	201160	    15	 23188	   208	    34	     0	     0	   101	     0	 31297	  1457	    37
ASV_5	    13	     0	     0	     3	180649	  4038	   282	     0	     0	     0	     0	     0	     0	     0	     0
ASV_6	     0	    24	     0	     0	 42266	142398	   263	     0	     0	     0	     0	     0	     0	     0	     0
ASV_7	     4	     7	    11	     0	114157	  4882	  2354	     0	 20849	   928	     0	  9125	  1250	  2570	     0
ASV_8	149863	     0	   773	     6	   548	  2517	    12	     0	    18	   691	     0	     0	     0	     0	     0
ASV_9	147091	     0	  1514	     2	    40	     0	     0	     0	    24	  1532	     0	     0	     0	     0	     0
ASV_10	     9	     0	     0	121219	     0	     0	   163	     0	     0	     0	     0	     0	     0	     0	     0
ASV_11	    0	72889	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
ASV_12	50095	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
ASV_13	    0	17182	    0	    0	    0	   14	    0	   43	    0	    0	23627	   31	    0	    0	    0
ASV_14	    0	    0	    0	    0	26260	    4	    0	    0	    0	    0	    0	    0	    0	    0	    0
ASV_15	    0	    0	    0	    0	26235	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
ASV_16	24914	    0	  384	    0	    0	    0	    0	    0	    0	  389	    0	    0	    0	    0	    0
ASV_17	    0	    0	    0	    0	24859	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
