#OTU ID	SRR2533834	SRR2533846	SRR2533860	SRR2533882	SRR2533894	SRR2533897	SRR2533904	SRR2533911	SRR2533919	SRR2533933	SRR2533949	SRR2533979	SRR2533985	SRR2534007	SRR2534013	SRR2534024	SRR2534037	SRR2534046	SRR2534057	SRR2533873	SRR2533888	SRR2533965	SRR2533972
ASV_1	     0	  1157	     0	     0	    29	484450	    94	   102	    63	   169	288613	     0	     0	     0	     0	     0	     0	     0	   133	     0	     0	     0	     0
ASV_2	 67890	 43258	151236	  2423	    58	   150	   157	 85376	   145	    55	176499	   380	     0	     0	 10245	     0	    35	     0	 35739	     0	     0	     0	     0
ASV_3	     0	     0	   125	     0	    99	     0	374090	   447	   236	   827	   349	     0	     0	  4036	    81	     0	     0	 29461	   298	     0	     0	     0	     0
ASV_4	     0	     0	     0	     0	     0	   105	   272	239328	   100	 24229	   298	    71	     8	     0	   144	     0	 52858	  2656	    44	     0	     0	     0	     0
ASV_5	     0	    34	     2	 10384	   190	    30	    46	    34	165175	  5218	  5961	     0	 48833	  2686	     0	 17505	  3113	  6728	     0	     0	     0	     0	     0
ASV_6	     0	     0	     0	     0	    38	    16	    14	    11	209797	  4029	   353	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0
ASV_7	     0	     0	     0	     0	     0	    51	     0	     0	 62612	150886	   389	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0
ASV_8	     0	     0	    38	     0	174826	     7	   898	    35	   848	  2679	    40	     0	    37	  1047	     0	     0	     0	     0	     0	     0	     0	     0	     0
ASV_9	    38	     0	    70	     0	171405	     0	  1776	    12	    86	     0	    24	     0	    38	  2420	     0	     0	     0	     0	     0	     0	     0	     0	     0
ASV_10	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	  9193	   350	114351	 25130
ASV_11	     0	     0	     0	     0	    63	     0	     0	143780	    66	     0	   205	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0
ASV_12	    0	    0	    0	    0	    0	82105	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
ASV_13	73009	 7457	    0	    0	    0	    0	    0	    0	    0	    0	    0	  213	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
ASV_14	    0	    0	    0	    0	    0	20872	    0	    0	    0	   16	    0	   98	    4	    0	54772	   59	    0	    0	    0	    0	    0	    0	    0
ASV_15	51860	    0	    0	    0	   26	    9	   94	    0	   47	    0	   40	17585	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
