#OTU ID	SRR2533897	SRR2533904	SRR2533911	SRR2533949	SRR2533979	SRR2534013	SRR2534037	SRR2534057
ASV_1	429590	    74	    79	256911	     0	     0	     0	    80
ASV_2	     0	342506	   364	   256	     0	    53	     0	   183
ASV_3	   110	   113	 74241	159698	   218	  6307	    11	 22003
ASV_4	    76	   196	203595	   217	    34	   101	 31297	    37
ASV_5	     0	     0	122323	   168	     0	     0	     0	     0
ASV_6	72619	    0	    0	    0	    0	    0	    0	    0
ASV_7	17182	    0	    0	    0	   43	23628	    0	    0
ASV_8	   0	   0	   0	   0	   0	   0	   0	8144
ASV_9	   0	  63	   0	   6	7895	   0	   0	   0
ASV_10	   0	 557	   0	   0	5690	   0	   0	   0
ASV_11	   2	  14	   0	   0	   0	   0	   0	4292
ASV_12	   0	   0	   0	   0	   0	   0	   0	3847
ASV_13	   0	   0	   0	   0	   0	   0	   0	3808
ASV_14	   0	   0	  11	1461	   0	   0	   0	2234
ASV_15	   0	  53	  15	   0	3608	   0	   0	   0
ASV_16	   7	  11	   0	2357	   0	   0	1252	   0
ASV_17	   0	   0	   0	   0	2554	   0	   0	   0
ASV_18	2008	   0	   0	   0	  40	   0	   0	   0
ASV_19	   0	   0	   0	1969	   0	   0	   0	   0
ASV_20	   0	   0	   0	 101	   0	   0	1717	   0
ASV_21	   0	   0	   0	   0	   0	   0	1676	   0
ASV_22	   0	1557	   2	   0	   0	   0	   0	   0
ASV_23	   0	   0	1457	   0	   0	   0	   0	   0
ASV_24	   0	   0	   0	   0	   0	   0	   0	1295
ASV_25	   0	   0	1210	   0	   0	   0	   0	   0
ASV_26	   0	   0	   0	1197	   0	   0	   0	   0
ASV_27	   0	   0	   0	   0	   0	1184	   0	   0
ASV_28	   0	   0	   0	   0	   0	   0	1184	   0
ASV_29	  0	  0	  0	352	763	  0	  0	 36
ASV_30	  0	  0	465	639	  0	  0	  0	  0
ASV_31	615	  0	  0	488	  0	  0	  0	  0
ASV_32	  0	  0	349	679	  0	  0	  0	  0
ASV_33	630	  0	  0	363	  0	  0	  0	  0
ASV_34	595	  0	  0	343	  0	  0	  0	  0
ASV_35	  0	  0	  0	  0	870	  0	  5	  0
ASV_36	  0	  0	  0	819	  0	  0	  0	  0
ASV_37	  0	772	  6	 12	  0	  0	  0	  0
ASV_38	  0	676	  0	  0	  0	  0	  0	  0
ASV_39	663	  0	  0	  0	  0	  0	  0	  0
ASV_40	  0	  0	  0	657	  0	  0	  0	  0
ASV_41	644	  0	  0	  0	  0	  0	  0	  0
ASV_42	  0	  0	  0	617	  0	  0	  0	  0
ASV_43	  0	  0	581	  0	  0	  0	  0	  0
ASV_44	  0	568	  0	  0	  0	  0	  0	  0
ASV_45	  0	566	  0	  0	  0	  0	  0	  0
ASV_46	  0	556	  0	  0	  0	  0	  0	  0
ASV_47	  0	  0	  0	  0	543	  0	  0	  0
ASV_48	  0	  0	  0	542	  0	  0	  0	  0
ASV_49	  2	 11	  0	360	  0	  0	 63	 99
ASV_50	  0	  0	529	  0	  0	  0	  0	  0
ASV_51	  0	528	  0	  0	  0	  0	  0	  0
ASV_52	  0	517	  0	  0	  0	  0	  0	  0
ASV_53	  0	485	  0	  0	  0	  0	  0	  0
ASV_54	  0	482	  0	  0	  0	  0	  0	  0
ASV_55	  0	  0	  0	473	  0	  0	  0	  0
ASV_56	466	  0	  0	  0	  0	  0	  0	  0
ASV_57	  0	  0	445	  0	  0	  0	  0	  0
ASV_58	433	  0	  0	  0	  0	  0	  0	  0
ASV_59	  0	  0	  0	  0	425	  0	  0	  0
ASV_60	  0	  0	  0	274	  0	  0	  0	150
ASV_61	  0	421	  0	  0	  0	  0	  0	  0
ASV_62	  0	  0	  0	 62	  0	  0	  0	357
ASV_63	  0	412	  0	  0	  0	  0	  0	  0
ASV_64	  0	  0	  0	203	  0	  0	 60	134
ASV_65	  0	  0	  0	396	  0	  0	  0	  0
ASV_66	  0	  0	388	  0	  0	  0	  0	  0
ASV_67	  0	  0	  0	 13	  0	  0	  0	374
ASV_68	  0	384	  0	  0	  0	  0	  0	  0
ASV_69	228	 22	 90	 39	  0	  0	  0	  0
ASV_70	362	  0	  0	  0	  0	  0	  0	  0
ASV_71	361	  0	  0	  0	  0	  0	  0	  0
ASV_72	  0	  0	  0	358	  0	  0	  0	  0
ASV_73	  0	  0	  0	352	  0	  0	  0	  0
ASV_74	  0	  0	  0	217	125	  0	  0	  0
ASV_75	  0	  0	  0	  0	  0	  0	336	  0
ASV_76	  4	  0	  0	  0	315	  0	  0	  0
ASV_77	  0	  0	  0	  0	  0	  0	190	116
ASV_78	  0	  0	  0	218	  0	  0	 82	  0
ASV_79	291	  0	  0	  0	  0	  0	  0	  0
ASV_80	  0	291	  0	  0	  0	  0	  0	  0
ASV_81	 24	  0	  0	263	  0	  0	  0	  0
ASV_82	  0	  0	  3	282	  0	  0	  0	  0
ASV_83	  0	275	  0	  0	  0	  0	  0	  0
ASV_84	  0	  0	  0	 20	  0	  0	255	  0
ASV_85	  0	  0	  0	265	  0	  0	  0	  0
ASV_86	  0	  0	  0	255	  0	  0	  0	  0
ASV_87	  0	  0	  0	153	  0	 27	 11	 51
ASV_88	  0	  0	  0	242	  0	  0	  0	  0
ASV_89	  0	232	  0	  0	  0	  0	  0	  0
ASV_90	  0	  0	  0	222	  0	  0	  0	  0
ASV_91	  0	  0	  0	219	  0	  0	  0	  0
ASV_92	  0	  0	211	  0	  0	  0	  0	  0
ASV_93	  0	206	  0	  0	  3	  0	  0	  0
ASV_94	  0	  0	  0	201	  0	  0	  0	  0
ASV_95	  0	193	  0	  0	  0	  0	  0	  0
ASV_96	  0	187	  0	  0	  0	  0	  0	  0
ASV_97	  0	187	  0	  0	  0	  0	  0	  0
ASV_98	  0	186	  0	  0	  0	  0	  0	  0
ASV_99	  0	185	  0	  0	  0	  0	  0	  0
ASV_100	  0	185	  0	  0	  0	  0	  0	  0
ASV_101	  0	  0	  0	  0	184	  0	  0	  0
ASV_102	  0	182	  0	  0	  0	  0	  0	  0
ASV_103	181	  0	  0	  0	  0	  0	  0	  0
ASV_104	  0	176	  0	  0	  0	  0	  0	  0
ASV_105	  0	175	  0	  0	  0	  0	  0	  0
ASV_106	168	  0	  0	  0	  0	  0	  0	  0
ASV_107	  0	  0	  0	  0	  0	  0	  0	167
ASV_108	  0	  0	  0	  0	  0	  0	  0	165
ASV_109	  0	163	  0	  0	  0	  0	  0	  0
ASV_110	  0	161	  0	  0	  0	  0	  0	  0
ASV_111	  0	156	  0	  0	  0	  0	  0	  0
ASV_112	  0	149	  0	  0	  0	  0	  0	  0
ASV_113	  0	  0	  0	140	  0	  0	  0	  0
ASV_114	  0	136	  0	  0	  0	  0	  0	  0
ASV_115	  0	  0	135	  0	  0	  0	  0	  0
ASV_116	  0	134	  0	  0	  0	  0	  0	  0
ASV_117	  0	134	  0	  0	  0	  0	  0	  0
ASV_118	  0	132	  0	  0	  0	  0	  0	  0
ASV_119	  0	130	  0	  0	  0	  0	  0	  0
ASV_120	  0	130	  0	  0	  0	  0	  0	  0
ASV_121	  0	129	  0	  0	  0	  0	  0	  0
ASV_122	  0	  0	  0	  0	127	  0	  0	  0
ASV_123	  0	122	  0	  0	  0	  0	  0	  0
ASV_124	  0	122	  0	  0	  0	  0	  0	  0
ASV_125	  0	  0	  0	122	  0	  0	  0	  0
ASV_126	  0	115	  0	  0	  0	  0	  0	  0
ASV_127	  0	115	  0	  0	  0	  0	  0	  0
ASV_128	  0	114	  0	  0	  0	  0	  0	  0
ASV_129	  0	114	  0	  0	  0	  0	  0	  0
ASV_130	  0	113	  0	  0	  0	  0	  0	  0
ASV_131	  0	  0	  0	112	  0	  0	  0	  0
ASV_132	  0	111	  0	  0	  0	  0	  0	  0
ASV_133	  0	109	  0	  0	  0	  0	  0	  0
ASV_134	  0	109	  0	  0	  0	  0	  0	  0
ASV_135	  0	108	  0	  0	  0	  0	  0	  0
ASV_136	  0	107	  0	  0	  0	  0	  0	  0
ASV_137	  0	105	  0	  0	  0	  0	  0	  0
ASV_138	  0	  0	  0	  0	  0	  0	  0	103
ASV_139	  0	102	  0	  0	  0	  0	  0	  0
ASV_140	 0	 0	 0	 0	99	 0	 0	 0
ASV_141	 0	 0	 0	98	 0	 0	 0	 0
ASV_142	 0	97	 0	 0	 0	 0	 0	 0
ASV_143	 0	 0	 0	 0	97	 0	 0	 0
ASV_144	 0	96	 0	 0	 0	 0	 0	 0
ASV_145	 0	 0	48	47	 0	 0	 0	 0
ASV_146	 0	94	 0	 0	 0	 0	 0	 0
ASV_147	 0	 0	 0	94	 0	 0	 0	 0
