Feature ID	p;c;o;f;g;s
ASV_1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
ASV_10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
ASV_100	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1000	d__Bacteria
ASV_1001	d__Bacteria
ASV_1002	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Fenollaria;s__Fenollaria massiliensis
ASV_1003	d__Bacteria
ASV_1004	d__Bacteria
ASV_1005	d__Bacteria
ASV_1006	d__Bacteria
ASV_1007	d__Bacteria
ASV_1008	d__Bacteria
ASV_1009	d__Bacteria
ASV_101	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1010	d__Bacteria
ASV_1011	d__Bacteria
ASV_1012	d__Bacteria
ASV_1013	d__Bacteria
ASV_1014	d__Bacteria
ASV_1015	d__Bacteria
ASV_1016	d__Bacteria
ASV_1017	d__Bacteria
ASV_1018	d__Bacteria
ASV_1019	d__Bacteria
ASV_102	d__Bacteria
ASV_1020	d__Bacteria
ASV_1021	d__Bacteria
ASV_1022	d__Bacteria
ASV_1023	d__Bacteria;p__Firmicutes;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp001552885
ASV_1024	d__Bacteria
ASV_1025	d__Bacteria
ASV_1026	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Anaerococcus
ASV_1027	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans
ASV_1028	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01;s__CAJPSE01 sp003860125
ASV_1029	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium;s__Eubacterium brachy
ASV_103	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1030	d__Bacteria
ASV_1031	d__Bacteria
ASV_1032	d__Bacteria
ASV_1033	d__Bacteria
ASV_1034	d__Bacteria
ASV_1035	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Fenollaria;s__Fenollaria massiliensis
ASV_1036	d__Bacteria
ASV_1037	d__Bacteria
ASV_1038	d__Bacteria
ASV_1039	d__Bacteria
ASV_104	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1040	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter hominis
ASV_1041	d__Bacteria
ASV_1042	d__Bacteria
ASV_1043	d__Bacteria
ASV_1044	d__Bacteria
ASV_1045	d__Bacteria
ASV_1046	d__Bacteria
ASV_1047	d__Bacteria
ASV_1048	d__Bacteria
ASV_1049	d__Bacteria
ASV_105	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1050	d__Bacteria
ASV_1051	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1052	d__Bacteria
ASV_1053	d__Bacteria;p__Firmicutes;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp001552885
ASV_1054	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1055	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01;s__CAJPSE01 sp003860125
ASV_1056	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella;s__Johnsonella ignava
ASV_1057	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium
ASV_1058	d__Bacteria
ASV_1059	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus
ASV_106	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1060	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus
ASV_1061	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1062	d__Bacteria
ASV_1063	d__Bacteria
ASV_1064	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Defluviimonas sp002871005
ASV_1065	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae
ASV_1066	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Ezakiella;s__Ezakiella coagulans
ASV_1067	d__Bacteria
ASV_1068	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Fenollaria;s__Fenollaria massiliensis
ASV_1069	d__Bacteria
ASV_107	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1070	d__Bacteria
ASV_1071	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1072	d__Bacteria
ASV_1073	d__Bacteria
ASV_1074	d__Bacteria
ASV_1075	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1076	d__Bacteria
ASV_1077	d__Bacteria
ASV_1078	d__Bacteria
ASV_1079	d__Bacteria
ASV_108	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1080	d__Bacteria
ASV_1081	d__Bacteria
ASV_1082	d__Bacteria
ASV_1083	d__Bacteria
ASV_1084	d__Bacteria
ASV_1085	d__Bacteria
ASV_1086	d__Bacteria
ASV_1087	d__Bacteria
ASV_1088	d__Bacteria
ASV_1089	d__Bacteria
ASV_109	d__Bacteria
ASV_1090	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia
ASV_1091	d__Bacteria
ASV_1092	d__Bacteria
ASV_1093	d__Bacteria
ASV_1094	d__Bacteria
ASV_1095	d__Bacteria
ASV_1096	d__Bacteria
ASV_1097	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae
ASV_1098	d__Bacteria
ASV_1099	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus
ASV_11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
ASV_110	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1100	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium
ASV_1101	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae
ASV_1102	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus
ASV_1103	d__Bacteria
ASV_1104	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus
ASV_1105	d__Bacteria
ASV_1106	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Defluviimonas sp002871005
ASV_1107	d__Bacteria
ASV_1108	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1109	d__Bacteria
