#OTU ID	SRR15655215	SRR15655218	SRR15655221	SRR15655225	SRR15655228	SRR15655231	SRR15655234	SRR15655235	SRR15655241	SRR15655244	SRR15655248	SRR15655251	SRR15655254	SRR15655258	SRR15655261	SRR15655264	SRR15655267	SRR15655268	SRR15655271	SRR15655274	SRR15655277	SRR15655281	SRR15655284	SRR15655287	SRR15655291	SRR15655294	SRR15655297	SRR15655300
ASV_1	   19	    0	    0	    0	    0	 2982	 3642	    8	    0	    5	    0	    0	    2	   10	 4855	    0	    0	82861	  783	    4	 2745	    0	   76	    0	    4	    0	28679	   32
ASV_2	   32	    5	   17	    0	    0	 1713	 2086	   37	   96	   75	   75	  127	   20	   33	 2835	    0	   34	48454	  512	   78	 1702	   18	   57	   49	   49	    0	17918	   35
ASV_3	    0	    0	  154	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	   19	    0	    0	    0	    0	    0	    0	    0	    0	25372	    0
ASV_4	    0	    0	   93	    0	    0	    0	    0	   18	    0	    0	    0	    0	    0	    9	    0	    0	    0	  127	    0	    0	    0	    0	    0	    0	    5	    0	13696	   44
ASV_5	  106	    0	    0	    0	    0	    0	    0	    0	  550	    0	    0	    0	    0	    0	    0	    0	    0	    0	  678	    0	    0	  579	    0	    0	    0	    0	10418	    0
ASV_6	   0	   0	  18	   2	   0	   0	   0	   0	2117	   0	2842	1710	   0	   0	   0	   0	   0	  22	   0	   0	   0	  27	   0	 842	   0	   0	  22	   0
ASV_7	  71	   0	   0	   0	   0	   0	   0	   4	 261	   0	   0	   0	   0	   0	   0	   0	   0	  29	 408	   0	   0	 323	   0	   0	   0	   0	5840	   0
ASV_8	 334	   0	   0	   0	   0	2271	   0	   0	   0	   0	   0	   0	   0	1386	   0	   0	 381	   0	   0	   0	   0	   0	   0	2211	   0	   0	   0	   0
ASV_9	   0	   0	   0	   0	   0	   0	   0	   0	   0	3291	   3	   0	   0	   0	   3	   0	   0	  31	   0	3200	   0	   0	   0	   0	   0	   0	   0	   0
ASV_10	   9	   0	  22	   6	   0	  90	  36	   0	1442	  73	2072	1222	  10	  14	  50	   0	  20	  26	  24	  73	  66	  25	  11	 637	  17	   0	  25	   0
ASV_11	   0	   0	   9	   0	   0	  82	  50	   0	  65	2664	  53	  93	  16	  16	  17	   0	  19	  20	  29	2425	  46	  15	  14	  23	  23	   0	   0	   0
ASV_12	   0	   0	  59	   8	   0	   6	   0	 205	   0	   0	   0	   0	  44	   0	   0	   0	   0	  30	   0	   0	   0	   0	   0	   0	  14	   0	  51	5035
ASV_13	   2	   0	  83	   9	  34	  27	   0	4036	   0	   0	   0	  23	  20	   0	   0	   0	   0	   0	   0	   9	   0	   6	   0	   2	  18	   0	   0	 139
ASV_14	 913	   6	   0	   0	   0	   0	  17	   0	 532	   0	1930	   0	   0	 133	   0	   0	   0	   0	 338	   0	   0	 171	   7	   0	   0	   0	   0	   0
ASV_15	   0	   0	 368	  13	  56	 578	   0	  14	   0	   4	  10	   0	 340	1273	  26	   0	 217	  57	 501	   0	   0	   0	   0	  30	   4	   0	   0	 188
ASV_16	 146	   0	   0	   0	   0	1144	   8	   0	   0	   0	   0	   0	  16	 840	   0	   0	 214	   0	   0	   0	   2	   0	   0	1222	   0	   0	   0	   0
ASV_17	  20	   0	 373	   0	   0	 829	   0	   0	   4	   0	   0	  16	   0	 571	   0	   0	  96	   0	1549	   0	   0	  12	   0	   0	   0	   0	   0	  53
ASV_18	   0	   0	  25	   0	   0	   5	   0	 126	   0	   0	   0	   0	   0	   0	   0	   4	   0	  71	   0	   0	   0	   0	   0	   0	   0	   0	 446	2777
