#OTU ID	SRR15655215	SRR15655218	SRR15655228	SRR15655231	SRR15655234	SRR15655241	SRR15655244	SRR15655248	SRR15655254	SRR15655258	SRR15655264	SRR15655267	SRR15655268	SRR15655274	SRR15655287	SRR15655291	SRR15655294	SRR15655300
ASV_1	   19	    0	    0	 2988	 3643	    0	    6	    0	    2	   12	    0	    0	82877	    4	    0	    4	    0	   32
ASV_2	   32	    5	    0	 1715	 2088	   96	   75	   76	   20	   33	    0	   34	49765	   78	   49	   49	    0	   35
ASV_3	 334	   0	   0	2271	   0	   0	   0	   0	   0	1387	   0	 386	   0	   0	2212	   0	   0	   0
ASV_4	   0	   0	   0	   0	   0	   0	3295	   3	   0	   0	   0	   0	  33	3201	   0	   0	   0	   0
ASV_5	   0	   0	   0	   0	   0	2118	   0	2842	   0	   0	   0	   0	  23	   0	 842	   0	   0	   0
ASV_6	  11	   3	   0	  82	  50	  65	2664	  53	  16	  16	   0	  19	  20	2425	  23	  23	   0	   0
ASV_7	   0	   0	   0	   6	   0	   0	   0	   0	  44	   0	   0	   0	  30	   0	   0	  14	   0	5035
ASV_8	   9	   0	   0	  90	  36	1442	  73	2082	  10	  15	   0	  20	  31	  73	 637	  17	   0	   0
ASV_9	 146	   6	   0	1144	   9	   0	   0	   0	  16	 840	   0	 219	   0	   0	1222	   0	   0	   0
ASV_10	 915	   6	   0	   0	  17	 533	   0	1930	   0	 134	   0	   0	   0	   0	   0	   0	   0	   0
ASV_11	   0	   0	   0	   7	   0	   0	   0	   7	   0	   0	   4	   0	  72	   0	   0	   0	   0	2777
ASV_12	   0	   0	  56	 580	   0	   0	   4	  10	 340	1279	   0	 217	  57	   0	  30	   4	   0	 188
ASV_13	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	2320	   0	   0	   0	   0	   0	   0
ASV_14	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	2290	   0	   0	   0	   0	   0
ASV_15	  0	  9	 53	477	  0	 13	  0	 17	249	890	  0	171	 43	 49	 33	  0	  0	147
ASV_16	   0	   0	   0	   0	   0	   0	   0	   0	2118	   0	   0	   8	   0	   0	   0	   0	   0	   0
ASV_17	 694	   6	   0	   0	   0	   0	   0	   0	   0	1201	   0	 160	   0	   0	   0	   0	   0	   0
ASV_18	229	  0	  0	  0	  0	  0	  0	  0	  0	838	  0	964	  0	  0	  0	  0	  0	  0
ASV_19	 503	   0	   0	   0	   0	 309	   0	1068	   0	  86	   0	  26	   0	   0	   0	  19	   0	   0
ASV_20	471	  0	  0	  0	  0	  0	  0	  0	  0	847	  0	466	  0	  0	  0	  0	  0	  0
ASV_21	   0	   4	   0	  14	   0	   0	   0	   0	  24	  13	   0	1502	   0	   6	   0	  53	   0	   0
ASV_22	 20	  0	  0	829	  0	  4	  0	  0	  0	572	  0	 97	  0	  0	  0	  0	  0	 53
ASV_23	   0	   0	   0	  10	   0	   0	   0	   0	1468	   6	   0	  24	   0	   0	   0	  33	   0	   0
ASV_24	   0	   0	   0	   0	   0	   0	   0	   0	1443	   0	   0	   0	   0	   0	   0	   0	   0	   0
ASV_25	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	1378	   0	   0	   0	   0	   0
ASV_26	252	  0	  0	 11	  6	  5	  4	  0	 12	575	  0	261	  0	  7	  0	 21	  0	  0
ASV_27	 24	  0	  0	605	  0	  0	  8	  0	  0	372	  0	 64	  0	  0	  0	 52	  0	  0
ASV_28	345	  4	  0	  0	  0	121	  0	 44	  0	363	  0	134	  0	  0	  0	  0	  0	  4
ASV_29	 82	  0	  0	 12	  6	  0	  3	  0	 15	414	  0	436	  0	  6	  0	 19	  0	  0
ASV_30	296	  0	  0	 10	  0	  8	  3	  0	 13	519	  0	104	  0	  0	  2	 24	  0	  0
ASV_31	  9	  6	  0	 14	  0	  0	  0	  0	875	  6	  0	  0	  0	  7	  0	 58	  0	  0
ASV_32	  0	  6	 13	  0	  0	  0	  0	  0	520	  0	  5	  0	  0	  7	  0	 61	  0	 62
ASV_33	241	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  7	  0	  0	421	  0	  0
ASV_34	106	  0	  0	  0	  0	551	  0	  0	  0	  0	  0	  0	 10	  0	  0	  0	  0	  0
ASV_35	  0	 75	 28	  0	  0	  8	 12	  0	  0	  0	  4	  0	  6	 28	  0	  4	  0	496
ASV_36	  0	  3	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	654	  0	  0
ASV_37	  0	  0	  0	  0	  0	  0	  0	  0	  0	630	  0	  0	  0	  0	  0	  0	  0	  0
ASV_38	180	  3	  0	  0	  0	 68	  0	 26	  9	218	  0	 61	  0	  3	  0	 19	  0	  2
ASV_39	197	  0	  0	 19	  0	  4	  0	  0	 20	  0	  0	 74	  0	  0	  0	263	  0	  0
ASV_40	 90	  0	  0	104	  0	  0	  0	  0	  0	135	  0	177	  0	  0	  0	  0	  0	  0
ASV_41	  0	198	 18	 36	  0	  0	  3	  0	228	  0	  0	  0	  0	  0	  0	  0	  0	  0
ASV_42	  0	460	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
ASV_43	  0	  0	  0	  0	  0	  0	  0	  0	  0	406	  0	  0	  0	  0	  0	  0	  0	  0
ASV_44	  0	 10	  0	  0	  0	  0	  5	  0	242	  0	  0	 22	 20	  6	  0	 39	  0	 35
ASV_45	 72	  0	  0	  0	  0	261	  0	  0	  0	  0	  0	  0	 39	  0	  0	  0	  0	  0
ASV_46	  3	  4	  3	  0	  0	  0	  0	  0	  0	  0	  0	 17	  0	  0	  0	318	  0	  0
ASV_47	286	  4	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 41
ASV_48	  0	  0	  0	119	200	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
ASV_49	  7	261	  0	 10	  0	  0	  0	  0	  0	  0	  0	 11	  0	  0	  0	 21	  0	  0
ASV_50	 73	  0	  0	  0	  0	  0	  0	  0	  0	236	  0	  0	  0	  0	  0	  0	  0	  0
ASV_51	  0	  0	  0	107	  0	  6	  0	  0	  0	  0	 13	  0	  0	  0	  0	170	  0	  0
ASV_52	  0	287	  7	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
ASV_53	  8	113	 17	 32	  0	  0	  0	  3	116	  3	  0	  0	  0	  0	  0	  0	  0	  0
ASV_54	  0	  0	  0	 25	  0	  0	  0	  0	251	  0	  0	  0	  0	  6	  0	  9	  0	  0
ASV_55	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	277	  0	  0
ASV_56	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	271	  0	  0
ASV_57	  2	  0	 34	 27	  0	  2	  0	  0	 20	  0	  0	  0	 13	  9	  2	 18	  0	139
ASV_58	  0	 25	 12	  4	  0	  0	  0	  0	  3	  0	  0	  0	 47	  8	  0	  5	  0	162
ASV_59	263	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
ASV_60	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	251	  0	  0
ASV_61	190	  7	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 18	  0	  0	  0	  0	 29
ASV_62	 19	  0	  0	 22	  0	  0	  0	  0	  9	  0	  0	 32	  0	  0	112	  0	  0	 46
ASV_63	 4	 0	 0	80	 3	 8	80	 7	 0	 0	 0	 0	26	13	 6	 5	 0	 0
ASV_64	37	 0	 0	41	 0	 8	 0	 0	10	60	 0	74	 0	 0	 0	 0	 0	 0
ASV_65	  0	  0	  0	  0	  0	 12	  0	  0	  0	  0	  0	  0	 11	  0	  0	  0	  0	207
ASV_66	  0	219	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	  0
ASV_67	217	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
ASV_68	  2	  0	  0	 84	  0	  0	  0	  0	104	  0	  0	  0	  0	  0	  0	 18	  0	  5
ASV_69	 0	 0	18	 0	 0	 4	 0	 0	61	 0	 8	 0	16	15	 4	 0	 0	85
ASV_70	  0	  0	  0	 84	  0	  0	126	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
ASV_71	  0	 13	  6	  6	  0	  7	  0	  0	  0	  0	  0	  0	  3	  0	  0	164	  0	  8
ASV_72	 0	 0	30	15	 0	 0	 2	 0	17	 0	 0	 0	58	 0	 0	13	 0	68
ASV_73	  0	  0	  0	  0	  0	  0	  0	  0	  8	  9	  0	  0	127	  0	  0	 13	  0	 44
ASV_74	 6	 0	 0	64	 0	 0	 0	 0	35	 8	 0	65	 0	 0	 0	16	 0	 0
ASV_75	  0	  0	  0	110	  0	  0	  0	  0	  0	  0	  0	 79	  0	  0	  0	  0	  0	  5
ASV_76	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	189	  0	  0	  0	  0	  0	  0
ASV_77	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	121	  0	 64
ASV_78	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	180
ASV_79	  0	  0	  0	110	  0	  0	  0	  0	  6	  0	  0	  0	 12	 30	  0	  8	  0	  9
ASV_80	  0	  0	  0	  0	  0	  0	  0	  0	109	  0	  0	  0	 47	  0	  0	  0	  0	 18
ASV_81	 4	 0	 0	53	81	 7	 0	 0	 5	 7	 0	 7	 0	 0	 0	 9	 0	 0
ASV_82	  0	  0	  0	 18	  0	 10	  0	  0	118	  0	  0	  7	  6	  0	  0	 10	  0	  0
ASV_83	 37	  0	  0	  0	  0	  0	  0	  0	  0	131	  0	  0	  0	  0	  0	  0	  0	  0
ASV_84	  0	  0	 21	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	146
ASV_85	  0	  0	  0	  0	  0	  0	  0	  0	134	  0	  0	  0	 14	  4	  0	  0	  0	 13
ASV_86	  0	  0	  0	  5	  0	  0	  2	  0	  8	  0	  0	  0	 13	  0	  0	123	  0	 12
ASV_87	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 22	 12	  0	  0	122	  0	  7
