Feature ID	p;c;o;f;g;s
ASV_1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella bivia
ASV_10	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri_A
ASV_100	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister micraerophilus
ASV_1000	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas somerae
ASV_10000	d__Bacteria
ASV_10001	d__Bacteria
ASV_10002	d__Bacteria
ASV_10003	d__Bacteria
ASV_10004	d__Bacteria
ASV_10005	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10006	d__Bacteria
ASV_10007	d__Bacteria
ASV_10008	d__Bacteria
ASV_10009	d__Bacteria
ASV_1001	d__Bacteria
ASV_10010	d__Bacteria
ASV_10011	d__Bacteria
ASV_10012	d__Bacteria
ASV_10013	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10014	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10015	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitalea;s__Defluviitalea phaphyphila
ASV_10016	d__Bacteria
ASV_10017	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10018	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_10019	d__Bacteria
ASV_1002	d__Bacteria
ASV_10020	d__Bacteria
ASV_10021	d__Bacteria
ASV_10022	d__Bacteria
ASV_10023	d__Bacteria
ASV_10024	d__Bacteria
ASV_10025	d__Bacteria
ASV_10026	d__Bacteria
ASV_10027	d__Bacteria
ASV_10028	d__Bacteria
ASV_10029	d__Bacteria
