#OTU ID	SRR7635466	SRR7635478	SRR7635493	SRR7635553	SRR7635581	SRR7635596	SRR7635605	SRR7635629	SRR7635654	SRR7635667	SRR7635683	SRR7635688	SRR7635695	SRR7635708	SRR7635743	SRR7635769	SRR7635793	SRR7635815	SRR7635825	SRR7635839	SRR7635862	SRR7635879	SRR7635891	SRR7635903	SRR7635942	SRR7635964	SRR7635994	SRR7636010	SRR7636016	SRR7636031	SRR7636047	SRR7636084	SRR7636103	SRR7636117	SRR7636124	SRR7636128	SRR7636151	SRR7636174	SRR7636204	SRR7636214	SRR7636246	SRR7636267	SRR7636291	SRR7636307	SRR7636333	SRR7636348	SRR7636363	SRR7636367	SRR7636374	SRR7636388	SRR7636416	SRR7636423	SRR7636435	SRR7636445	SRR7636460	SRR7636473	SRR7636476	SRR7636477	SRR7636479	SRR7636484	SRR7636503	SRR7636510	SRR7636519	SRR7636527	SRR7636560	SRR7636587	SRR7636588	SRR7636592	SRR7636597	SRR7636655	SRR7636675	SRR7636686	SRR7636690	SRR7636693	SRR7636729	SRR7636737	SRR7636763	SRR7636777	SRR7636786	SRR7636801	SRR7636806	SRR7636827	SRR7636830	SRR7636849	SRR7636861	SRR7636869	SRR7636890	SRR7636895	SRR7636899	SRR7636900	SRR7636904	SRR7636908	SRR7636955	SRR7636969	SRR7636974	SRR7637012	SRR7637020	SRR7637029	SRR7637034
ASV_1	    0	 9877	    0	    0	44283	    0	    0	25636	31119	    0	    0	 5220	17438	29687	    0	11268	21541	    0	    0	    9	39805	18124	    0	  119	    0	   39	    0	    0	    0	36392	    9	    0	    0	    0	   16	17134	    0	    0	    0	    0	   16	   10	    0	    8	   26	14313	 5858	    0	52863	 1074	    0	    4	    0	 5560	    0	 6294	    0	    0	    0	37539	    0	 1613	    0	17894	    0	    0	    0	   18	    0	    0	15856	  345	    0	    0	    0	 4243	11136	    0	 6767	    4	    0	82251	    0	 7893	    0	    2	28438	    0	    0	   13	    0	    0	    0	    0	    0	11547	   26	    0	    0
ASV_2	    0	    0	    0	 1466	    0	32016	    0	 1027	    0	    0	26789	15601	    0	    0	    0	    0	   84	    0	23452	22793	    0	 1145	24720	   14	22466	76261	 8212	    0	    0	    0	24145	    0	    0	    0	18722	    0	    0	16409	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    6	    0	    0	    0	    0	    0	    0	   11	    0	    0	    0	    0	    4	10468	 7911	    0	25633	 2517	   40	    0	    0	    0	    0	    0	  418	    0	    0	    0	    0	 1584	    0	    0	    0	    0	    0	    2	    0	    0	    0	 1752	    0	    0	 4519	    0	    0	    0
ASV_3	20682	    0	 2050	 1150	    0	    0	  561	    0	    0	29009	    0	    0	    0	    0	    0	    0	    0	    0	 8365	    0	   26	    0	    0	37353	    0	  874	    0	23882	    0	    0	    0	16758	    0	    0	    0	    0	 2401	    0	    0	    0	 3837	   32	    0	    0	    0	    0	    0	    0	    0	    0	25609	   58	  466	    0	    0	    0	    0	    0	    8	    0	33963	    0	    0	    0	    0	    0	    0	    0	    0	  143	    0	    0	    0	    0	 3818	    0	    0	  149	    0	    0	    0	    0	  147	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
ASV_4	     0	  1793	     0	     0	     0	     0	 47741	  3986	     0	   646	     0	     0	     0	     0	     0	  2665	  6664	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	  4293	     0	     0	     0	     0	     0	     0	     0	     0	     0	  4544	     0	     0	   710	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	    19	115707	     0	     0	     0	     0	     0	     0	     0	    70	     0	     0	     0	   694	     0	     5	     0	     0	     0	     0	     0	  1867	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0
ASV_5	   83	    8	  515	   93	   25	  172	   45	  255	   15	  218	  100	   44	 1247	   50	 1869	    6	  193	  721	  407	   23	  676	   15	   26	   79	  498	  119	   54	   21	 2149	   76	  532	  487	 1639	   66	  152	   44	 1037	  814	  232	 4623	 4511	  890	 6812	  129	 5023	   59	   10	 1136	  573	 1308	 1525	  676	   85	 1495	  151	    0	 1953	 1136	17032	    0	    0	 1563	 1898	   93	  619	  508	 2942	 1237	  751	  648	   60	  528	11418	 4677	  144	   19	 1153	 4952	   52	10472	 2818	 1312	   20	    0	 2173	 4218	 1808	 4374	 1262	  188	 7222	 6872	  318	 6261	  425	 1428	 2492	 2642	    7
ASV_6	    0	    0	    0	    0	    0	    0	    0	   40	    0	    0	    0	    0	 1378	    0	    0	    0	   83	    0	    0	    0	    0	 5217	    0	    0	    0	  364	34544	    0	    0	    0	  426	    0	    0	    0	    0	    0	36124	    0	18778	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	 2598	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	  702	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
ASV_7	    0	    0	  108	 2122	    0	    0	    0	    0	    0	 1527	    0	    0	    0	    0	    0	    0	    4	    0	 2224	    0	    0	    0	    0	   60	    0	    0	    0	    0	    0	    0	    0	 7804	    0	  207	    0	    0	    0	    0	  216	    0	    0	    0	  458	    0	    0	    0	    0	  356	    0	    0	 1075	    0	   41	 3142	    0	    0	  363	    0	    0	    0	    0	    0	    0	33002	    0	    4	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	  339	  215	    0	    0	    0	    0	    0	 7212	    0	    0	    0	    0	    0	 2917	    0	    0	    0	 8329	 6682	    0	    0	    0
ASV_8	    0	    0	 1869	    0	    0	    0	    3	   60	    0	   48	   67	    0	    0	    0	  735	    0	    0	 2191	  111	    0	    7	    0	    0	   65	    0	    0	    0	    0	  536	    0	    9	   32	   54	  752	    0	    0	    6	    0	 2978	    0	 1330	  556	   89	    0	    0	 1860	 3048	  785	    0	    0	   56	    0	  135	  971	    0	 2656	  744	 1146	  256	    0	    0	 1042	  179	   36	14955	  147	  286	  734	 3236	  206	    0	    0	 4255	    0	   39	    0	   28	    0	  411	   71	  951	  145	   60	    0	    0	  248	  572	13643	  278	 5665	    0	  467	    0	   23	 2473	    0	  417	  699	  484
ASV_9	    0	    0	    0	   24	    0	    0	    0	    0	    0	 2030	    0	    0	    7	    0	    0	  561	    0	 1929	  127	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	10410	    0	 8978	    0	    0	    0	    0	 5433	    0	    0	    0	    0	    0	    0	    0	    0	  419	    0	    0	    0	    0	 1758	    3	14436	  225	    0	    0	    0	    0	  301	  178	    0	    0	    0	    0	    0	    0	    0	 1098	    0	    0	    0	    0	    0	 2186	    0	    0	    0	   62	    0	  152	    0	    0	    0	 4868	    0	    0	    0	    0	 5856	    0	 2791	  458	    0	    0	   69	    0	    0
ASV_10	   0	   0	   0	   9	   6	   0	   0	   0	   0	  37	  54	   0	  15	   0	   0	   0	   0	   0	 320	   0	   0	   2	   0	  14	   0	   0	   0	   0	6260	   0	   9	 199	8369	3026	   0	   0	  19	  29	   0	3977	   0	1000	   3	4951	   0	   0	   0	   0	   0	 236	1509	   0	4746	   0	 127	   0	   0	   0	5470	   0	   0	   0	   0	   0	1627	  34	  21	1021	   0	 355	   0	  13	   0	   0	   0	  59	   0	  43	  21	   5	2709	1928	   0	   0	2491	8557	  11	   0	 282	   0	 901	   0	 208	 193	 991	   0	   0	 145	  20
ASV_11	    0	 3478	    0	12262	    0	    0	    0	    0	    0	    0	    0	    3	    0	    0	    0	 6831	    0	    0	    0	    0	    0	    0	    0	    2	    0	    0	    0	    0	    0	    0	   10	    0	    0	    0	    0	    0	    0	    0	    0	    0	 4116	    0	    0	 2073	    0	    0	    0	    0	 6525	    0	    0	    6	    0	    0	    0	 2808	    0	    0	    0	    0	    0	    0	    0	    0	 4352	    0	    0	    0	    0	   13	    0	   39	    0	    0	    0	    0	 4799	    0	 2554	    0	    0	    2	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	10280	    0
