cohort,covariate,pipeline,R2,pvalue,sig
Antonio,histology,Antonio,0.08365,0.09901,NS
Antonio,age,Antonio,0.08995,0.12871,NS
Antonio,BMI,Antonio,0.1243,0.0297,Sig
Chao,histology,Antonio,0.027,0.5644,NS
Chao,age,Antonio,0.02703,0.5941,NS
Gressel,histology,Antonio,0.03153,0.5248,NS
Tsementzi,histology,Antonio,0.03247,0.2574,NS
Tsementzi,age,Antonio,0.01441,0.9109,NS
Tsementzi,BMI,Antonio,0.01641,0.8416,NS
Tsementzi,ethnicity,Antonio,0.11471,0.1188,NS
Walsh,histology,Antonio,0.01648,0.019802,Sig
Walsh,age,Antonio,0.0393,0.009901,Sig
Walsh,BMI,Antonio,0.01439,0.039604,Sig
Walsh,ethnicity,Antonio,0.01351,0.049505,Sig
Antonio,histology,Tsementzi,0.16026,0.12871,NS
Antonio,age,Tsementzi,0.17656,0.07921,NS
Antonio,BMI,Tsementzi,0.10504,0.57426,NS
Chao,histology,Tsementzi,0.0659,0.009901,Sig
Chao,age,Tsementzi,0.01904,0.910891,NS
Gressel,histology,Tsementzi,0.02901,0.8317,NS
Tsementzi,histology,Tsementzi,0.01849,0.9703,NS
Tsementzi,age,Tsementzi,0.03179,0.3069,NS
Tsementzi,BMI,Tsementzi,0.03452,0.198,NS
Tsementzi,ethnicity,Tsementzi,0.0975,0.2475,NS
Walsh,histology,Tsementzi,0.01106,0.198,NS
Walsh,age,Tsementzi,0.01655,0.0396,Sig
Walsh,BMI,Tsementzi,0.0101,0.2871,NS
Walsh,ethnicity,Tsementzi,0.00687,0.7921,NS
Antonio,histology,Walsh,0.03844,0.4158,NS
Antonio,age,Walsh,0.08011,0.2178,NS
Antonio,BMI,Walsh,0.01557,0.7921,NS
Chao,histology,Walsh,0.10427,0.0396,Sig
Chao,age,Walsh,0.03829,0.3564,NS
Gressel,histology,Walsh,0.01923,0.7822,NS
Tsementzi,histology,Walsh,0.00516,0.9802,NS
Tsementzi,age,Walsh,0.0152,0.7129,NS
Tsementzi,BMI,Walsh,0.03645,0.3366,NS
Tsementzi,ethnicity,Walsh,0.09611,0.3069,NS
Walsh,histology,Walsh,0.03991,0.009901,Sig
Walsh,age,Walsh,0.05062,0.009901,Sig
Walsh,BMI,Walsh,0.01215,0.079208,NS
Walsh,ethnicity,Walsh,0.00321,0.712871,NS
Antonio,histology,DADA2,0.03088,0.8614,NS
Antonio,age,DADA2,0.06575,0.4752,NS
Antonio,BMI,DADA2,0.07265,0.3762,NS
Chao,histology,DADA2,0.13922,0.009901,Sig
Chao,age,DADA2,0.01607,0.683168,NS
Gressel,histology,DADA2,0.01739,0.6238,NS
Tsementzi,histology,DADA2,0.02179,0.4752,NS
Tsementzi,age,DADA2,0.03299,0.2673,NS
Tsementzi,BMI,DADA2,0.02449,0.4554,NS
Tsementzi,ethnicity,DADA2,0.10682,0.3069,NS
Walsh,histology,DADA2,0.00865,0.207921,NS
Walsh,age,DADA2,0.03069,0.009901,Sig
Walsh,BMI,DADA2,0.03826,0.009901,Sig
Walsh,ethnicity,DADA2,0.00838,0.257426,NS
Antonio,histology,Chao,0.12877,0.1485,NS
Antonio,age,Chao,0.04449,0.7327,NS
Antonio,BMI,Chao,0.02862,0.8713,NS
Chao,histology,Chao,0.04509,0.1485,NS
Chao,age,Chao,0.02693,0.5941,NS
Gressel,histology,Chao,0.02849,0.4851,NS
Tsementzi,histology,Chao,0.02943,0.3168,NS
Tsementzi,age,Chao,0.02112,0.7624,NS
Tsementzi,BMI,Chao,0.02113,0.802,NS
Tsementzi,ethnicity,Chao,0.1062,0.1782,NS
Walsh,histology,Chao,0.01759,0.009901,Sig
Walsh,age,Chao,0.01249,0.029703,Sig
Walsh,BMI,Chao,0.01059,0.039604,Sig
Walsh,ethnicity,Chao,0.00967,0.108911,NS
