histology	Benign	EC	EC	EC	EC	EC	Benign	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	EC
sraID	SRR15655215	SRR15655218	SRR15655221	SRR15655225	SRR15655228	SRR15655231	SRR15655234	SRR15655235	SRR15655238	SRR15655241	SRR15655244	SRR15655248	SRR15655251	SRR15655254	SRR15655258	SRR15655261	SRR15655264	SRR15655267	SRR15655268	SRR15655271	SRR15655274	SRR15655277	SRR15655281	SRR15655284	SRR15655287	SRR15655291	SRR15655294	SRR15655297	SRR15655300
actinomycetaceae	 43	 17	 92	  9	123	 13	  3	221	  0	 11	  2	  5	 21	 15	  3	  4	 18	 36	 27	 10	  0	  2	  2	  2	  2	 54	  0	 23	 71
corynebacteriaceae	  4	463	 11	  3	 35	 12	  1	 63	  0	  6	  4	  3	  3	  3	  2	  2	 11	  2	 13	  2	 39	  1	  5	  0	  2	  4	  0	  8	450
dietziaceae	  1	  6	  0	  0	  6	  2	  0	  1	  0	  1	  0	  0	  0	  0	  0	  0	  1	  0	  1	  1	  0	  0	  0	  0	  0	  0	  0	  2	117
microbacteriaceae	0	8	1	4	5	0	1	0	1	0	3	0	0	0	3	1	1	0	0	0	0	0	0	3	0	0	3	0	8
micrococcaceae	 0	 5	 0	 4	22	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 8	 0	 0	 0	 0	 0	 0	 0	12
propionibacteriaceae	0	7	3	9	2	1	1	0	0	1	0	2	0	0	1	0	2	0	0	0	0	0	1	2	0	0	6	0	0
bifidobacteriaceae	 1910	   13	 2044	    6	    2	 3158	   24	    8	    1	 1546	    4	 2855	   42	   14	 2229	    2	    1	  830	   49	 1853	    3	    3	 1661	  106	 3099	   23	    0	17083	   43
coriobacteriaceae	633	  8	  7	  2	  1	 10	  1	  0	  0	174	  3	 63	 15	  8	977	  6	  0	187	  3	286	  4	  3	  3	  8	  2	 17	  0	  3	 10
bacteroidaceae	   9	 705	  27	   9	   7	  18	   5	  36	   0	  10	   8	   9	  40	 259	   7	   3	  18	  29	 205	  20	  13	   1	  13	 987	   5	2106	   2	 295	  91
porphyromonadaceae	  25	  16	  20	   5	  46	 277	   4	  31	   0	  16	   5	   2	1302	2302	  13	   3	   5	  57	 153	 185	  12	   2	  15	 155	   7	 823	   2	 173	  34
prevotellaceae	1695	  49	2875	  39	 125	2939	  10	  47	   0	  60	  22	  51	2145	4200	4325	  60	  14	4797	 210	5829	 161	  13	  93	  54	  61	1132	   2	 241	 827
prolixibacteraceae	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	27	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
rikenellaceae	  1	  0	  2	  0	  0	  1	  1	 10	  0	  0	  0	  0	  2	  0	  0	  1	  0	  1	 20	  0	  0	  0	  0	 38	  0	111	  0	 39	  3
cryomorphaceae	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	3	3
flavobacteriaceae	 2	 4	 3	 2	 6	 6	 2	89	 0	 1	 6	 9	11	 0	 3	 4	16	 2	 7	 4	11	 3	 0	 1	10	 4	 6	15	94
bacillales_incertae_sedis_xi	  7	142	  0	  0	  0	  6	  2	  0	  0	  1	  3	  2	  2	  0	  5	  0	  0	  2	  0	  3	  1	  0	  1	  1	  2	  4	  0	  0	  0
