histology	Benign	EC	EC	EC	EC	EC	Benign	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	EC
sraID	SRR15655215	SRR15655218	SRR15655221	SRR15655225	SRR15655228	SRR15655231	SRR15655234	SRR15655235	SRR15655238	SRR15655241	SRR15655244	SRR15655248	SRR15655251	SRR15655254	SRR15655258	SRR15655261	SRR15655264	SRR15655267	SRR15655268	SRR15655271	SRR15655274	SRR15655277	SRR15655281	SRR15655284	SRR15655287	SRR15655291	SRR15655294	SRR15655297	SRR15655300
actinomyces	 1	10	66	 0	 0	 0	 1	 1	 0	 2	 0	 2	 1	 1	 0	 0	 0	 1	 5	 0	 0	 0	 0	 0	 0	 1	 0	10	65
actinotignum	 0	 4	21	 0	 0	 0	 0	28	 0	 1	 0	 0	17	 0	 1	 2	 0	 1	 1	 0	 0	 0	 0	 1	 1	 0	 0	 1	 0
arcanobacterium	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 0	 0	 1	 1	 0	 0	32	 0	 0	 0	 0	 0	 0	 1	 1	 0	 0	 0
mobiluncus	 39	  2	  3	  1	  1	 11	  1	176	  0	  7	  1	  2	  3	 12	  1	  2	 16	  2	  2	  9	  0	  0	  0	  0	  0	  0	  0	  7	  0
varibaculum	  2	  1	  2	  8	122	  2	  1	 16	  0	  0	  0	  1	  0	  1	  0	  0	  2	  0	 19	  1	  0	  2	  2	  1	  0	 52	  0	  5	  6
corynebacterium	  4	463	 11	  3	 35	 12	  1	 63	  0	  6	  4	  3	  3	  3	  2	  2	 11	  2	 13	  2	 39	  1	  5	  0	  2	  4	  0	  8	450
dietzia	  1	  6	  0	  0	  6	  2	  0	  1	  0	  1	  0	  0	  0	  0	  0	  0	  1	  0	  1	  1	  0	  0	  0	  0	  0	  0	  0	  2	117
rhodoluna	0	8	1	4	5	0	1	0	1	0	3	0	0	0	3	1	1	0	0	0	0	0	0	3	0	0	3	0	8
arthrobacter	0	5	0	4	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
micrococcus	 0	 0	 0	 0	13	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	12
propionibacterium	0	7	3	9	2	1	1	0	0	1	0	2	0	0	1	0	2	0	0	0	0	0	1	2	0	0	6	0	0
alloscardovia	  0	  0	107	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  1	  0	  2	 20
bifidobacterium	   5	   1	1914	   2	   1	   8	   0	   1	   1	   6	   1	   4	  23	   1	   7	   0	   1	   4	  13	 266	   2	   0	 540	  90	   6	   8	   0	  53	  18
