,x
1,SRR7635466
2,SRR7635470
3,SRR7635481
4,SRR7635489
5,SRR7635493
6,SRR7635538
7,SRR7635553
8,SRR7635563
9,SRR7635580
10,SRR7635596
11,SRR7635605
12,SRR7635627
13,SRR7635629
14,SRR7635654
15,SRR7635667
16,SRR7635683
17,SRR7635708
18,SRR7635743
19,SRR7635769
20,SRR7635793
21,SRR7635815
22,SRR7635825
23,SRR7635839
24,SRR7635851
25,SRR7635879
26,SRR7635903
27,SRR7635918
28,SRR7635942
29,SRR7635964
30,SRR7635971
31,SRR7635994
32,SRR7636007
33,SRR7636010
34,SRR7636016
35,SRR7636047
36,SRR7636117
37,SRR7636128
38,SRR7636156
39,SRR7636174
40,SRR7636195
41,SRR7636214
42,SRR7636238
43,SRR7636246
44,SRR7636266
45,SRR7636267
46,SRR7636277
47,SRR7636291
48,SRR7636307
49,SRR7636333
50,SRR7636363
51,SRR7636367
52,SRR7636374
53,SRR7636416
54,SRR7636423
55,SRR7636435
56,SRR7636439
57,SRR7636445
58,SRR7636460
59,SRR7636476
60,SRR7636477
61,SRR7636479
62,SRR7636484
63,SRR7636503
64,SRR7636510
65,SRR7636515
66,SRR7636519
67,SRR7636521
68,SRR7636560
69,SRR7636577
70,SRR7636580
71,SRR7636587
72,SRR7636596
73,SRR7636655
74,SRR7636675
75,SRR7636689
76,SRR7636690
77,SRR7636693
78,SRR7636725
79,SRR7636729
80,SRR7636737
81,SRR7636756
82,SRR7636763
83,SRR7636777
84,SRR7636786
85,SRR7636790
86,SRR7636797
87,SRR7636801
88,SRR7636806
89,SRR7636827
90,SRR7636830
91,SRR7636851
92,SRR7636861
93,SRR7636869
94,SRR7636900
95,SRR7636904
96,SRR7636915
97,SRR7636923
98,SRR7636955
99,SRR7636960
100,SRR7636969
101,SRR7636974
102,SRR7637012
103,SRR7637020
104,SRR7637029
105,SRR7637032
