,x
1,SRR7635466
2,SRR7635470
3,SRR7635489
4,SRR7635493
5,SRR7635503
6,SRR7635538
7,SRR7635553
8,SRR7635563
9,SRR7635580
10,SRR7635596
11,SRR7635605
12,SRR7635613
13,SRR7635627
14,SRR7635629
15,SRR7635667
16,SRR7635683
17,SRR7635708
18,SRR7635731
19,SRR7635769
20,SRR7635793
21,SRR7635815
22,SRR7635825
23,SRR7635851
24,SRR7635862
25,SRR7635879
26,SRR7635891
27,SRR7635903
28,SRR7635964
29,SRR7635971
30,SRR7635994
31,SRR7636007
32,SRR7636010
33,SRR7636016
34,SRR7636020
35,SRR7636084
36,SRR7636103
37,SRR7636117
38,SRR7636156
39,SRR7636174
40,SRR7636179
41,SRR7636195
42,SRR7636214
43,SRR7636238
44,SRR7636246
45,SRR7636265
46,SRR7636266
47,SRR7636277
48,SRR7636294
49,SRR7636307
50,SRR7636333
51,SRR7636348
52,SRR7636374
53,SRR7636382
54,SRR7636388
55,SRR7636416
56,SRR7636423
57,SRR7636435
58,SRR7636439
59,SRR7636460
60,SRR7636477
61,SRR7636479
62,SRR7636484
63,SRR7636503
64,SRR7636510
65,SRR7636519
66,SRR7636520
67,SRR7636527
68,SRR7636560
69,SRR7636577
70,SRR7636580
71,SRR7636587
72,SRR7636588
73,SRR7636592
74,SRR7636627
75,SRR7636634
76,SRR7636635
77,SRR7636655
78,SRR7636664
79,SRR7636675
80,SRR7636686
81,SRR7636689
82,SRR7636725
83,SRR7636737
84,SRR7636786
85,SRR7636790
86,SRR7636797
87,SRR7636827
88,SRR7636830
89,SRR7636849
90,SRR7636851
91,SRR7636861
92,SRR7636890
93,SRR7636895
94,SRR7636899
95,SRR7636900
96,SRR7636908
97,SRR7636915
98,SRR7636927
99,SRR7636955
100,SRR7636960
101,SRR7636969
102,SRR7636974
103,SRR7637020
104,SRR7637026
105,SRR7637029
