#OTU ID	SRR2533873	SRR2533894	SRR2533897	SRR2533904	SRR2533911	SRR2533919	SRR2533933	SRR2533949	SRR2533985	SRR2534007	SRR2534013	SRR2534024	SRR2534037	SRR2534046	SRR2534057
Zotu7	68	0	0	1	0	19862	173	659	1	0	0	1	0	2	0
Zotu14	0	6236	0	70	0	11	0	0	0	0	0	0	0	0	0
Zotu6	0	25268	0	406	0	4	0	0	0	0	0	0	0	0	0
Zotu64	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4	0	33673	0	336	0	101	58	0	0	0	0	0	0	0	0
Zotu9	0	10785	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu77	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu29	0	931	0	49	0	2	0	0	0	0	0	0	0	0	0
Zotu71	0	214	0	29	0	0	0	0	0	0	0	0	0	0	0
Zotu109	0	119	0	112	0	0	0	0	0	0	0	0	0	0	0
Zotu20	0	2085	0	38	0	0	0	0	0	0	0	0	0	0	0
Zotu28	0	953	0	31	0	0	0	0	0	1	0	0	0	0	0
Zotu128	0	82	0	68	0	0	0	0	0	0	0	0	0	0	0
Zotu12	0	5992	0	146	0	0	0	0	0	0	0	0	0	0	0
Zotu15	0	3715	0	8	0	2	0	0	0	0	0	0	0	0	0
Zotu67	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu39	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu22	0	2009	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu111	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu21	0	2059	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu90	0	152	0	16	0	4	0	0	0	0	0	0	0	0	0
Zotu134	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu113	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu76	0	187	0	6	0	0	0	0	0	0	0	0	0	0	0
Zotu153	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu36	0	558	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu41	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu34	0	689	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu46	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu205	0	31	0	15	0	0	0	0	0	0	0	0	0	0	0
Zotu194	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu48	0	40	69	7	19	3	96	16	0	2	0	1	0	0	0
Zotu75	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0
