#OTU ID	SRR19509406	SRR19509420	SRR19509426	SRR19509411	SRR19509403	SRR19509419	SRR19509436	SRR19509416	SRR19509413	SRR19509431	SRR19509404	SRR19509410	SRR19509425	SRR19509415	SRR19509408	SRR19509424	SRR19509428	SRR19509427	SRR19509437	SRR19509412	SRR19509432	SRR19509430	SRR19509422
Zotu48	2798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu70	1663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu50	2536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu46	2974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu80	1351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu62	2021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu47	2906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu63	1932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu85	1396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu77	1543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu68	1624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu52	2343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu57	2200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu66	1743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu49	2451	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu96	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu56	2035	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1018	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu54	2270	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu87	1	1159	0	8	4	0	0	3	0	0	14	0	8	3	0	0	0	0	1	1	0	0	0
Zotu994	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1309	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	30	422	159	742	784	2496	1657	0	974	886	866	129	1442	150	0	160	0	126	0	704	105	220	1723
Zotu1067	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1	51	721	289	892	991	4557	2883	0	1759	1743	1088	222	1654	166	2	326	0	287	0	753	164	375	3066
Zotu22	7	62	148	365	2278	430	1133	0	687	432	3319	81	879	651	3	241	0	166	0	327	43	52	369
Zotu933	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1143	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu15	20	356	144	654	657	2316	1534	1	831	970	741	119	1196	131	1	148	1	163	0	538	90	241	1640
Zotu833	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu18	19	307	144	589	584	2093	1317	0	754	824	700	104	1022	105	1	161	0	131	0	444	70	195	1437
Zotu110	7	43	122	0	0	18	25	0	14	12	2	17	1	5	9	341	0	154	0	0	27	88	44
Zotu183	2	20	54	0	0	6	9	1	10	9	0	6	0	0	3	176	0	69	0	0	17	57	24
Zotu5	30	573	209	856	827	3271	2100	0	1237	1317	964	180	1620	149	0	246	1	183	0	736	111	282	2370
Zotu2	44	703	265	828	813	4491	2715	0	1660	1717	962	272	1445	148	1	285	0	294	0	708	178	378	3211
Zotu1182	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	23	495	174	808	827	2958	1799	1	1038	1143	948	148	1440	127	1	199	0	160	1	652	116	262	2079
Zotu1275	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1081	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1381	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1403	2	0	1	3	2	0	0	1	0	0	1	0	0	0	0	0	0	5	0	2	0	1	0
Zotu23	4	199	102	77	372	1903	1254	0	639	2426	635	68	636	78	0	249	0	281	3	133	117	42	908
Zotu19	6	191	125	46	332	2092	1415	0	718	2620	523	99	547	71	0	262	1	318	1	110	108	54	1061
Zotu899	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4	36	573	212	719	728	3761	2258	0	1339	1398	815	206	1248	138	0	247	0	230	0	590	127	346	2601
Zotu30	3	145	67	50	362	1366	973	0	477	1805	559	71	565	89	0	178	0	205	0	127	100	39	716
Zotu26	2	54	165	333	2011	428	1047	2	629	426	2731	85	725	548	2	253	0	148	0	305	44	46	403
Zotu180	11	31	68	0	0	4	11	0	12	3	0	14	0	6	2	192	0	80	0	0	17	47	15
Zotu59	3	1692	0	7	5	0	0	6	0	0	14	0	12	6	0	0	0	0	0	3	0	0	0
Zotu32	3	46	125	276	1710	301	886	0	492	306	2406	54	614	515	0	215	0	135	0	216	30	44	333
Zotu1186	1	0	0	0	0	0	0	1	0	0	1	0	2	0	0	3	0	1	1	3	0	0	0
Zotu1363	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu37	4	26	66	202	1374	191	527	1	305	202	2121	45	547	440	0	98	0	72	0	176	17	22	187
Zotu945	1	2	5	2	1	0	0	0	0	0	0	1	0	0	0	2	0	5	0	1	1	2	2
Zotu3	27	535	195	959	1024	3277	2108	0	1212	1318	1109	196	1797	177	0	207	0	190	0	812	139	286	2400
Zotu17	5	204	141	44	344	2624	1580	0	852	3146	598	97	595	93	0	301	0	355	0	96	161	58	1250
Zotu1193	2	4	8	13	5	0	0	7	4	3	12	1	6	0	1	14	1	24	2	6	2	2	5
Zotu53	1	2111	0	5	4	0	0	10	0	0	17	0	8	4	0	0	1	0	1	0	0	0	0
Zotu520	4	8	4	5	2	1	0	1	2	2	1	3	4	1	1	7	0	23	2	5	1	0	2
Zotu155	5	32	91	0	0	10	11	1	8	10	0	14	0	3	11	254	0	82	0	0	16	57	30
Zotu189	5	17	65	0	0	4	9	0	9	10	2	8	1	1	3	162	0	73	0	0	18	48	13
Zotu143	3	35	99	0	0	7	12	1	9	16	6	15	0	3	5	241	0	110	0	0	21	84	27
Zotu264	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	0
Zotu1425	2	1	3	14	0	0	0	2	0	0	0	0	1	0	0	2	1	1	0	3	0	0	1
Zotu106	10	55	103	0	0	8	26	1	13	17	3	19	0	1	10	388	0	143	1	0	35	113	29
Zotu1426	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu513	1	5	3	2	1	1	1	0	1	0	1	0	13	0	3	5	0	19	0	3	1	1	0
Zotu127	9	41	85	0	0	8	16	1	7	9	1	12	0	3	8	320	0	119	0	0	29	79	23
Zotu743	2	1	0	3	3	0	0	0	1	0	1	4	1	0	0	4	1	1	1	1	0	8	0
Zotu24	5	50	116	391	2294	270	849	1	456	344	3579	60	900	670	3	174	0	120	0	317	24	47	273
Zotu34	3	37	81	265	1570	217	615	0	351	216	2282	38	588	414	1	114	0	83	0	223	24	24	207
Zotu33	3	146	76	36	285	1308	887	0	411	1762	439	56	451	68	0	180	0	182	0	81	94	25	667
Zotu21	4	186	118	59	428	1884	1300	0	657	2419	710	84	727	126	0	227	0	312	0	167	101	46	909
Zotu28	4	49	126	347	2042	323	801	1	470	313	3087	60	756	605	4	153	0	121	0	298	31	35	307
Zotu732	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	16	0	9	0	0	2	5	1
Zotu83	2	1193	0	1	1	0	0	3	0	0	15	0	7	1	0	0	0	0	1	0	0	0	0
Zotu258	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0
Zotu27	5	160	100	50	369	1603	1116	0	585	2089	596	78	541	79	0	214	0	243	0	110	111	47	844
Zotu905	1	3	2	2	1	0	0	1	0	0	0	1	1	1	0	0	3	0	2	0	1	0	3
Zotu14	5	244	149	66	436	2558	1629	0	860	3278	734	96	702	99	0	312	0	391	0	146	162	74	1168
Zotu1001	1	3	0	0	4	0	0	1	0	0	0	0	0	0	0	1	0	4	1	2	0	0	1
Zotu1304	1	0	0	1	0	0	0	1	0	1	4	5	0	1	0	0	0	0	1	2	0	1	0
