#OTU ID	SRR2533834	SRR2533846	SRR2533882	SRR2533897	SRR2533904	SRR2533911	SRR2533949	SRR2533979	SRR2534013	SRR2534037	SRR2534057
OTU_1	0	1084	0	513913	52	61	242249	0	0	0	10047
OTU_10	0	0	11	0	0	0	0	0	0	0	7092
OTU_100	0	0	0	0	183	0	0	0	0	0	0
OTU_101	0	83	0	0	0	0	0	0	0	0	0
OTU_102	0	0	0	0	83	0	0	0	0	0	0
OTU_103	0	0	71	0	0	0	114	0	0	0	0
OTU_104	0	0	0	0	106	0	0	0	0	0	0
OTU_105	0	0	0	0	121	0	0	0	0	0	0
OTU_106	0	0	0	0	107	0	0	0	0	0	0
OTU_107	0	15	0	0	105	0	0	0	0	0	0
OTU_108	0	0	0	0	61	0	71	0	0	0	0
OTU_109	0	0	0	0	228	0	0	0	0	0	0
OTU_11	0	0	7691	0	0	0	0	0	0	0	0
OTU_110	0	0	0	0	107	0	0	0	0	0	0
OTU_111	0	0	0	0	63	0	0	0	0	0	0
OTU_112	0	0	0	0	0	0	0	0	0	98	0
OTU_113	0	0	61	0	0	0	0	0	0	0	0
OTU_114	0	0	0	0	60	0	0	0	0	0	0
OTU_115	0	0	0	0	114	0	0	0	0	0	0
OTU_116	0	0	58	0	50	0	0	0	0	0	0
OTU_117	0	0	0	0	57	0	0	0	0	0	0
OTU_118	0	0	0	0	57	0	0	0	0	0	0
OTU_119	0	0	0	0	57	0	0	0	0	0	0
OTU_12	0	8	0	0	0	8	1178	0	0	0	3348
OTU_120	0	0	0	0	83	0	0	0	0	0	0
OTU_121	75	53	0	0	75	0	0	0	0	0	0
OTU_122	0	0	52	0	0	0	0	0	0	0	0
OTU_123	0	0	0	0	52	0	0	0	0	0	0
OTU_124	0	0	0	0	66	0	0	0	0	0	0
OTU_125	0	51	0	0	28	0	0	0	0	0	0
OTU_126	0	0	0	0	51	0	0	0	0	0	0
OTU_127	0	0	0	0	60	0	0	0	0	0	0
OTU_128	0	0	0	0	49	0	0	0	0	0	0
OTU_129	0	0	0	0	77	0	0	0	0	0	0
OTU_13	0	0	6842	0	0	0	0	0	0	0	0
OTU_130	0	0	0	0	48	0	0	0	0	0	0
OTU_131	0	0	0	0	69	0	0	0	0	0	0
OTU_132	0	46	0	0	0	0	0	0	0	0	0
OTU_133	0	0	0	0	80	0	0	0	0	0	0
OTU_134	0	0	45	0	0	0	0	0	0	0	0
OTU_135	0	0	0	0	45	0	0	0	0	0	0
OTU_136	0	43	0	0	0	0	0	0	0	0	0
OTU_137	0	0	0	0	0	0	43	0	0	0	0
OTU_138	0	0	0	0	42	0	0	0	0	0	0
OTU_139	0	0	0	0	58	0	0	0	0	0	0
OTU_14	2640	0	22	0	0	0	0	1270	0	8	0
OTU_140	0	0	0	0	41	0	0	0	0	0	0
OTU_141	0	2	0	0	0	0	41	0	0	29	0
OTU_142	0	0	0	0	39	0	0	0	0	0	0
OTU_143	0	0	0	0	38	0	0	0	0	0	0
OTU_144	0	0	0	0	0	0	0	0	0	38	0
OTU_145	0	0	0	0	36	0	0	0	0	0	0
OTU_146	0	0	0	0	35	0	0	0	0	0	0
OTU_147	0	0	0	0	65	0	0	0	0	0	0
OTU_148	0	7	0	0	0	0	35	0	0	0	0
OTU_149	0	0	0	0	0	0	0	0	0	0	35
OTU_15	0	0	5121	0	0	0	8	0	0	0	0
OTU_150	0	0	0	0	34	0	0	0	0	0	0
OTU_151	0	0	0	0	34	0	0	0	0	0	0
OTU_152	0	0	0	0	78	0	0	0	0	0	0
OTU_153	0	0	0	0	0	0	32	0	6	0	7
OTU_154	31	0	0	0	0	0	0	14	0	0	0
OTU_155	0	30	0	0	0	0	0	0	0	0	0
OTU_156	0	0	0	0	0	0	30	0	0	0	0
OTU_157	0	0	0	0	29	0	0	0	0	0	0
OTU_158	0	0	0	0	47	0	0	0	0	0	0
OTU_159	0	0	0	0	27	0	0	0	0	0	0
OTU_16	0	0	2265	0	118	0	0	0	0	0	0
OTU_160	0	0	0	0	71	0	0	0	0	0	0
OTU_161	0	0	0	0	0	0	26	0	0	0	0
OTU_162	0	0	0	0	0	0	26	0	0	0	0
OTU_163	0	0	0	0	25	0	0	0	0	0	0
OTU_164	0	0	0	0	0	0	25	0	0	7	0
OTU_165	0	0	0	0	24	0	0	0	0	0	0
OTU_166	0	0	22	0	0	0	0	0	0	0	0
OTU_167	0	0	0	0	0	0	0	20	0	0	0
OTU_168	0	0	0	0	0	0	19	0	0	17	0
OTU_169	0	0	0	0	0	0	35	0	0	0	0
OTU_17	0	0	0	1925	123	0	0	52	0	0	0
OTU_170	0	0	0	0	35	0	0	0	0	0	0
OTU_171	0	0	0	0	18	0	0	0	0	0	0
OTU_172	0	0	0	0	17	0	0	0	0	0	0
OTU_173	0	0	0	0	0	0	17	0	0	7	0
OTU_174	0	0	0	0	0	0	16	0	0	0	0
OTU_175	0	0	0	0	0	0	0	0	16	0	0
OTU_176	0	15	0	0	0	0	0	0	0	0	0
OTU_177	0	0	0	0	15	0	0	0	0	0	0
OTU_178	0	0	0	0	0	0	6	0	0	0	15
OTU_179	14	0	0	0	0	0	0	0	0	0	0
OTU_18	0	0	2262	0	0	0	0	0	0	0	0
OTU_180	0	0	14	0	0	0	0	0	0	0	0
OTU_181	0	0	0	0	14	0	0	0	0	0	0
OTU_182	0	0	0	0	14	0	0	0	0	0	0
OTU_183	0	0	0	0	0	0	0	0	0	0	14
OTU_184	0	13	0	0	7	0	0	0	0	0	0
OTU_185	0	0	0	0	13	0	0	0	0	0	0
OTU_186	0	0	0	0	0	0	12	0	0	0	0
OTU_187	0	0	0	10	0	0	0	0	0	0	0
OTU_188	0	0	0	0	0	0	10	0	0	0	0
OTU_189	0	0	0	0	9	0	0	0	0	0	0
OTU_19	0	65	17	0	0	0	161	0	0	1618	333
OTU_190	0	0	0	0	9	0	0	0	0	0	0
OTU_191	0	0	0	0	9	0	0	0	0	0	0
OTU_192	0	0	0	0	9	0	0	0	0	0	0
OTU_193	0	0	0	0	0	0	0	9	0	0	0
OTU_194	0	0	0	0	8	0	0	0	0	0	0
OTU_195	0	0	7	0	0	0	0	0	0	0	0
OTU_196	0	0	0	0	7	0	0	0	0	0	0
OTU_197	0	0	0	0	0	7	0	0	0	0	0
OTU_198	0	0	0	0	0	0	7	0	0	0	0
OTU_199	0	6	0	0	0	0	0	0	0	0	0
OTU_2	127533	43496	2262	110	314523	67524	148529	7477	9055	14	26934
OTU_20	1507	0	0	0	0	0	0	659	0	0	0
OTU_200	0	0	0	6	0	0	0	0	0	0	0
OTU_201	0	0	0	0	6	0	0	0	0	0	0
OTU_202	0	0	0	0	6	0	0	0	0	0	0
OTU_203	0	0	0	0	0	6	0	0	0	0	0
OTU_204	0	0	0	0	0	0	6	0	0	0	0
OTU_205	0	0	0	0	0	0	0	6	0	0	0
OTU_206	0	5	5	0	0	0	0	0	0	0	0
OTU_207	0	0	5	0	0	0	0	0	0	0	0
OTU_208	0	0	0	0	5	0	0	0	0	0	0
OTU_209	0	0	0	0	5	0	0	0	0	0	0
OTU_21	15	0	0	0	2836	0	0	0	0	0	0
OTU_210	0	0	0	0	0	0	5	0	0	0	0
OTU_211	0	4	0	0	0	0	0	0	4	0	0
OTU_212	0	4	0	0	0	0	0	0	0	0	0
OTU_213	0	0	0	0	4	0	0	0	0	0	0
OTU_214	0	0	0	0	0	4	0	0	0	0	0
OTU_215	0	0	0	3	0	0	0	0	0	0	0
OTU_216	2	0	0	0	0	0	0	0	0	0	0
OTU_217	0	0	0	0	2	0	2	0	0	0	0
OTU_218	0	0	0	0	0	0	2	0	0	0	0
OTU_22	0	0	1281	0	0	0	0	0	0	0	0
OTU_23	0	0	1229	7	0	0	2	0	0	0	0
OTU_24	0	0	1120	0	0	0	0	0	0	0	0
OTU_25	0	0	1022	0	0	0	0	0	0	0	0
OTU_26	0	0	883	0	0	0	0	0	0	0	0
OTU_27	0	0	1359	0	0	0	0	0	0	0	0
OTU_28	0	0	1168	0	0	0	0	0	0	0	0
OTU_29	844	0	0	0	0	0	0	672	0	0	0
OTU_3	549	14	240	71	129	299302	298	48	123	39365	48
OTU_30	0	0	707	0	0	0	0	0	0	0	0
OTU_31	0	0	0	0	0	0	17	0	0	672	0
OTU_32	504	0	0	0	0	0	0	641	0	0	0
OTU_33	0	0	606	0	0	0	0	0	0	0	0
OTU_34	0	0	567	0	0	0	0	0	0	0	0
OTU_35	0	7	0	0	1573	0	0	0	0	0	0
OTU_36	27	182	0	0	1472	0	184	5	0	0	60
OTU_37	0	0	549	0	0	0	0	0	0	0	0
OTU_38	0	0	687	0	0	0	0	0	0	0	0
OTU_39	0	0	0	0	0	0	791	0	0	0	0
OTU_4	53208	0	13	0	59	0	0	13621	0	0	0
OTU_40	0	0	0	0	0	0	8	0	0	0	472
OTU_41	462	0	0	0	0	0	0	218	0	0	0
OTU_42	0	0	559	0	12	0	0	0	0	0	0
OTU_43	0	0	453	0	60	0	0	0	0	0	0
OTU_44	0	8	447	0	10	0	317	0	0	79	241
OTU_45	0	0	0	0	0	0	0	0	0	5	447
OTU_46	0	15	417	0	22	0	0	0	0	0	0
OTU_47	0	0	399	0	0	0	0	0	0	0	0
OTU_48	0	0	398	0	0	0	0	0	0	0	0
OTU_49	0	0	384	0	0	0	0	0	0	0	0
OTU_5	0	0	0	16880	0	0	0	60	32977	0	0
OTU_50	21	11	0	0	725	0	0	0	0	0	0
OTU_51	0	0	0	376	0	0	0	0	0	0	0
OTU_52	0	0	0	0	0	0	0	0	0	369	0
OTU_53	0	0	0	0	0	0	0	0	0	0	364
OTU_54	0	0	357	0	123	0	0	0	0	0	0
OTU_55	0	0	689	0	0	0	3	0	0	0	0
OTU_56	0	0	350	0	0	0	0	0	0	0	0
OTU_57	0	0	0	0	0	0	0	0	0	327	437
OTU_58	0	0	532	0	0	0	0	0	0	0	0
OTU_59	0	0	297	0	0	0	0	0	0	0	0
OTU_6	0	122	28118	0	8	0	4762	0	0	5504	0
OTU_60	0	0	271	0	0	0	567	0	0	0	0
OTU_61	0	0	0	0	357	0	0	0	0	0	0
OTU_62	0	0	0	25	0	0	198	0	0	0	275
OTU_63	0	0	446	0	0	0	0	0	0	0	0
OTU_64	0	0	0	0	3	0	281	0	0	0	0
OTU_65	0	0	409	0	0	0	0	0	0	0	0
OTU_66	3	11	0	0	254	0	0	0	0	0	0
OTU_67	0	0	0	0	0	0	0	0	0	0	222
OTU_68	27	6	184	216	19	72	32	0	0	0	0
OTU_69	330	0	0	0	0	0	0	123	0	0	0
OTU_7	10874	0	0	0	38	0	0	4804	0	0	0
OTU_70	0	0	0	0	313	0	0	8	0	0	0
OTU_71	0	0	0	0	0	0	192	0	0	0	0
OTU_72	0	0	0	0	0	0	363	0	0	0	0
OTU_73	0	0	190	0	0	0	0	0	0	0	0
OTU_74	0	0	0	162	0	0	0	0	0	0	0
OTU_75	0	10	22	0	0	0	161	0	0	57	138
OTU_76	0	0	0	0	156	0	0	0	0	0	0
OTU_77	0	0	0	0	15	0	296	0	0	118	0
OTU_78	7	0	0	0	146	0	0	0	0	0	0
OTU_79	0	0	0	0	144	0	0	0	0	0	0
OTU_8	0	24	150	0	10	0	0	0	77	0	11142
OTU_80	0	0	141	0	0	0	0	0	0	0	0
OTU_81	0	0	133	0	0	0	0	0	0	0	0
OTU_82	0	0	0	0	454	0	0	0	0	0	0
OTU_83	0	0	132	0	0	0	0	0	0	0	0
OTU_84	0	0	122	0	0	0	0	0	0	0	0
OTU_85	0	0	0	0	251	0	0	0	0	0	0
OTU_86	0	0	0	0	0	0	121	0	40	13	92
OTU_87	0	0	0	0	142	0	0	0	0	0	0
OTU_88	0	0	0	0	109	0	0	0	0	0	0
OTU_89	0	0	0	0	174	0	0	0	0	0	0
OTU_9	6468	0	0	0	0	0	670	1378	0	0	68
OTU_90	0	0	0	0	213	0	0	0	0	0	0
OTU_91	0	0	0	0	0	0	106	0	0	0	0
OTU_92	0	0	0	0	285	0	0	0	0	0	0
OTU_93	0	0	0	0	0	0	100	0	0	0	0
OTU_94	0	0	134	0	0	0	80	0	0	53	0
OTU_95	0	0	0	0	95	0	0	0	0	0	0
OTU_96	0	0	0	0	0	0	0	0	0	0	177
OTU_97	0	0	0	0	94	0	0	0	0	0	0
OTU_98	0	0	0	0	0	0	12	0	88	18	0
OTU_99	0	0	0	0	108	0	0	0	0	0	0
