#OTU ID	SRR15655215	SRR15655218	SRR15655228	SRR15655231	SRR15655234	SRR15655238	SRR15655241	SRR15655244	SRR15655248	SRR15655254	SRR15655258	SRR15655264	SRR15655267	SRR15655268	SRR15655274	SRR15655287	SRR15655291	SRR15655294	SRR15655300
OTU_1	17	0	0	2800	3413	0	0	0	0	0	9	0	0	77144	0	0	0	0	30
OTU_10	0	0	0	0	0	0	0	0	0	1970	0	0	9	0	0	0	0	0	0
OTU_100	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	47	0	0
OTU_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
OTU_102	0	0	46	0	0	0	0	0	0	0	0	0	0	8	0	0	16	0	0
OTU_103	0	0	0	34	0	0	0	0	0	5	0	4	0	26	2	0	41	0	0
OTU_104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
OTU_105	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_106	6	0	0	6	0	0	0	0	0	38	0	2	6	0	0	0	4	0	0
OTU_107	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	7
OTU_108	0	0	0	0	0	0	0	0	0	6	0	11	0	32	5	0	50	0	0
OTU_109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
OTU_11	0	5	0	13	0	0	0	0	0	20	13	0	1420	0	8	0	48	0	0
OTU_110	36	0	0	0	0	0	0	0	0	0	30	0	13	0	0	0	0	0	0
OTU_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
OTU_112	0	0	3	0	0	0	0	0	0	0	0	10	0	0	0	4	0	5	36
OTU_113	20	0	0	0	0	0	35	0	0	0	0	0	6	11	0	0	0	0	0
OTU_114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0
OTU_115	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
OTU_117	0	3	0	14	0	0	0	0	0	33	0	0	5	11	6	0	6	0	5
OTU_118	0	0	0	12	0	0	0	0	0	33	0	0	3	0	0	0	6	0	0
OTU_119	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0
OTU_12	0	0	0	8	0	0	0	2	0	1389	6	0	23	0	0	0	32	0	0
OTU_120	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
OTU_121	32	0	0	10	0	0	6	0	3	8	0	10	0	0	0	0	0	0	0
OTU_122	0	0	0	0	0	0	0	0	0	4	0	6	0	13	0	0	32	0	0
OTU_123	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	32	0	0
OTU_124	0	0	30	0	0	0	0	0	0	0	0	0	0	0	3	0	14	0	0
OTU_125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
OTU_126	0	0	0	29	0	0	0	0	0	5	0	0	3	0	0	0	9	0	0
OTU_127	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0
OTU_128	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	6
OTU_129	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0
OTU_13	7	0	0	108	0	0	0	0	0	1371	0	0	14	0	0	0	250	0	0
OTU_130	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	28	0	0
OTU_131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
OTU_132	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	52	0	0
OTU_133	0	0	0	5	0	0	0	0	3	0	0	4	0	4	0	7	0	6	27
OTU_134	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
OTU_135	0	0	0	3	0	0	0	0	0	0	0	0	0	14	0	0	25	0	6
OTU_136	0	0	0	23	0	0	0	0	0	0	5	0	0	0	0	0	0	0	25
OTU_137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
OTU_138	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	8
OTU_139	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	4	0	0
OTU_14	19	0	53	1336	0	0	4	4	9	318	2358	0	289	54	45	29	0	0	222
OTU_140	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0
OTU_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
OTU_142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0
OTU_143	0	0	11	0	0	0	0	0	0	22	0	0	9	0	0	0	32	0	0
OTU_144	14	0	0	0	0	0	3	0	0	0	22	0	0	0	0	0	0	0	0
OTU_145	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	17
OTU_146	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0
OTU_147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
OTU_148	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
OTU_149	0	0	0	0	0	0	0	0	0	0	0	3	0	21	0	0	0	2	0
OTU_15	712	5	0	0	0	0	65	0	0	0	1131	0	197	0	0	0	0	0	0
OTU_150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
OTU_151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	8
OTU_152	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	7	0	9
OTU_153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
OTU_154	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
OTU_155	0	4	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	6
OTU_156	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
OTU_157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
OTU_158	0	0	0	3	0	0	0	0	0	13	0	0	5	0	0	0	17	0	0
OTU_159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
OTU_16	659	6	0	1043	10	0	494	0	949	15	832	0	273	27	0	1125	16	0	0
OTU_160	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
OTU_161	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
OTU_162	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
OTU_163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
OTU_164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
OTU_165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
OTU_166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0
OTU_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	16
OTU_168	0	0	15	11	0	0	0	0	0	0	0	0	0	0	0	0	4	0	15
OTU_169	5	0	9	15	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
OTU_17	218	0	0	0	0	0	0	0	0	0	751	0	900	0	0	0	0	0	0
OTU_170	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
OTU_171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
OTU_172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
OTU_173	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	11	0	0
OTU_174	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	0	0	0
OTU_175	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
OTU_176	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
OTU_177	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	14	0	0
OTU_178	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	14	0	4
OTU_179	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	24	0	0
OTU_18	22	8	48	1009	0	0	13	7	15	229	1191	0	211	36	42	29	48	0	128
OTU_180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
OTU_181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
OTU_182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
OTU_183	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_184	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
OTU_185	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	4
OTU_186	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
OTU_187	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	13
OTU_188	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
OTU_189	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
