"","Estimate","Std..Error","z.value","Pr...z..","q"
"(Intercept)",-0.898849404145876,2.79723100832608,-0.321335421161288,0.747956216354618,0.988645749732232
"actinomycetaceae",7.13742060058636e-05,0.00187699587040168,0.038025766135857,0.969667138475397,0.988645749732232
"brevibacteriaceae",0.139256315895128,0.615342964141464,0.226306830515923,0.820962786210475,0.988645749732232
"corynebacteriaceae",-0.0005018185527499,0.0101657496512702,-0.0493636544243641,0.960629492400071,0.988645749732232
"dermabacteraceae",-0.646702762393223,2.16191975480673,-0.299133564488399,0.764838137334395,0.988645749732232
"dietziaceae",-0.00778303575798682,0.54691012803822,-0.0142309227037078,0.988645749732232,0.988645749732232
"micrococcaceae",-0.0915856515713175,0.739303309114956,-0.12388102480017,0.901409477221294,0.988645749732232
"propionibacteriaceae",-0.0019967896044016,0.00915749554583882,-0.218049748908581,0.827390349837984,0.988645749732232
"bifidobacteriaceae",-1.40520789556132e-05,0.000813744921505449,-0.0172684075614463,0.986222488957949,0.988645749732232
"coriobacteriaceae",5.85981869200184e-05,0.000522759935870262,0.112093875025957,0.910748973840648,0.988645749732232
"bacteroidetes_incertae_sedis_family_incertae_sedis",0.0102130186344051,0.0933772476156574,0.109373738198432,0.912906062647779,0.988645749732232
"bacteroidaceae",-0.000670298316248829,0.0024365868530875,-0.275097239156268,0.783241532618148,0.988645749732232
"bacteroidales_incertae_sedis",-0.0882114528772942,1.09604337424651,-0.0804817171929313,0.93585413662746,0.988645749732232
"porphyromonadaceae",0.00013839552178949,0.000321286689955184,0.430753984264941,0.666647261480408,0.988645749732232
"prevotellaceae",3.02229185028043e-06,8.08749554480459e-05,0.0373699352727552,0.970190044096264,0.988645749732232
"rikenellaceae",-0.0148600373426325,0.0320665982698925,-0.463411716377307,0.64306928208439,0.988645749732232
"flavobacteriaceae",0.000334088840582302,0.0097589646064493,0.0342340457266867,0.972690517880131,0.988645749732232
"chitinophagaceae",0.312690624673879,1.17536520379896,0.266036993151758,0.79021071886917,0.988645749732232
"sphingobacteriaceae",0.0126041049983363,0.076267485999264,0.165261839081177,0.868737893768981,0.988645749732232
"chloroplast",-3.05264446473258,6.06015037855367,-0.503724210464416,0.614455192770305,0.988645749732232
"alicyclobacillaceae",0.0257698106275792,0.295641081875947,0.0871658649875742,0.93053967184607,0.988645749732232
"bacillaceae_1",-0.802297044504858,1.59595648114794,-0.502706091288767,0.615170926441201,0.988645749732232
"bacillales_incertae_sedis_xi",-0.0100673282007613,0.0207532082681996,-0.485097439907041,0.627607227985362,0.988645749732232
"staphylococcaceae",0.00122861308409878,0.00650249014005136,0.188945013008367,0.850135913643279,0.988645749732232
"aerococcaceae",-0.000386362696434456,0.00212890831391203,-0.18148395302402,0.855987727641053,0.988645749732232
"carnobacteriaceae",-0.0170534294647747,0.15963101243044,-0.106830303242021,0.914923606526533,0.988645749732232
"enterococcaceae",-0.000916617103197461,0.00901308339964109,-0.101698504557715,0.91899598918311,0.988645749732232
"lactobacillaceae",-6.03462176781854e-06,1.30659011415354e-05,-0.461860357157839,0.644181464227006,0.988645749732232
"streptococcaceae",3.63651743420721e-05,0.000101897940745582,0.356878402801763,0.721182838525606,0.988645749732232
"clostridiaceae_1",-0.00324995776989254,0.0655915728452138,-0.0495484042982465,0.96048226349195,0.988645749732232
"clostridiales_incertae_sedis_xi",2.18133949390047e-06,0.000143991701354023,0.0151490639626332,0.98791325806144,0.988645749732232
"clostridiales_incertae_sedis_xii",0.462284921379383,0.745318813304621,0.620251244336217,0.535092388610778,0.988645749732232
"clostridiales_incertae_sedis_xiii",-0.00136591432994987,0.0266736359242364,-0.0512084042021719,0.959159455047976,0.988645749732232
"eubacteriaceae",-0.0269344459285949,0.191814194904254,-0.14041946135446,0.88832858225232,0.988645749732232
"gracilibacteraceae",0.0399215979565399,0.0956276244325731,0.4174693054797,0.676335171061255,0.988645749732232
"incertae_sedis_xi",-5.55838911119157e-05,0.00090080167878838,-0.0617049151003788,0.950797825746562,0.988645749732232
"lachnospiraceae",0.000168104983776538,0.000956935284562161,0.175670169643137,0.860553071990708,0.988645749732232
"peptococcaceae_1",0.000829361517424011,0.0044536120526534,0.186222218643828,0.852270500750809,0.988645749732232
"peptostreptococcaceae",-0.00023373900251519,0.00139625113326416,-0.16740470030542,0.867051627056188,0.988645749732232
