histology	Benign	EC	EC	EC	EC	EC	Benign	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	EC
sraID	SRR15655215	SRR15655218	SRR15655221	SRR15655225	SRR15655228	SRR15655231	SRR15655234	SRR15655235	SRR15655238	SRR15655241	SRR15655244	SRR15655248	SRR15655251	SRR15655254	SRR15655258	SRR15655261	SRR15655264	SRR15655267	SRR15655268	SRR15655271	SRR15655274	SRR15655277	SRR15655281	SRR15655284	SRR15655287	SRR15655291	SRR15655294	SRR15655297	SRR15655300
actinobacteria	 2591	  527	 2158	   37	  196	 3196	   31	  297	    2	 1739	   16	 2928	   81	   40	 3215	   15	   34	 1055	   93	 2152	   54	    9	 1672	  121	 3105	   98	    9	17119	  711
bacteroidia	1730	 770	2924	  53	 178	3235	  21	 124	   0	  86	  35	  62	3516	6761	4345	  67	  37	4884	 588	6034	 186	  16	 121	1234	  73	4172	   6	 748	 955
flavobacteriia	 2	 5	 3	 4	 8	 6	 2	89	 0	 1	 6	 9	11	 0	 3	 4	17	 3	 7	 4	14	 3	 0	 1	10	 4	 6	18	97
bacilli	   103	   231	   546	    21	    21	  4870	  5506	   530	     1	  3624	  6081	  4860	  3062	    95	    89	  7317	    36	    82	134197	  1309	  5585	  5289	   336	   317	  1514	   139	     0	 96223	  7987
clostridia	 752	 577	 338	  81	 245	 755	  20	7188	   1	  66	  50	  28	1230	1626	1438	  49	 166	 793	 665	 151	 171	  23	  63	2880	  22	1303	   1	1173	1469
erysipelotrichia	 0	 0	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 9	 0	 0	 0	 0	 0	 0	 0	 0	28	 2
negativicutes	 422	  21	 267	  12	  28	 171	   8	  19	   0	  95	  14	   5	 188	 817	1470	  11	  12	1606	  95	1117	  24	   7	  19	  37	 165	 241	   0	 138	 173
fusobacteriia	1069	   9	   1	   0	   2	  11	   0	   7	   0	 102	   4	   2	  11	  10	1728	   4	   0	 305	  43	   2	   0	   0	   2	   6	   3	  26	   1	  88	  13
alphaproteobacteria	  0	 13	  3	 14	  8	  2	  3	456	  5	  2	  2	  2	  3	  0	  0	  1	 19	  1	  4	  0	  3	  3	  5	  5	  4	 98	 18	 20	390
betaproteobacteria	 2	 0	 0	 1	13	 3	 0	27	 0	 0	 1	 0	 4	 1	 0	 0	 4	 1	25	 1	 4	 0	 3	 1	 1	92	 0	35	20
deltaproteobacteria	 0	 0	 0	 0	 0	 0	 0	 8	 0	 0	 2	 0	 1	 0	 0	 0	 0	 2	11	 0	 0	 0	 1	 1	 0	38	 0	17	 1
epsilonproteobacteria	   9	  12	  29	   8	   0	 225	   1	1108	   0	  20	   2	   1	 626	  65	   4	   4	   6	  10	  34	  10	  22	   0	  18	   7	   1	 198	   0	  49	 112
gammaproteobacteria	  2	  8	  1	  2	  2	  0	  0	  5	  0	  1	  0	  8	  2	  3	  1	  1	  5	  0	 43	  1	  1	  0	  1	195	  1	  1	  2	 36	 18
mollicutes	  5	  0	331	  1	  0	155	308	  0	  0	  7	  2	  0	709	  5	  8	  3	  0	  5	  2	  7	  2	  3	  1	  9	  0	  8	  0	  0	  0
verrucomicrobiae	  0	  0	  2	  1	  0	  0	  0	125	  0	  1	  0	  0	  0	  0	  0	  0	  3	  0	 41	  1	  0	  0	  0	 89	  0	 23	  0	 32	120
